Species_name,Valid?,Reason,Monitoring Species Name,Note,
Sufflamen fraenatum,Yes,Not in monitoring list,,Check with Eva,
Hoplolatilus starcki,Yes,Not in monitoring list,,Check cryptobentic list from 2018?,
Myripristis vittata,Yes,Not in monitoring list,,Not surveyed in monitoring,
Genicanthus watanabei,Yes,Not in monitoring list,,Deep species below 20m,
Chrysiptera starcki,Yes,Not in monitoring list,,Deeper outer slopes below 20 m.,Yellow pectoral fin and blue pelvic and anal fins distinguish it from C. flavipinnis (Yellowfin Demoiselle)
Saurida gracilis,Yes,Not in monitoring list,,Check cryptobentic list from 2018?,
Cantherhines dumerilii,No,Unaccepted names in monitoring list,Cantherhines dumerili,"Accepted species has two ""ii""s at end",dumerilii
Nemateleotris magnifica,Yes,Not in monitoring list,,Check cryptobentic list from 2018?,
Oxycheilinus celebicus,No,Mis-identification,,"Checked video, was O.orientalis",
Myripristis kuntee,Yes,Not in monitoring list,,Not surveyed in monitoring,
Centropyge flavissima,No,Unaccepted names in monitoring list,Centropyge flavissimus,Accepted name is Centropyge flavissima,
Acanthurus auranticavus,,,,,
Chlorurus sordidus,No,Recorded as C.spilurus,Chlorurus spilurus,,
Seriola dumerili,Yes,,,Amber Jack,
Choerodon jordani,Yes,Not in monitoring list,,15 -30m depth range,
Zebrasoma velifer,No,Unaccepted names in monitoring list,Zebrasoma veliferum,Accepted name is Zebrasoma velifer,
Sufflamen chrysopterum,No,Unaccepted names in monitoring list,Sufflamen chrysopterus,Accepted name is Sufflamen chrysopterum,
Malacanthus latovittatus,Yes,Not in monitoring list,,5 -65m depth outer reef slopes,Blue tilefish
Gymnocranius grandoculis,Yes,Not in monitoring list,,,
Ptereleotris evides,Yes,Not in monitoring list,,Check cyryptobenthic list,
Pomacentrus nigromarginatus,Yes,Not in monitoring list,,Depth range 20 -50m,
Acanthurus nubilus,Yes,Not in monitoring list,,"A rare species that occurs in steep, current-swept drop-offs 5 -90m",
Pseudanthias rubrizonatus,Yes,Not in monitoring list,,10 -60m,
Genicanthus bellus,Yes,Not in monitoring list,,24 -110m Ornate anglefish,
Chromis analis,Yes,Not in monitoring list,,depth range 10 - 144 m,
Echeneis naucrates,Yes,Not in monitoring list,,Probably not counted in monitoring - on sharks,
Arothron mappa,Yes,Not in monitoring list,,4 -13m,
Arothron caeruleopunctatus,Yes,Not in monitoring list,,2 -50m,
Pseudanthias ventralis,Yes,Not in monitoring list,,26 -120m,
Sargocentron diadema,Yes,Not in monitoring list,,Probably not counted in monitoring,
Rhabdamia gracilis,Yes,Not in monitoring list,,Probably not counted in monitoring,
Aluterus scriptus,No,Monitoring list spelling mistake,Aluteres scriptus,Accepted name is Aluterus scriptus,
Pseudanthias pictilis,Yes,Not in monitoring list,,12 -40m,
Rhinecanthus aculeatus,Yes,,,Lagoon associated,
Diagramma pictum,No,Unaccepted names in monitoring list,Diagramma labiosum,Accepted name is Diagramma pictum,Subspecies D.labiosum does exist
Chilomycterus reticulatus,Yes,Not in monitoring list,,20 -100m depth range,
Coris pictoides,Yes,Not in monitoring list,,9 -55m depth range,
Meiacanthus atrodorsalis,Yes,Not in monitoring list,,Probably not counted in monitoring,
Chrysiptera tricincta,Yes,Not in monitoring list,,Lagoons 10 -90m,
Aulostomus chinensis,Yes,Not in monitoring list,,Sheltered reefs,
Pseudocaranx dentex,Yes,Not in monitoring list,,10 -238m,
Gymnocranius superciliosus,Yes,Not in monitoring list,,,
Rhinecanthus lunula,Yes,Not in monitoring list,,Deep outer reefs 10 -30m,
Dipterygonotus balteatus,Yes,Not in monitoring list,,37 -91m probably to counted in monitoring,
