Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
ASHMORE_BRUV20_C3_01.MP4,12248,3.4056,ASHMORE_BRUV20_C3_start,0.0467,252.47,1164.27,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,12248,3.4056,ASHMORE_BRUV20_C3_start,0.0467,327.86,736.44,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Monotaxis,grandoculis,37351026,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,12280,3.4145,ASHMORE_BRUV20_C3_start,0.0556,145.52,1264.22,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Zebrasoma,veliferum,37437037,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,12280,3.4145,ASHMORE_BRUV20_C3_start,0.0556,222.66,1444.82,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Scolopsis,bilineata,37347031,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,12296,3.419,ASHMORE_BRUV20_C3_start,0.0601,66.62,1737.64,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Acanthurus,sp,,5,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,12453,3.4626,ASHMORE_BRUV20_C3_start,0.1037,415.52,462.9,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Acanthurus,thompsoni,37437018,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,13326,3.7054,ASHMORE_BRUV20_C3_start,0.3465,108.7,1099.4,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Zebrasoma,veliferum,37437037,2,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,13493,3.7518,ASHMORE_BRUV20_C3_start,0.3929,184.09,1351.89,0,0,ASHMORE_BRUV20_C3,ECM,23,Labridae,Labroides,dimidiatus,37384028,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,13927,3.8725,ASHMORE_BRUV20_C3_start,0.5136,180.58,855.67,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Lethrinus,semicinctus,37351016,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,16263,4.522,ASHMORE_BRUV20_C3_start,1.1631,224.42,990.68,0,0,ASHMORE_BRUV20_C3,ECM,23,Labridae,Cheilinus,fasciatus,37384066,2,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,26152,7.2717,ASHMORE_BRUV20_C3_start,3.9128,201.62,952.11,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Parupeneus,pleurostigma,37355027,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,26152,7.2717,ASHMORE_BRUV20_C3_start,3.9128,110.45,1064.33,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Monotaxis,grandoculis,37351026,2,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,29702,8.2588,ASHMORE_BRUV20_C3_start,4.8999,932.73,1788.49,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Pentapodus,sp,,1,AD,Passing,aureofasciatus
ASHMORE_BRUV20_C3_01.MP4,31123,8.6539,ASHMORE_BRUV20_C3_start,5.295,417.27,569.86,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Pentapodus,sp,,2,AD,Passing,aureofasciatus
ASHMORE_BRUV20_C3_01.MP4,38939,10.8272,ASHMORE_BRUV20_C3_start,7.4683,540,778.52,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Pentapodus,sp,,3,AD,Passing,aureofasciatus
ASHMORE_BRUV20_C3_01.MP4,41024,11.407,ASHMORE_BRUV20_C3_start,8.048,305.06,1402.74,0,0,ASHMORE_BRUV20_C3,ECM,23,Carcharhinidae,Triaenodon,obesus,37018038,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,43423,12.074,ASHMORE_BRUV20_C3_start,8.7151,61.36,1029.26,0,0,ASHMORE_BRUV20_C3,ECM,23,Balistidae,Pseudobalistes,flavimarginatus,37465071,1,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,48414,13.4618,ASHMORE_BRUV20_C3_start,10.1029,261.23,853.92,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Lethrinus,semicinctus,37351016,2,AD,Passing,
ASHMORE_BRUV20_C3_01.MP4,57983,16.1225,ASHMORE_BRUV20_C3_start,12.7636,462.86,296.33,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Lethrinus,semicinctus,37351016,3,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,1089,17.9538,ASHMORE_BRUV20_C3_start,14.5949,527.73,399.78,0,0,ASHMORE_BRUV20_C3,ECM,23,Lethrinidae,Lethrinus,semicinctus,37351016,4,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,1791,18.149,ASHMORE_BRUV20_C3_start,14.7901,513.7,417.32,0,0,ASHMORE_BRUV20_C3,ECM,23,Scaridae,Scarus,schlegeli,37386029,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,13202,21.3219,ASHMORE_BRUV20_C3_start,17.9629,832.79,771.51,0,0,ASHMORE_BRUV20_C3,ECM,23,Pinguipedidae,Parapercis,sp,,2,AD,Passing,hexophthalma
ASHMORE_BRUV20_C3_02.MP4,21652,23.6714,ASHMORE_BRUV20_C3_start,20.3125,660.97,415.56,0,0,ASHMORE_BRUV20_C3,ECM,23,Scaridae,Scarus,schlegeli,37386029,2,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,29911,25.9679,ASHMORE_BRUV20_C3_start,22.609,487.4,450.63,0,0,ASHMORE_BRUV20_C3,ECM,23,Lutjanidae,Lutjanus,rivulatus,37346016,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,30526,26.1389,ASHMORE_BRUV20_C3_start,22.78,557.53,668.05,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Pentapodus,sp,,4,AD,Passing,aureofasciatus
ASHMORE_BRUV20_C3_02.MP4,34219,27.1657,ASHMORE_BRUV20_C3_start,23.8068,594.35,105.21,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Acanthurus,pyroferus,37437017,2,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,34303,27.1891,ASHMORE_BRUV20_C3_start,23.8302,205.13,497.97,0,0,ASHMORE_BRUV20_C3,ECM,23,Serranidae,Plectropomus,leopardus,37311078,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,42834,29.5612,ASHMORE_BRUV20_C3_start,26.2023,348.9,1770.96,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,53346,32.4841,ASHMORE_BRUV20_C3_start,29.1252,710.06,929.32,0,0,ASHMORE_BRUV20_C3,ECM,23,Balistidae,Balistapus,undulatus,37465047,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,55132,32.9807,ASHMORE_BRUV20_C3_start,29.6218,189.35,1460.6,0,0,ASHMORE_BRUV20_C3,ECM,23,Pomacanthidae,Pygoplites,diacanthus,37365082,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,62015,34.8946,ASHMORE_BRUV20_C3_start,31.5357,47.34,874.96,0,0,ASHMORE_BRUV20_C3,ECM,23,Balistidae,Balistoides,viridescens,37465048,1,AD,Passing,
ASHMORE_BRUV20_C3_02.MP4,62329,34.9819,ASHMORE_BRUV20_C3_start,31.623,382.21,361.21,0,0,ASHMORE_BRUV20_C3,ECM,23,Serranidae,Plectropomus,leopardus,37311078,2,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,538,35.4348,ASHMORE_BRUV20_C3_start,32.0759,480.39,194.63,0,0,ASHMORE_BRUV20_C3,ECM,23,Nemipteridae,Scolopsis,affinis,37347030,1,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,1612,35.7335,ASHMORE_BRUV20_C3_start,32.3746,17.53,1613.15,0,0,ASHMORE_BRUV20_C3,ECM,23,Labridae,Oxycheilinus,digrammus,37384065,1,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,6105,36.9828,ASHMORE_BRUV20_C3_start,33.6239,527.73,1628.93,0,0,ASHMORE_BRUV20_C3,ECM,23,Chaetodontidae,Chaetodon,auriga,37365019,1,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,8430,37.6293,ASHMORE_BRUV20_C3_start,34.2703,587.34,1031.01,0,0,ASHMORE_BRUV20_C3,ECM,23,Chaetodontidae,Forcipiger,flavissimus,37365068,2,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,35098,45.0444,ASHMORE_BRUV20_C3_start,41.6855,722.34,392.77,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Parupeneus,heptacanthus,37355004,1,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,45325,47.8881,ASHMORE_BRUV20_C3_start,44.5292,578.57,85.92,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Mulloidichthys,flavolineatus,37355019,1,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,45760,48.0091,ASHMORE_BRUV20_C3_start,44.6502,497.92,120.99,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Mulloidichthys,flavolineatus,37355019,2,AD,Passing,
ASHMORE_BRUV20_C3_03.MP4,46745,48.283,ASHMORE_BRUV20_C3_start,44.924,508.44,194.63,0,0,ASHMORE_BRUV20_C3,ECM,23,Acanthuridae,Naso,lituratus,37437029,1,AD,Passing,
ASHMORE_BRUV20_C3_04.MP4,4096,54.0584,ASHMORE_BRUV20_C3_start,50.6995,187.6,924.05,0,0,ASHMORE_BRUV20_C3,ECM,23,Mullidae,Parupeneus,cyclostomus,37355025,1,AD,Passing,
ASHMORE_BRUV20_C3_04.MP4,13286,56.6138,ASHMORE_BRUV20_C3_start,53.2549,355.91,1229.15,0,0,ASHMORE_BRUV20_C3,ECM,23,Siganidae,Siganus,sp,,1,AD,,vulpinus
ASHMORE_BRUV20_C3_04.MP4,18114,57.9562,ASHMORE_BRUV20_C3_start,54.5973,184.09,1813.04,0,0,ASHMORE_BRUV20_C3,ECM,23,Chaetodontidae,Chaetodon,bennetti,37365035,1,AD,Passing,
ASHMORE_BRUV20_C3_04.MP4,21557,58.9136,ASHMORE_BRUV20_C3_start,55.5547,718.83,880.22,0,0,ASHMORE_BRUV20_C3,ECM,23,Serranidae,Plectropomus,leopardus,37311078,2,AD,Passing,
ASHMORE_BRUV20_C3_04.MP4,31998,61.8168,ASHMORE_BRUV20_C3_start,58.4578,305.06,839.89,0,0,ASHMORE_BRUV20_C3,ECM,23,Lutjanidae,Lutjanus,bohar,37346029,1,AD,Passing,
