Filename,Frame,Time (HMS),Period,Period time (HMS),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Code,MaxN,Has fed
PL_L_WILL_14-2-21_P01.MP4,9335,05:11.5,T1,02:15.8,Willis_Feb21,GFG,32m,,,,,,1,No
PL_L_WILL_14-2-21_P07.MP4,7810,04:24.2,T14,00:32.7,Willis_Feb21,GFG,32m,,,,amboinensis,,6,No
PL_L_WILL_14-2-21_P05.MP4,557,40:21.0,T9,02:19.9,Willis_Feb21,GFG,32m,,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,No
PL_L_WILL_14-2-21_P01.MP4,17764,09:52.7,T2,01:17.0,Willis_Feb21,GFG,32m,,Acanthuridae,Acanthurus,pyroferus,37437017,1,No
PL_L_WILL_14-2-21_P03.MP4,3660,22:03.3,T5,01:31.5,Willis_Feb21,GFG,32m,,Acanthuridae,Acanthurus,sp,,6,No
PL_L_WILL_14-2-21_P07.MP4,9994,05:37.1,T14,01:45.5,Willis_Feb21,GFG,32m,,Acanthuridae,Acanthurus,thompsoni,37437018,8,No
PL_L_WILL_14-2-21_P01.MP4,16833,09:21.7,T2,00:46.0,Willis_Feb21,GFG,32m,,Acanthuridae,Ctenochaetus,sp,,5,No
PL_L_WILL_14-2-21_P01.MP4,5995,03:20.0,T1,00:24.3,Willis_Feb21,GFG,32m,,Acanthuridae,Ctenochaetus,striatus,37437022,4,No
PL_L_WILL_14-2-21_P05.MP4,4684,42:38.7,T10,00:56.1,Willis_Feb21,GFG,32m,,Balistidae,Balistoides,viridescens,37465048,1,No
PL_L_WILL_14-2-21_P08.MP4,590,10:23.9,T15,01:08.3,Willis_Feb21,GFG,32m,,Balistidae,Sufflamen,,,1,No
PL_L_WILL_14-2-21_P04.MP4,534,30:19.6,T7,01:55.8,Willis_Feb21,GFG,32m,,Balistidae,Sufflamen,chrysopterum,37465079,3,No
PL_L_WILL_14-2-21_P01.MP4,15626,08:41.4,T2,00:05.7,Willis_Feb21,GFG,32m,,Blenniidae,Meiacanthus,,,2,No
