MaxN

Generated: Monday 28 March 2022 16:45:37

Filename	Frame	Time (HMS)	Period	Period time (HMS)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
PL_L_WILL_14-2-21_P01.MP4	   9335	00:05:11.48	T1	00:02:15.77	Willis_Feb21	GFG	32m														1	No
PL_L_WILL_14-2-21_P07.MP4	   7810	01:04:24.19	T14	00:00:32.67	Willis_Feb21	GFG	32m												amboinensis		6	No
PL_L_WILL_14-2-21_P05.MP4	    557	00:40:20.99	T9	00:02:19.87	Willis_Feb21	GFG	32m										Acanthuridae	Acanthurus	nigrofuscus	37437014	1	No
PL_L_WILL_14-2-21_P01.MP4	  17764	00:09:52.73	T2	00:01:17.04	Willis_Feb21	GFG	32m										Acanthuridae	Acanthurus	pyroferus	37437017	1	No
PL_L_WILL_14-2-21_P03.MP4	   3660	00:22:03.32	T5	00:01:31.46	Willis_Feb21	GFG	32m										Acanthuridae	Acanthurus	sp		6	No
PL_L_WILL_14-2-21_P07.MP4	   9994	01:05:37.07	T14	00:01:45.54	Willis_Feb21	GFG	32m										Acanthuridae	Acanthurus	thompsoni	37437018	8	No
PL_L_WILL_14-2-21_P01.MP4	  16833	00:09:21.66	T2	00:00:45.98	Willis_Feb21	GFG	32m										Acanthuridae	Ctenochaetus	sp		5	No
PL_L_WILL_14-2-21_P01.MP4	   5995	00:03:20.03	T1	00:00:24.32	Willis_Feb21	GFG	32m										Acanthuridae	Ctenochaetus	striatus	37437022	4	No
PL_L_WILL_14-2-21_P05.MP4	   4684	00:42:38.69	T10	00:00:56.09	Willis_Feb21	GFG	32m										Balistidae	Balistoides	viridescens	37465048	1	No
PL_L_WILL_14-2-21_P08.MP4	    590	01:10:23.89	T15	00:01:08.33	Willis_Feb21	GFG	32m										Balistidae	Sufflamen			1	No
PL_L_WILL_14-2-21_P04.MP4	    534	00:30:19.62	T7	00:01:55.78	Willis_Feb21	GFG	32m										Balistidae	Sufflamen	chrysopterum	37465079	3	No
