Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
CHILCOTT_BRUV2_C1_04.MP4,16588,57.5152,CHILCOTT_BRUV2_C1,55.0177,CHILCOTT_BRUV2_C1,ECM,44,Acanthuridae,Naso,brachycentron,37437025,2,No
CHILCOTT_BRUV2_C1_02.MP4,17728,22.5637,CHILCOTT_BRUV2_C1,20.0662,CHILCOTT_BRUV2_C1,ECM,44,Balistidae,Balistoides,viridescens,37465048,1,No
CHILCOTT_BRUV2_C1_01.MP4,12739,3.5421,CHILCOTT_BRUV2_C1,1.0447,CHILCOTT_BRUV2_C1,ECM,44,Carangidae,Carangoides,orthogrammus,37337057,1,No
CHILCOTT_BRUV2_C1_04.MP4,7245,54.9174,CHILCOTT_BRUV2_C1,52.4199,CHILCOTT_BRUV2_C1,ECM,44,Carangidae,Caranx,ignobilis,37337027,1,No
CHILCOTT_BRUV2_C1_02.MP4,51148,31.8563,CHILCOTT_BRUV2_C1,29.3588,CHILCOTT_BRUV2_C1,ECM,44,Carangidae,Caranx,melampygus,37337050,1,No
CHILCOTT_BRUV2_C1_03.MP4,13777,39.0993,CHILCOTT_BRUV2_C1,36.6018,CHILCOTT_BRUV2_C1,ECM,44,Carcharhinidae,Carcharhinus,albimarginatus,37018027,1,No
CHILCOTT_BRUV2_C1_02.MP4,63347,35.2483,CHILCOTT_BRUV2_C1,32.7508,CHILCOTT_BRUV2_C1,ECM,44,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,3,No
CHILCOTT_BRUV2_C1_02.MP4,48741,31.187,CHILCOTT_BRUV2_C1,28.6895,CHILCOTT_BRUV2_C1,ECM,44,Carcharhinidae,Triaenodon,obesus,37018038,1,No
CHILCOTT_BRUV2_C1_01.MP4,47391,13.1773,CHILCOTT_BRUV2_C1,10.6798,CHILCOTT_BRUV2_C1,ECM,44,Labridae,Cheilinus,undulatus,37384038,1,No
CHILCOTT_BRUV2_C1_02.MP4,2727,18.3925,CHILCOTT_BRUV2_C1,15.895,CHILCOTT_BRUV2_C1,ECM,44,Labridae,Choerodon,jordani,37384077,1,No
CHILCOTT_BRUV2_C1_04.MP4,11773,56.1764,CHILCOTT_BRUV2_C1,53.6789,CHILCOTT_BRUV2_C1,ECM,44,Labridae,Hologymnosus,sp,,7,No
CHILCOTT_BRUV2_C1_02.MP4,16877,22.327,CHILCOTT_BRUV2_C1,19.8295,CHILCOTT_BRUV2_C1,ECM,44,Lethrinidae,Gymnocranius,sp,,4,No
CHILCOTT_BRUV2_C1_01.MP4,14821,4.1211,CHILCOTT_BRUV2_C1,1.6236,CHILCOTT_BRUV2_C1,ECM,44,Lethrinidae,Lethrinus,miniatus,37351009,2,No
CHILCOTT_BRUV2_C1_01.MP4,38940,10.8275,CHILCOTT_BRUV2_C1,8.33,CHILCOTT_BRUV2_C1,ECM,44,Lethrinidae,Lethrinus,olivaceus,37351004,1,No
CHILCOTT_BRUV2_C1_01.MP4,36731,10.2133,CHILCOTT_BRUV2_C1,7.7158,CHILCOTT_BRUV2_C1,ECM,44,Lethrinidae,Lethrinus,rubrioperculatus,37351012,4,No
CHILCOTT_BRUV2_C1_02.MP4,35051,27.3804,CHILCOTT_BRUV2_C1,24.8829,CHILCOTT_BRUV2_C1,ECM,44,Lethrinidae,Lethrinus,semicinctus,37351016,11,No
CHILCOTT_BRUV2_C1_03.MP4,55366,50.6634,CHILCOTT_BRUV2_C1,48.1659,CHILCOTT_BRUV2_C1,ECM,44,Lutjanidae,Lutjanus,bohar,37346029,3,No
CHILCOTT_BRUV2_C1_02.MP4,50017,31.5418,CHILCOTT_BRUV2_C1,29.0443,CHILCOTT_BRUV2_C1,ECM,44,Serranidae,Plectropomus,leopardus,37311078,2,No
CHILCOTT_BRUV2_C1_01.MP4,18580,5.1663,CHILCOTT_BRUV2_C1,2.6688,CHILCOTT_BRUV2_C1,ECM,44,Siganidae,Siganus,argenteus,37438007,7,No
