Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
NFLIND_BRUV2_C3_04.MP4,27841,60.6609,NFLIND_BRUV2_C3_start,57.6362,NFLIND_BRUV2_C3,ECM,35,Acanthuridae,Acanthurus,dussumieri,37437008,2,No
NFLIND_BRUV2_C3_01.MP4,27647,7.6874,NFLIND_BRUV2_C3_start,4.6627,NFLIND_BRUV2_C3,ECM,35,Acanthuridae,Ctenochaetus,striatus,37437022,2,No
NFLIND_BRUV2_C3_01.MP4,47905,13.3203,NFLIND_BRUV2_C3_start,10.2956,NFLIND_BRUV2_C3,ECM,35,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,No
NFLIND_BRUV2_C3_01.MP4,31522,8.7649,NFLIND_BRUV2_C3_start,5.7402,NFLIND_BRUV2_C3,ECM,35,Chaetodontidae,Chaetodon,kleinii,37365040,2,No
NFLIND_BRUV2_C3_03.MP4,10110,38.0964,NFLIND_BRUV2_C3_start,35.0717,NFLIND_BRUV2_C3,ECM,35,Labridae,Anampses,neoguinaicus,37384050,1,No
NFLIND_BRUV2_C3_02.MP4,46291,30.5224,NFLIND_BRUV2_C3_start,27.4977,NFLIND_BRUV2_C3,ECM,35,Labridae,Cheilinus,undulatus,37384038,1,No
NFLIND_BRUV2_C3_01.MP4,39747,11.0519,NFLIND_BRUV2_C3_start,8.0272,NFLIND_BRUV2_C3,ECM,35,Labridae,Cirrhilabrus,punctatus,37384083,2,No
NFLIND_BRUV2_C3_01.MP4,62101,17.2675,NFLIND_BRUV2_C3_start,14.2428,NFLIND_BRUV2_C3,ECM,35,Labridae,Cirrhilabrus,sp,,3,No
NFLIND_BRUV2_C3_03.MP4,16746,39.9416,NFLIND_BRUV2_C3_start,36.9169,NFLIND_BRUV2_C3,ECM,35,Labridae,Halichoeres,biocellatus,37384107,2,No
NFLIND_BRUV2_C3_01.MP4,36757,10.2205,NFLIND_BRUV2_C3_start,7.1958,NFLIND_BRUV2_C3,ECM,35,Labridae,Labropsis,australis,37384132,1,No
NFLIND_BRUV2_C3_01.MP4,32432,9.0179,NFLIND_BRUV2_C3_start,5.9932,NFLIND_BRUV2_C3,ECM,35,Labridae,Oxycheilinus,orientalis,37384030,1,No
NFLIND_BRUV2_C3_04.MP4,31892,61.7873,NFLIND_BRUV2_C3_start,58.7626,NFLIND_BRUV2_C3,ECM,35,Labridae,Oxycheilinus,sp,,2,No
