Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
NFLIND_BRUV2_C3_01.MP4,11035,3.0683,NFLIND_BRUV2_C3_start,0.0437,264.74,1628.93,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Acanthochromis,polyacanthus,37372015,5,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,11035,3.0683,NFLIND_BRUV2_C3_start,0.0437,213.9,822.36,0,0,NFLIND_BRUV2_C3,ECM,35,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,11076,3.0797,NFLIND_BRUV2_C3_start,0.0551,324.35,694.36,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacanthidae,Centropyge,sp,,2,AD,Passing,bicolor
NFLIND_BRUV2_C3_01.MP4,11076,3.0797,NFLIND_BRUV2_C3_start,0.0551,210.39,920.55,0,0,NFLIND_BRUV2_C3,ECM,35,Scaridae,Scarus,sp,,6,AD,Passing,longipinnis
NFLIND_BRUV2_C3_01.MP4,11076,3.0797,NFLIND_BRUV2_C3_start,0.0551,376.95,1062.58,0,0,NFLIND_BRUV2_C3,ECM,35,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,11301,3.1423,NFLIND_BRUV2_C3_start,0.1176,305.06,732.93,0,0,NFLIND_BRUV2_C3,ECM,35,Lethrinidae,Gymnocranius,sp,,2,AD,Passing,euanus
NFLIND_BRUV2_C3_01.MP4,12860,3.5758,NFLIND_BRUV2_C3_start,0.5511,131.49,33.32,0,0,NFLIND_BRUV2_C3,ECM,35,Mullidae,Parupeneus,pleurostigma,37355027,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,13132,3.6514,NFLIND_BRUV2_C3_start,0.6267,504.94,440.11,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Acanthochromis,polyacanthus,37372015,8,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,13253,3.6851,NFLIND_BRUV2_C3_start,0.6604,415.52,334.9,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Pomacentrus,vaiuli,37372126,2,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,13386,3.7221,NFLIND_BRUV2_C3_start,0.6974,522.47,1316.82,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Acanthochromis,polyacanthus,37372015,9,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,13734,3.8188,NFLIND_BRUV2_C3_start,0.7941,208.64,625.97,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Oxycheilinus,sp,,1,AD,Passing,nigromarginatus
NFLIND_BRUV2_C3_01.MP4,17399,4.8379,NFLIND_BRUV2_C3_start,1.8132,217.4,897.75,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Pseudocoris,yamashiroi,37384145,1,M,Passing,
NFLIND_BRUV2_C3_01.MP4,17399,4.8379,NFLIND_BRUV2_C3_start,1.8132,222.66,1865.64,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Pseudocoris,yamashiroi,37384145,8,F,Passing,
NFLIND_BRUV2_C3_01.MP4,17399,4.8379,NFLIND_BRUV2_C3_start,1.8132,364.68,1544.77,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Chromis,lepidolepis,37372045,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,18031,5.0136,NFLIND_BRUV2_C3_start,1.9889,220.91,91.18,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Pomacentrus,vaiuli,37372126,2,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,18816,5.2319,NFLIND_BRUV2_C3_start,2.2072,469.87,494.47,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Pseudocheilinus,evanidus,37384142,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,19682,5.4727,NFLIND_BRUV2_C3_start,2.448,676.75,503.23,0,0,NFLIND_BRUV2_C3,ECM,35,Serranidae,Cephalopholis,spiloparaea,37311141,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,20343,5.6565,NFLIND_BRUV2_C3_start,2.6318,156.04,529.53,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Acanthochromis,polyacanthus,37372015,15,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,20490,5.6974,NFLIND_BRUV2_C3_start,2.6727,424.29,157.81,0,0,NFLIND_BRUV2_C3,ECM,35,Chaetodontidae,Chaetodon,kleinii,37365040,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,25009,6.9539,NFLIND_BRUV2_C3_start,3.9292,287.53,878.47,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Halichoeres,biocellatus,37384107,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,25009,6.9539,NFLIND_BRUV2_C3_start,3.9292,506.69,280.55,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacentridae,Chromis,ternatensis,37372051,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,25252,7.0215,NFLIND_BRUV2_C3_start,3.9968,222.66,797.81,0,0,NFLIND_BRUV2_C3,ECM,35,Labridae,Oxycheilinus,unifasciatus,37384068,1,AD,Passing,
NFLIND_BRUV2_C3_01.MP4,25307,7.0368,NFLIND_BRUV2_C3_start,4.0121,168.31,641.75,0,0,NFLIND_BRUV2_C3,ECM,35,Pomacanthidae,Genicanthus,sp,,1,AD,Passing,watanabei
