Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
SFLIND_DAY2_BRUV2_C6_01.MP4,9912,2.7561,SFLIND_DAY2_BRUV2_start,0.1109,455.84,576.88,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Carcharhinidae,Carcharhinus,albimarginatus,37018027,1,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,10199,2.8359,SFLIND_DAY2_BRUV2_start,0.1907,38.57,1451.84,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Lutjanidae,Lutjanus,bohar,37346029,2,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,10365,2.882,SFLIND_DAY2_BRUV2_start,0.2369,636.43,1865.64,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Mullidae,Parupeneus,pleurostigma,37355027,1,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,11664,3.2432,SFLIND_DAY2_BRUV2_start,0.5981,298.05,343.67,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Lutjanidae,Aprion,virescens,37346027,1,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,14703,4.0883,SFLIND_DAY2_BRUV2_start,1.4431,448.83,1271.23,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Acanthuridae,Acanthurus,sp,,5,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,15807,4.3952,SFLIND_DAY2_BRUV2_start,1.7501,653.96,1835.84,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Lutjanidae,Lutjanus,sp,,1,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,16854,4.6863,SFLIND_DAY2_BRUV2_start,2.0412,255.97,1043.29,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Lethrinidae,Gymnocranius,sp,,1,AD,Passing,euanus
SFLIND_DAY2_BRUV2_C6_01.MP4,19752,5.4922,SFLIND_DAY2_BRUV2_start,2.847,476.88,1190.58,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Caesionidae,Pterocaesio,marri,37346068,5,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,21610,6.0088,SFLIND_DAY2_BRUV2_start,3.3636,538.25,811.84,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Lutjanidae,Lutjanus,bohar,37346029,3,AD,Passing,
SFLIND_DAY2_BRUV2_C6_01.MP4,27071,7.5272,SFLIND_DAY2_BRUV2_start,4.8821,568.05,1329.1,0,0,SFLIND_DAY2_BRUV2_C6,ECM,44,Chaetodontidae,Chaetodon,auriga,37365019,2,AD,Passing,
