Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
SFLIND_DAY2_BRUV5_C3_01.MP4,12399,3.4476,SFLIND_DAY2_BRUV5_start,0.3434,SFLIND_DAY2_BRUV5_C3,ECM,59,Acanthuridae,Acanthurus,dussumieri,37437008,3,No
SFLIND_DAY2_BRUV5_C3_03.MP4,42755,47.357,SFLIND_DAY2_BRUV5_start,44.2528,SFLIND_DAY2_BRUV5_C3,ECM,59,Acanthuridae,Acanthurus,pyroferus,37437017,1,No
SFLIND_DAY2_BRUV5_C3_03.MP4,9366,38.073,SFLIND_DAY2_BRUV5_start,34.9688,SFLIND_DAY2_BRUV5_C3,ECM,59,Acanthuridae,Naso,brevirostris,37437026,1,No
SFLIND_DAY2_BRUV5_C3_04.MP4,5090,54.6852,SFLIND_DAY2_BRUV5_start,51.581,SFLIND_DAY2_BRUV5_C3,ECM,59,Acanthuridae,Naso,lituratus,37437029,1,No
SFLIND_DAY2_BRUV5_C3_03.MP4,47392,48.6464,SFLIND_DAY2_BRUV5_start,45.5422,SFLIND_DAY2_BRUV5_C3,ECM,59,Acanthuridae,Naso,vlamingii,37437032,3,No
SFLIND_DAY2_BRUV5_C3_02.MP4,11629,20.9345,SFLIND_DAY2_BRUV5_start,17.8303,SFLIND_DAY2_BRUV5_C3,ECM,59,Balistidae,Balistoides,conspicillum,37465031,1,No
SFLIND_DAY2_BRUV5_C3_03.MP4,54176,50.5327,SFLIND_DAY2_BRUV5_start,47.4285,SFLIND_DAY2_BRUV5_C3,ECM,59,Carangidae,Caranx,ignobilis,37337027,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,12271,3.412,SFLIND_DAY2_BRUV5_start,0.3078,SFLIND_DAY2_BRUV5_C3,ECM,59,Carcharhinidae,Carcharhinus,albimarginatus,37018027,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,12352,3.4345,SFLIND_DAY2_BRUV5_start,0.3303,SFLIND_DAY2_BRUV5_C3,ECM,59,Chaetodontidae,Chaetodon,auriga,37365019,2,No
SFLIND_DAY2_BRUV5_C3_01.MP4,11200,3.1142,SFLIND_DAY2_BRUV5_start,0.01,SFLIND_DAY2_BRUV5_C3,ECM,59,Chaetodontidae,Heniochus,diphreutes,37365005,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,29421,8.1807,SFLIND_DAY2_BRUV5_start,5.0765,SFLIND_DAY2_BRUV5_C3,ECM,59,Lethrinidae,Gymnocranius,sp,,4,No
SFLIND_DAY2_BRUV5_C3_01.MP4,23967,6.6642,SFLIND_DAY2_BRUV5_start,3.5599,SFLIND_DAY2_BRUV5_C3,ECM,59,Lethrinidae,Lethrinus,olivaceus,37351004,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,13853,3.8519,SFLIND_DAY2_BRUV5_start,0.7477,SFLIND_DAY2_BRUV5_C3,ECM,59,Lethrinidae,Monotaxis,grandoculis,37351026,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,24833,6.905,SFLIND_DAY2_BRUV5_start,3.8007,SFLIND_DAY2_BRUV5_C3,ECM,59,Lutjanidae,Aprion,virescens,37346027,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,47340,13.1631,SFLIND_DAY2_BRUV5_start,10.0589,SFLIND_DAY2_BRUV5_C3,ECM,59,Lutjanidae,Lutjanus,bohar,37346029,2,No
SFLIND_DAY2_BRUV5_C3_01.MP4,11678,3.2471,SFLIND_DAY2_BRUV5_start,0.1429,SFLIND_DAY2_BRUV5_C3,ECM,59,Lutjanidae,Macolor,macularis,37346047,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,19885,5.5291,SFLIND_DAY2_BRUV5_start,2.4249,SFLIND_DAY2_BRUV5_C3,ECM,59,Mullidae,Parupeneus,barberinus,37355022,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,13453,3.7407,SFLIND_DAY2_BRUV5_start,0.6365,SFLIND_DAY2_BRUV5_C3,ECM,59,Mullidae,Parupeneus,sp,,2,No
SFLIND_DAY2_BRUV5_C3_03.MP4,16864,40.1579,SFLIND_DAY2_BRUV5_start,37.0537,SFLIND_DAY2_BRUV5_C3,ECM,59,Nemipteridae,Pentapodus,sp,,3,No
SFLIND_DAY2_BRUV5_C3_03.MP4,31759,44.2995,SFLIND_DAY2_BRUV5_start,41.1953,SFLIND_DAY2_BRUV5_C3,ECM,59,Pomacanthidae,Genicanthus,sp,,1,No
SFLIND_DAY2_BRUV5_C3_04.MP4,34493,62.8609,SFLIND_DAY2_BRUV5_start,59.7566,SFLIND_DAY2_BRUV5_C3,ECM,59,Pomacentridae,Pomacentrus,sp,,1,No
SFLIND_DAY2_BRUV5_C3_03.MP4,45582,48.1431,SFLIND_DAY2_BRUV5_start,45.0389,SFLIND_DAY2_BRUV5_C3,ECM,59,Serranidae,Plectropomus,laevis,37311079,1,No
SFLIND_DAY2_BRUV5_C3_01.MP4,24833,6.905,SFLIND_DAY2_BRUV5_start,3.8007,SFLIND_DAY2_BRUV5_C3,ECM,59,Serranidae,Plectropomus,leopardus,37311078,2,No
