Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
HERALD_BRUV3_C5_01.MP4,55293,15.3745,HERALD_BRUV3_C5,10.8903,HERALD_BRUV3_C5,ECM,71,Acanthuridae,Acanthurus,dussumieri,37437008,1,No
HERALD_BRUV3_C5_01.MP4,51241,14.2478,HERALD_BRUV3_C5,9.7636,HERALD_BRUV3_C5,ECM,71,Acanthuridae,Acanthurus,mata,37437011,7,No
HERALD_BRUV3_C5_01.MP4,16443,4.5721,HERALD_BRUV3_C5,0.0879,HERALD_BRUV3_C5,ECM,71,Acanthuridae,Naso,lopezi,37437030,7,No
HERALD_BRUV3_C5_02.MP4,42253,29.383,HERALD_BRUV3_C5,24.8988,HERALD_BRUV3_C5,ECM,71,Balistidae,Abalistes,stellatus,37465011,2,No
HERALD_BRUV3_C5_01.MP4,26916,7.4841,HERALD_BRUV3_C5,2.9999,HERALD_BRUV3_C5,ECM,71,Balistidae,Odonus,niger,37465061,20,No
HERALD_BRUV3_C5_04.MP4,22231,59.0843,HERALD_BRUV3_C5,54.6001,HERALD_BRUV3_C5,ECM,71,Balistidae,Sufflamen,fraenatum,37465014,1,No
HERALD_BRUV3_C5_03.MP4,33006,44.4461,HERALD_BRUV3_C5,39.9619,HERALD_BRUV3_C5,ECM,71,Carangidae,Carangoides,orthogrammus,37337057,1,No
HERALD_BRUV3_C5_01.MP4,24012,6.6767,HERALD_BRUV3_C5,2.1925,HERALD_BRUV3_C5,ECM,71,Carangidae,Caranx,melampygus,37337050,2,No
HERALD_BRUV3_C5_01.MP4,18759,5.216,HERALD_BRUV3_C5,0.7318,HERALD_BRUV3_C5,ECM,71,Carcharhinidae,Carcharhinus,albimarginatus,37018027,1,No
HERALD_BRUV3_C5_02.MP4,27243,25.2094,HERALD_BRUV3_C5,20.7251,HERALD_BRUV3_C5,ECM,71,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,2,No
HERALD_BRUV3_C5_01.MP4,45369,12.6151,HERALD_BRUV3_C5,8.1309,HERALD_BRUV3_C5,ECM,71,Chaetodontidae,Heniochus,acuminatus,37365011,2,No
HERALD_BRUV3_C5_03.MP4,57963,51.3855,HERALD_BRUV3_C5,46.9013,HERALD_BRUV3_C5,ECM,71,Labridae,Choerodon,jordani,37384077,2,No
HERALD_BRUV3_C5_01.MP4,41767,11.6135,HERALD_BRUV3_C5,7.1293,HERALD_BRUV3_C5,ECM,71,Lethrinidae,Gymnocranius,sp,,5,No
HERALD_BRUV3_C5_03.MP4,25005,42.2213,HERALD_BRUV3_C5,37.7371,HERALD_BRUV3_C5,ECM,71,Lethrinidae,Lethrinus,rubrioperculatus,37351012,3,No
HERALD_BRUV3_C5_02.MP4,9022,20.1429,HERALD_BRUV3_C5,15.6587,HERALD_BRUV3_C5,ECM,71,Lutjanidae,Lutjanus,bohar,37346029,2,No
HERALD_BRUV3_C5_01.MP4,23764,6.6077,HERALD_BRUV3_C5,2.1235,HERALD_BRUV3_C5,ECM,71,Lutjanidae,Pristipomoides,filamentosus,,6,No
HERALD_BRUV3_C5_02.MP4,16773,22.2981,HERALD_BRUV3_C5,17.8139,HERALD_BRUV3_C5,ECM,71,Mullidae,Mulloidichthys,sp,,4,No
HERALD_BRUV3_C5_02.MP4,33858,27.0487,HERALD_BRUV3_C5,22.5645,HERALD_BRUV3_C5,ECM,71,Scombridae,Gymnosarda,unicolor,37441029,1,No
