Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
HOLM_BRUV4_C6_01.MP4,21941,6.1008,HOLMES_BRUV4_start,1.0822,HOLMES_BRUV4_C6,ECM,45,Acanthuridae,Naso,sp,,1,No
HOLM_BRUV4_C6_04.MP4,37614,63.395,HOLMES_BRUV4_start,58.3764,HOLMES_BRUV4_C6,ECM,45,Balistidae,Balistoides,conspicillum,37465031,1,No
HOLM_BRUV4_C6_01.MP4,60746,16.8908,HOLMES_BRUV4_start,11.8721,HOLMES_BRUV4_C6,ECM,45,Balistidae,Balistoides,viridescens,37465048,1,No
HOLM_BRUV4_C6_01.MP4,32240,8.9645,HOLMES_BRUV4_start,3.9459,HOLMES_BRUV4_C6,ECM,45,Labridae,Cheilinus,undulatus,37384038,1,No
HOLM_BRUV4_C6_01.MP4,44564,12.3913,HOLMES_BRUV4_start,7.3726,HOLMES_BRUV4_C6,ECM,45,Labridae,Halichoeres,biocellatus,37384107,1,No
HOLM_BRUV4_C6_04.MP4,3722,53.9711,HOLMES_BRUV4_start,48.9525,HOLMES_BRUV4_C6,ECM,45,Labridae,Oxycheilinus,unifasciatus,37384068,1,No
HOLM_BRUV4_C6_01.MP4,51855,14.4186,HOLMES_BRUV4_start,9.3999,HOLMES_BRUV4_C6,ECM,45,Labridae,Pseudocheilinus,evanidus,37384142,2,No
HOLM_BRUV4_C6_01.MP4,49169,13.6717,HOLMES_BRUV4_start,8.6531,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Gymnocranius,sp,,1,No
HOLM_BRUV4_C6_02.MP4,0,17.6676,HOLMES_BRUV4_start,12.649,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Lethrinus,erythracanthus,37351025,1,No
HOLM_BRUV4_C6_01.MP4,62382,17.3457,HOLMES_BRUV4_start,12.327,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Lethrinus,olivaceus,37351004,1,No
HOLM_BRUV4_C6_01.MP4,48474,13.4785,HOLMES_BRUV4_start,8.4598,HOLMES_BRUV4_C6,ECM,45,Lutjanidae,Lutjanus,bohar,37346029,1,No
HOLM_BRUV4_C6_01.MP4,49553,13.7785,HOLMES_BRUV4_start,8.7599,HOLMES_BRUV4_C6,ECM,45,Pomacanthidae,Pomacanthus,imperator,37365014,1,No
HOLM_BRUV4_C6_01.MP4,39643,11.023,HOLMES_BRUV4_start,6.0043,HOLMES_BRUV4_C6,ECM,45,Pomacentridae,Chrysiptera,sp,,1,No
HOLM_BRUV4_C6_01.MP4,39643,11.023,HOLMES_BRUV4_start,6.0043,HOLMES_BRUV4_C6,ECM,45,Pomacentridae,Pomacentrus,sp,,11,No
HOLM_BRUV4_C6_01.MP4,37018,10.2931,HOLMES_BRUV4_start,5.2744,HOLMES_BRUV4_C6,ECM,45,Serranidae,Cephalopholis,spiloparaea,37311141,2,No
HOLM_BRUV4_C6_01.MP4,28162,7.8306,HOLMES_BRUV4_start,2.812,HOLMES_BRUV4_C6,ECM,45,Serranidae,Plectropomus,laevis,37311079,1,No
HOLM_BRUV4_C6_01.MP4,57328,15.9404,HOLMES_BRUV4_start,10.9217,HOLMES_BRUV4_C6,ECM,45,Serranidae,Variola,louti,37311166,1,No
