Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
HOLM_BRUV4_C6_01.MP4,18099,5.0325,HOLMES_BRUV4_start,0.0139,224.42,220.93,0,0,HOLMES_BRUV4_C6,ECM,45,Pomacentridae,Pomacentrus,sp,,10,AD,Passing,iomelas
HOLM_BRUV4_C6_01.MP4,21941,6.1008,HOLMES_BRUV4_start,1.0822,120.97,1201.1,0,0,HOLMES_BRUV4_C6,ECM,45,Acanthuridae,Naso,sp,,1,AD,Passing,planktivore
HOLM_BRUV4_C6_01.MP4,28162,7.8306,HOLMES_BRUV4_start,2.812,106.95,831.12,0,0,HOLMES_BRUV4_C6,ECM,45,Serranidae,Plectropomus,laevis,37311079,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,32240,8.9645,HOLMES_BRUV4_start,3.9459,35.06,810.08,0,0,HOLMES_BRUV4_C6,ECM,45,Labridae,Cheilinus,undulatus,37384038,1,M,Passing,
HOLM_BRUV4_C6_01.MP4,32280,8.9756,HOLMES_BRUV4_start,3.957,869.61,1823.56,0,0,HOLMES_BRUV4_C6,ECM,45,Labridae,Pseudocheilinus,evanidus,37384142,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,37018,10.2931,HOLMES_BRUV4_start,5.2744,527.73,136.77,0,0,HOLMES_BRUV4_C6,ECM,45,Serranidae,Cephalopholis,spiloparaea,37311141,2,AD,Passing,
HOLM_BRUV4_C6_01.MP4,39643,11.023,HOLMES_BRUV4_start,6.0043,129.74,180.6,0,0,HOLMES_BRUV4_C6,ECM,45,Pomacentridae,Pomacentrus,sp,,11,AD,Passing,iomelas
HOLM_BRUV4_C6_01.MP4,39643,11.023,HOLMES_BRUV4_start,6.0043,468.12,813.59,0,0,HOLMES_BRUV4_C6,ECM,45,Pomacentridae,Chrysiptera,sp,,1,AD,Passing,starcki
HOLM_BRUV4_C6_01.MP4,44564,12.3913,HOLMES_BRUV4_start,7.3726,410.26,454.14,0,0,HOLMES_BRUV4_C6,ECM,45,Labridae,Halichoeres,biocellatus,37384107,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,48474,13.4785,HOLMES_BRUV4_start,8.4598,43.83,1574.58,0,0,HOLMES_BRUV4_C6,ECM,45,Lutjanidae,Lutjanus,bohar,37346029,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,49169,13.6717,HOLMES_BRUV4_start,8.6531,57.86,1486.9,0,0,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Gymnocranius,sp,,1,AD,Passing,euanus
HOLM_BRUV4_C6_01.MP4,49553,13.7785,HOLMES_BRUV4_start,8.7599,336.62,545.32,0,0,HOLMES_BRUV4_C6,ECM,45,Pomacanthidae,Pomacanthus,imperator,37365014,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,51855,14.4186,HOLMES_BRUV4_start,9.3999,622.4,994.19,0,0,HOLMES_BRUV4_C6,ECM,45,Labridae,Pseudocheilinus,evanidus,37384142,2,AD,Passing,
HOLM_BRUV4_C6_01.MP4,57328,15.9404,HOLMES_BRUV4_start,10.9217,105.19,866.19,0,0,HOLMES_BRUV4_C6,ECM,45,Serranidae,Variola,louti,37311166,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,60746,16.8908,HOLMES_BRUV4_start,11.8721,78.9,1536,0,0,HOLMES_BRUV4_C6,ECM,45,Balistidae,Balistoides,viridescens,37465048,1,AD,Passing,
HOLM_BRUV4_C6_01.MP4,62382,17.3457,HOLMES_BRUV4_start,12.327,26.3,490.96,0,0,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Lethrinus,olivaceus,37351004,1,AD,Passing,
HOLM_BRUV4_C6_02.MP4,0,17.6676,HOLMES_BRUV4_start,12.649,182.34,671.56,0,0,HOLMES_BRUV4_C6,ECM,45,Lethrinidae,Lethrinus,erythracanthus,37351025,1,AD,Passing,
HOLM_BRUV4_C6_04.MP4,3722,53.9711,HOLMES_BRUV4_start,48.9525,15.78,175.34,0,0,HOLMES_BRUV4_C6,ECM,45,Labridae,Oxycheilinus,unifasciatus,37384068,1,AD,Passing,
HOLM_BRUV4_C6_04.MP4,37614,63.395,HOLMES_BRUV4_start,58.3764,117.47,636.49,0,0,HOLMES_BRUV4_C6,ECM,45,Balistidae,Balistoides,conspicillum,37465031,1,AD,Passing,
