Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
KENN_BRUV4_C5_02.MP4,13051,21.2632,Kenn_BRUV4_Start,17.6343,KENN_BRUV4_C5,ECM,58,,Aipysurus,laevis,,1,No
KENN_BRUV4_C5_01.MP4,42428,11.7973,Kenn_BRUV4_Start,8.1684,KENN_BRUV4_C5,ECM,58,Acanthuridae,Acanthurus,dussumieri,,1,No
KENN_BRUV4_C5_02.MP4,14539,21.6769,Kenn_BRUV4_Start,18.048,KENN_BRUV4_C5,ECM,58,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,2,No
KENN_BRUV4_C5_01.MP4,35728,9.9344,Kenn_BRUV4_Start,6.3055,KENN_BRUV4_C5,ECM,58,Carcharhinidae,Galeocerdo,cuvier,37018022,1,No
KENN_BRUV4_C5_03.MP4,59696,51.8674,Kenn_BRUV4_Start,48.2385,KENN_BRUV4_C5,ECM,58,Chaetodontidae,Chaetodon,sp,,2,No
KENN_BRUV4_C5_01.MP4,44956,12.5003,Kenn_BRUV4_Start,8.8714,KENN_BRUV4_C5,ECM,58,Epinephelidae,Epinephelus,maculatus,37311011,1,No
KENN_BRUV4_C5_02.MP4,60391,34.4263,Kenn_BRUV4_Start,30.7974,KENN_BRUV4_C5,ECM,58,Labridae,Bodianus,perditio,37384007,1,No
KENN_BRUV4_C5_01.MP4,29526,8.2099,Kenn_BRUV4_Start,4.581,KENN_BRUV4_C5,ECM,58,Labridae,Hologymnosus,sp,,4,No
KENN_BRUV4_C5_01.MP4,22230,6.1812,Kenn_BRUV4_Start,2.5523,KENN_BRUV4_C5,ECM,58,Lethrinidae,Gymnocranius,sp,,7,No
KENN_BRUV4_C5_02.MP4,23075,24.0504,Kenn_BRUV4_Start,20.4215,KENN_BRUV4_C5,ECM,58,Lethrinidae,Lethrinus,rubrioperculatus,37351012,12,No
KENN_BRUV4_C5_03.MP4,38408,45.9481,Kenn_BRUV4_Start,42.3192,KENN_BRUV4_C5,ECM,58,Lutjanidae,Lutjanus,bohar,37346029,1,No
KENN_BRUV4_C5_01.MP4,25176,7.0003,Kenn_BRUV4_Start,3.3714,KENN_BRUV4_C5,ECM,58,Mullidae,Parupeneus,cyclostomus,37355025,1,No
KENN_BRUV4_C5_03.MP4,57093,51.1436,Kenn_BRUV4_Start,47.5147,KENN_BRUV4_C5,ECM,58,Mullidae,Parupeneus,multifasciatus,37355026,1,No
KENN_BRUV4_C5_03.MP4,57093,51.1436,Kenn_BRUV4_Start,47.5147,KENN_BRUV4_C5,ECM,58,Mullidae,Parupeneus,pleurostigma,37355027,3,No
KENN_BRUV4_C5_01.MP4,44956,12.5003,Kenn_BRUV4_Start,8.8714,KENN_BRUV4_C5,ECM,58,Mullidae,Parupeneus,sp,,2,No
KENN_BRUV4_C5_03.MP4,10421,38.1662,Kenn_BRUV4_Start,34.5373,KENN_BRUV4_C5,ECM,58,Pomacanthidae,Pomacanthus,imperator,37365014,1,No
KENN_BRUV4_C5_03.MP4,31362,43.9889,Kenn_BRUV4_Start,40.36,KENN_BRUV4_C5,ECM,58,Serranidae,Plectropomus,laevis,37311079,1,No
KENN_BRUV4_C5_01.MP4,25444,7.0748,Kenn_BRUV4_Start,3.4459,KENN_BRUV4_C5,ECM,58,Siganidae,Siganus,argenteus,37438007,2,No
