Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
LIHOUN_BRUV5_C4_03.MP4,57669,51.3538,Lihou N_BRUV5_C4,45.5561,LIHOU N_BRUV5_C4,ECM,51,Balistidae,Sufflamen,fraenatum,37465014,2,No
LIHOUN_BRUV5_C4_04.MP4,23058,59.3643,Lihou N_BRUV5_C4,53.5666,LIHOU N_BRUV5_C4,ECM,51,Caesionidae,Pterocaesio,marri,37346068,130,No
LIHOUN_BRUV5_C4_02.MP4,56868,33.4968,Lihou N_BRUV5_C4,27.6991,LIHOU N_BRUV5_C4,ECM,51,Carangidae,Caranx,ignobilis,37337027,1,No
LIHOUN_BRUV5_C4_01.MP4,52246,14.5273,Lihou N_BRUV5_C4,8.7296,LIHOU N_BRUV5_C4,ECM,51,Carangidae,Caranx,melampygus,37337050,1,No
LIHOUN_BRUV5_C4_01.MP4,52029,14.467,Lihou N_BRUV5_C4,8.6692,LIHOU N_BRUV5_C4,ECM,51,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,3,No
LIHOUN_BRUV5_C4_01.MP4,36532,10.1579,Lihou N_BRUV5_C4,4.3602,LIHOU N_BRUV5_C4,ECM,51,Carcharhinidae,Triaenodon,obesus,37018038,1,No
LIHOUN_BRUV5_C4_01.MP4,28502,7.9251,Lihou N_BRUV5_C4,2.1274,LIHOU N_BRUV5_C4,ECM,51,Chaetodontidae,Chaetodon,sp,,2,No
LIHOUN_BRUV5_C4_02.MP4,57662,33.7176,Lihou N_BRUV5_C4,27.9198,LIHOU N_BRUV5_C4,ECM,51,Labridae,Choerodon,jordani,37384077,2,No
LIHOUN_BRUV5_C4_03.MP4,20762,41.0916,Lihou N_BRUV5_C4,35.2939,LIHOU N_BRUV5_C4,ECM,51,Labridae,Cirrhilabrus,sp,,4,No
LIHOUN_BRUV5_C4_03.MP4,56372,50.9932,Lihou N_BRUV5_C4,45.1954,LIHOU N_BRUV5_C4,ECM,51,Labridae,Coris,dorsomacula,37384093,1,No
LIHOUN_BRUV5_C4_02.MP4,58456,33.9383,Lihou N_BRUV5_C4,28.1406,LIHOU N_BRUV5_C4,ECM,51,Labridae,Hologymnosus,doliatus,37384127,1,No
LIHOUN_BRUV5_C4_01.MP4,29597,8.2296,Lihou N_BRUV5_C4,2.4319,LIHOU N_BRUV5_C4,ECM,51,Labridae,Oxycheilinus,orientalis,37384030,1,No
LIHOUN_BRUV5_C4_01.MP4,32028,8.9056,Lihou N_BRUV5_C4,3.1078,LIHOU N_BRUV5_C4,ECM,51,Labridae,Oxycheilinus,sp,,2,No
LIHOUN_BRUV5_C4_03.MP4,21430,41.2773,Lihou N_BRUV5_C4,35.4796,LIHOU N_BRUV5_C4,ECM,51,Labridae,Pseudojuloides,sp,,1,No
LIHOUN_BRUV5_C4_02.MP4,54139,32.738,Lihou N_BRUV5_C4,26.9402,LIHOU N_BRUV5_C4,ECM,51,Lethrinidae,Lethrinus,miniatus,37351009,2,No
LIHOUN_BRUV5_C4_01.MP4,53791,14.9569,Lihou N_BRUV5_C4,9.1591,LIHOU N_BRUV5_C4,ECM,51,Lutjanidae,Lutjanus,bohar,37346029,3,No
LIHOUN_BRUV5_C4_03.MP4,444,35.4421,Lihou N_BRUV5_C4,29.6443,LIHOU N_BRUV5_C4,ECM,51,Malacanthidae,Malacanthus,brevirostris,37331009,3,No
LIHOUN_BRUV5_C4_04.MP4,14160,56.8902,Lihou N_BRUV5_C4,51.0924,LIHOU N_BRUV5_C4,ECM,51,Mullidae,Parupeneus,multifasciatus,37355026,2,No
LIHOUN_BRUV5_C4_01.MP4,23737,6.6002,Lihou N_BRUV5_C4,0.8025,LIHOU N_BRUV5_C4,ECM,51,Mullidae,Parupeneus,pleurostigma,37355027,1,No
LIHOUN_BRUV5_C4_02.MP4,55711,33.1751,Lihou N_BRUV5_C4,27.3774,LIHOU N_BRUV5_C4,ECM,51,Nemipteridae,Pentapodus,sp,,15,No
LIHOUN_BRUV5_C4_01.MP4,30706,8.538,Lihou N_BRUV5_C4,2.7402,LIHOU N_BRUV5_C4,ECM,51,Pomacanthidae,Centropyge,sp,,1,No
LIHOUN_BRUV5_C4_01.MP4,29973,8.3342,Lihou N_BRUV5_C4,2.5364,LIHOU N_BRUV5_C4,ECM,51,Scaridae,Scarus,sp,,4,No
LIHOUN_BRUV5_C4_01.MP4,57395,15.959,Lihou N_BRUV5_C4,10.1613,LIHOU N_BRUV5_C4,ECM,51,Serranidae,Plectropomus,laevis,37311079,2,No
