Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
LIHOU_BRUV4_C3_04.MP4,24621,59.7655,LIHOU.S_BRUV4_C3,56.7586,LIHOU.S_BRUV4_C3,ECM,61,Labridae,Choerodon,jordani,37384077,3,No
LIHOU_BRUV4_C3_04.MP4,26731,60.3522,LIHOU.S_BRUV4_C3,57.3453,LIHOU.S_BRUV4_C3,ECM,61,Labridae,Oxycheilinus,bimaculatus,37384063,2,No
LIHOU_BRUV4_C3_04.MP4,32914,62.0715,LIHOU.S_BRUV4_C3,59.0646,LIHOU.S_BRUV4_C3,ECM,61,Labridae,Oxycheilinus,sp,,7,No
LIHOU_BRUV4_C3_03.MP4,27626,42.9668,LIHOU.S_BRUV4_C3,39.9599,LIHOU.S_BRUV4_C3,ECM,61,Lethrinidae,Lethrinus,semicinctus,37351016,4,No
LIHOU_BRUV4_C3_01.MP4,25828,7.1816,LIHOU.S_BRUV4_C3,4.1747,LIHOU.S_BRUV4_C3,ECM,61,Lutjanidae,Aprion,virescens,37346027,1,No
LIHOU_BRUV4_C3_03.MP4,30140,43.6658,LIHOU.S_BRUV4_C3,40.659,LIHOU.S_BRUV4_C3,ECM,61,Monacanthidae,,sp,,3,No
LIHOU_BRUV4_C3_03.MP4,28102,43.0992,LIHOU.S_BRUV4_C3,40.0923,LIHOU.S_BRUV4_C3,ECM,61,Mullidae,Parupeneus,barberinoides,37355021,7,No
LIHOU_BRUV4_C3_03.MP4,28350,43.1681,LIHOU.S_BRUV4_C3,40.1612,LIHOU.S_BRUV4_C3,ECM,61,Nemipteridae,Pentapodus,nagasakiensis,37347012,3,No
LIHOU_BRUV4_C3_01.MP4,51683,14.3707,LIHOU.S_BRUV4_C3,11.3639,LIHOU.S_BRUV4_C3,ECM,61,Plotosidae,Plotosus,sp,,3,No
LIHOU_BRUV4_C3_01.MP4,57184,15.9003,LIHOU.S_BRUV4_C3,12.8934,LIHOU.S_BRUV4_C3,ECM,61,Pomacentridae,Chrysiptera,sp,,1,No
LIHOU_BRUV4_C3_01.MP4,53413,14.8518,LIHOU.S_BRUV4_C3,11.8449,LIHOU.S_BRUV4_C3,ECM,61,Synodontidae,Synodus,sp,,4,No
