Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
SAUM_N_BRUV3_C4_01.MP4,15514,4.3138,Drop3_start,0.0503,943.25,324.38,0,0,Saum_N_BRUV3_C4,ECM,36,Chaetodontidae,Chaetodon,kleinii,37365040,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,15514,4.3138,Drop3_start,0.0503,918.7,457.64,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,Oxycheilinus,bimaculatus,37384063,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,15514,4.3138,Drop3_start,0.0503,771.43,354.19,0,0,Saum_N_BRUV3_C4,ECM,36,Balistidae,Sufflamen,chrysopterum,37465079,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,16858,4.6875,Drop3_start,0.424,867.86,343.67,0,0,Saum_N_BRUV3_C4,ECM,36,Mullidae,Parupeneus,multifasciatus,37355026,3,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,17117,4.7595,Drop3_start,0.4961,1018.64,822.36,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,Pseudocheilinus,evanidus,37384142,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,17240,4.7937,Drop3_start,0.5303,718.83,115.73,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,Cirrhilabrus,sp,,4,AD,Passing,laboutei
SAUM_N_BRUV3_C4_01.MP4,19892,5.5311,Drop3_start,1.2677,724.09,1052.05,0,0,Saum_N_BRUV3_C4,ECM,36,Mullidae,Parupeneus,multifasciatus,37355026,12,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,19892,5.5311,Drop3_start,1.2677,771.43,1034.52,0,0,Saum_N_BRUV3_C4,ECM,36,Mullidae,Parupeneus,pleurostigma,37355027,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,21477,5.9718,Drop3_start,1.7084,678.51,1153.75,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,,sp,,3,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,21487,5.9746,Drop3_start,1.7112,745.13,1788.49,0,0,Saum_N_BRUV3_C4,ECM,36,Balistidae,Sufflamen,fraenatum,37465014,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,21636,6.016,Drop3_start,1.7526,969.55,874.96,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,Pseudocheilinus,evanidus,37384142,2,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,22522,6.2624,Drop3_start,1.9989,462.86,1206.36,0,0,Saum_N_BRUV3_C4,ECM,36,Carcharhinidae,Carcharhinus,amblyrhynchos,37018030,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,22529,6.2643,Drop3_start,2.0009,704.81,1607.89,0,0,Saum_N_BRUV3_C4,ECM,36,Balistidae,Balistoides,conspicillum,37465031,1,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,23604,6.5632,Drop3_start,2.2998,999.35,594.41,0,0,Saum_N_BRUV3_C4,ECM,36,Pomacentridae,Pomacentrus,sp,,2,AD,Passing,
SAUM_N_BRUV3_C4_01.MP4,23769,6.6091,Drop3_start,2.3457,622.4,285.81,0,0,Saum_N_BRUV3_C4,ECM,36,Labridae,Cirrhilabrus,sp,,14,AD,Passing,laboutei
SAUM_N_BRUV3_C4_01.MP4,29526,8.2099,Drop3_start,3.9464,722.34,894.25,0,0,Saum_N_BRUV3_C4,ECM,36,Synodontidae,Synodus,sp,,1,AD,Passing,euanus
SAUM_N_BRUV3_C4_01.MP4,37073,10.3084,Drop3_start,6.0449,657.47,1036.27,0,0,Saum_N_BRUV3_C4,ECM,36,Lethrinidae,Lethrinus,rubrioperculatus,37351012,8,AD,Passing,
