Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
WILLIS_BRUV2_C4_01.MP4,15409,4.2846,,,212.14,1814.79,0,0,WILLIS_BRUV2_C4,ECM,45,Lethrinidae,Gymnocranius,sp,,1,AD,Passing,euanus
WILLIS_BRUV2_C4_01.MP4,15409,4.2846,,,550.52,1474.63,0,0,WILLIS_BRUV2_C4,ECM,45,Chaetodontidae,Chaetodon,sp,,1,AD,Passing,mertensii
WILLIS_BRUV2_C4_01.MP4,17831,4.958,WILLIS_BRUV2_Start,0.649,485.65,1038.03,0,0,WILLIS_BRUV2_C4,ECM,45,Acanthuridae,Acanthurus,olivaceus,37437016,2,AD,Passing,
WILLIS_BRUV2_C4_01.MP4,19620,5.4554,WILLIS_BRUV2_Start,1.1464,364.68,1536,0,0,WILLIS_BRUV2_C4,ECM,45,Lethrinidae,Gymnocranius,sp,,2,AD,Passing,euanus
WILLIS_BRUV2_C4_01.MP4,25162,6.9964,WILLIS_BRUV2_Start,2.6874,850.32,729.42,0,0,WILLIS_BRUV2_C4,ECM,45,Serranidae,Cephalopholis,sonnerati,37311045,3,AD,Passing,
WILLIS_BRUV2_C4_01.MP4,25162,6.9964,WILLIS_BRUV2_Start,2.6874,597.86,394.52,0,0,WILLIS_BRUV2_C4,ECM,45,Balistidae,Sufflamen,fraenatum,37465014,1,AD,Passing,
WILLIS_BRUV2_C4_01.MP4,29019,8.0689,WILLIS_BRUV2_Start,3.7599,355.91,1299.29,0,0,WILLIS_BRUV2_C4,ECM,45,Labridae,Hologymnosus,sp,,1,AD,Passing,longipes
WILLIS_BRUV2_C4_01.MP4,29019,8.0689,WILLIS_BRUV2_Start,3.7599,667.99,1358.9,0,0,WILLIS_BRUV2_C4,ECM,45,Lethrinidae,Lethrinus,semicinctus,37351016,1,AD,Passing,
WILLIS_BRUV2_C4_01.MP4,29109,8.0939,WILLIS_BRUV2_Start,3.7849,443.57,1229.15,0,0,WILLIS_BRUV2_C4,ECM,45,Lethrinidae,Gymnocranius,sp,,4,AD,Passing,euanus
WILLIS_BRUV2_C4_01.MP4,29454,8.1898,WILLIS_BRUV2_Start,3.8808,711.82,1190.58,0,0,WILLIS_BRUV2_C4,ECM,45,Balistidae,Sufflamen,fraenatum,37465014,2,AD,Passing,
