Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
WILLIS_BRUV4_C6_01.MP4,49210,13.6831,WILLIS_BRUV4_start,10.2166,WILLIS_BRUV4_C6,ECM,62,Acanthuridae,Acanthurus,thompsoni,37437018,1,No
WILLIS_BRUV4_C6_01.MP4,12807,3.5611,WILLIS_BRUV4_start,0.0945,WILLIS_BRUV4_C6,ECM,62,Acanthuridae,Ctenochaetus,binotatus,37437021,2,No
WILLIS_BRUV4_C6_03.MP4,48928,48.89,WILLIS_BRUV4_start,45.4234,WILLIS_BRUV4_C6,ECM,62,Acanthuridae,Naso,annulatus,37437024,1,No
WILLIS_BRUV4_C6_03.MP4,27685,42.9832,WILLIS_BRUV4_start,39.5167,WILLIS_BRUV4_C6,ECM,62,Acanthuridae,Naso,sp,,6,No
WILLIS_BRUV4_C6_03.MP4,27021,42.7986,WILLIS_BRUV4_start,39.3321,WILLIS_BRUV4_C6,ECM,62,Balistidae,Balistapus,undulatus,37465047,1,No
WILLIS_BRUV4_C6_01.MP4,12473,3.4682,WILLIS_BRUV4_start,0.0017,WILLIS_BRUV4_C6,ECM,62,Balistidae,Sufflamen,sp,,1,No
WILLIS_BRUV4_C6_02.MP4,38309,28.303,WILLIS_BRUV4_start,24.8365,WILLIS_BRUV4_C6,ECM,62,Balistidae,Xanthichthys,auromarginatus,37465080,3,No
WILLIS_BRUV4_C6_02.MP4,8585,20.0381,WILLIS_BRUV4_start,16.5716,WILLIS_BRUV4_C6,ECM,62,Carangidae,,sp,,1,No
WILLIS_BRUV4_C6_04.MP4,36810,63.1548,WILLIS_BRUV4_start,59.6882,WILLIS_BRUV4_C6,ECM,62,Carcharhinidae,Triaenodon,obesus,37018038,2,No
WILLIS_BRUV4_C6_01.MP4,13167,3.6612,WILLIS_BRUV4_start,0.1946,WILLIS_BRUV4_C6,ECM,62,Labridae,Anampses,geographicus,37384048,1,No
WILLIS_BRUV4_C6_02.MP4,8585,20.0381,WILLIS_BRUV4_start,16.5716,WILLIS_BRUV4_C6,ECM,62,Labridae,Cheilinus,undulatus,37384038,1,No
WILLIS_BRUV4_C6_01.MP4,50168,13.9495,WILLIS_BRUV4_start,10.483,WILLIS_BRUV4_C6,ECM,62,Labridae,Cirrhilabrus,sp,,6,No
WILLIS_BRUV4_C6_02.MP4,14321,21.633,WILLIS_BRUV4_start,18.1665,WILLIS_BRUV4_C6,ECM,62,Labridae,Labropsis,australis,37384132,1,No
WILLIS_BRUV4_C6_01.MP4,42648,11.8585,WILLIS_BRUV4_start,8.392,WILLIS_BRUV4_C6,ECM,62,Labridae,Oxycheilinus,sp,,4,No
WILLIS_BRUV4_C6_02.MP4,37058,27.9551,WILLIS_BRUV4_start,24.4886,WILLIS_BRUV4_C6,ECM,62,Labridae,Pseudocheilinus,evanidus,37384142,1,No
WILLIS_BRUV4_C6_01.MP4,14665,4.0777,WILLIS_BRUV4_start,0.6112,WILLIS_BRUV4_C6,ECM,62,Labridae,Pseudojuloides,sp,,1,No
WILLIS_BRUV4_C6_02.MP4,56199,33.2774,WILLIS_BRUV4_start,29.8109,WILLIS_BRUV4_C6,ECM,62,Lethrinidae,Gymnocranius,sp,,1,No
WILLIS_BRUV4_C6_03.MP4,27685,42.9832,WILLIS_BRUV4_start,39.5167,WILLIS_BRUV4_C6,ECM,62,Lethrinidae,Lethrinus,erythracanthus,37351025,1,No
WILLIS_BRUV4_C6_02.MP4,57634,33.6764,WILLIS_BRUV4_start,30.2099,WILLIS_BRUV4_C6,ECM,62,Lethrinidae,Lethrinus,sp,,1,No
WILLIS_BRUV4_C6_04.MP4,36473,63.0611,WILLIS_BRUV4_start,59.5945,WILLIS_BRUV4_C6,ECM,62,Lutjanidae,Lutjanus,bohar,37346029,2,No
WILLIS_BRUV4_C6_02.MP4,31216,26.3307,WILLIS_BRUV4_start,22.8642,WILLIS_BRUV4_C6,ECM,62,Malacanthidae,Hoplolatilus,sp,,2,No
WILLIS_BRUV4_C6_02.MP4,8680,20.0645,WILLIS_BRUV4_start,16.598,WILLIS_BRUV4_C6,ECM,62,Mullidae,Parupeneus,multifasciatus,37355026,1,No
WILLIS_BRUV4_C6_02.MP4,57634,33.6764,WILLIS_BRUV4_start,30.2099,WILLIS_BRUV4_C6,ECM,62,Mullidae,Parupeneus,pleurostigma,37355027,2,No
WILLIS_BRUV4_C6_03.MP4,3561,36.2754,WILLIS_BRUV4_start,32.8089,WILLIS_BRUV4_C6,ECM,62,Nemipteridae,Pentapodus,sp,,9,No
WILLIS_BRUV4_C6_01.MP4,15944,4.4333,WILLIS_BRUV4_start,0.9668,WILLIS_BRUV4_C6,ECM,62,Pomacanthidae,Centropyge,bispinosa,37365023,1,No
WILLIS_BRUV4_C6_01.MP4,19142,5.3225,WILLIS_BRUV4_start,1.856,WILLIS_BRUV4_C6,ECM,62,Pomacanthidae,Centropyge,sp,,3,No
WILLIS_BRUV4_C6_01.MP4,15828,4.4011,WILLIS_BRUV4_start,0.9345,WILLIS_BRUV4_C6,ECM,62,Pomacanthidae,Genicanthus,sp,,6,No
WILLIS_BRUV4_C6_02.MP4,1381,18.035,WILLIS_BRUV4_start,14.5684,WILLIS_BRUV4_C6,ECM,62,Scaridae,Scarus,sp,,2,No
WILLIS_BRUV4_C6_01.MP4,47186,13.1203,WILLIS_BRUV4_start,9.6538,WILLIS_BRUV4_C6,ECM,62,Serranidae,Cephalopholis,spiloparaea,,1,No
