Filename,Frame,Time (mins),Period,Period time (mins),Image row,Image col,Width,Height,OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
WRECK_W_BRUV1_C6_01.MP4,19340,5.3776,WRECK_D1_C6_Start,0.0929,531.23,1730.63,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Chromis,sp,,1,AD,Passing,chrysura
WRECK_W_BRUV1_C6_01.MP4,19340,5.3776,WRECK_D1_C6_Start,0.0929,817.01,1646.47,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Thalassoma,lutescens,37384168,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,19340,5.3776,WRECK_D1_C6_Start,0.0929,394.48,1735.89,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Chromis,sp,,1,AD,Passing,iomelas
WRECK_W_BRUV1_C6_01.MP4,19340,5.3776,WRECK_D1_C6_Start,0.0929,308.57,631.23,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Chromis,sp,,1,AD,Passing,xanthura
WRECK_W_BRUV1_C6_01.MP4,19928,5.5411,WRECK_D1_C6_Start,0.2564,450.58,78.9,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Pseudodax,moluccanus,37384146,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,20249,5.6303,WRECK_D1_C6_Start,0.3456,343.64,1406.25,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Coris,aygula,37384090,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,20370,5.664,WRECK_D1_C6_Start,0.3793,419.03,178.85,0,0,WRECK_W_BRUV1_C6,ECM,31,Scaridae,Chlorurus,sordidus,37386030,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,20478,5.694,WRECK_D1_C6_Start,0.4093,403.25,243.73,0,0,WRECK_W_BRUV1_C6,ECM,31,Scaridae,Scarus,sp,,5,AD,Passing,longipinnis
WRECK_W_BRUV1_C6_01.MP4,20915,5.8155,WRECK_D1_C6_Start,0.5308,603.12,133.26,0,0,WRECK_W_BRUV1_C6,ECM,31,Zanclidae,Zanclus,cornutus,37437001,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,20915,5.8155,WRECK_D1_C6_Start,0.5308,967.79,699.62,0,0,WRECK_W_BRUV1_C6,ECM,31,Serranidae,Cephalopholis,urodeta,37311142,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,20915,5.8155,WRECK_D1_C6_Start,0.5308,787.21,415.56,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,21563,5.9957,WRECK_D1_C6_Start,0.711,764.42,140.27,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Chaetodon,sp,,1,AD,Passing,mertensii
WRECK_W_BRUV1_C6_01.MP4,21628,6.0138,WRECK_D1_C6_Start,0.7291,397.99,1874.41,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Chromis,sp,,2,AD,Passing,iomelas
WRECK_W_BRUV1_C6_01.MP4,21864,6.0794,WRECK_D1_C6_Start,0.7947,78.9,387.51,0,0,WRECK_W_BRUV1_C6,ECM,31,Carcharhinidae,Carcharhinus,albimarginatus,37018027,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,21864,6.0794,WRECK_D1_C6_Start,0.7947,206.88,1642.96,0,0,WRECK_W_BRUV1_C6,ECM,31,Serranidae,Plectropomus,laevis,37311079,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,24438,6.7951,WRECK_D1_C6_Start,1.5104,631.17,319.12,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Acanthurus,pyroferus,37437017,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,24438,6.7951,WRECK_D1_C6_Start,1.5104,776.69,547.07,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Ctenochaetus,striatus,37437022,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,24438,6.7951,WRECK_D1_C6_Start,1.5104,846.82,420.82,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Chaetodon,sp,,1,AD,Passing,melannotus
WRECK_W_BRUV1_C6_01.MP4,25883,7.1969,WRECK_D1_C6_Start,1.9122,911.69,1702.58,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Thalassoma,lutescens,37384168,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,26051,7.2436,WRECK_D1_C6_Start,1.9589,485.65,150.79,0,0,WRECK_W_BRUV1_C6,ECM,31,Scaridae,Scarus,psittacus,37386024,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,26697,7.4232,WRECK_D1_C6_Start,2.1385,366.43,1027.51,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Labroides,bicolor,37384130,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,26848,7.4652,WRECK_D1_C6_Start,2.1805,520.71,138.52,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Oxycheilinus,unifasciatus,37384068,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,27084,7.5309,WRECK_D1_C6_Start,2.2461,706.56,448.88,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Acanthurus,pyroferus,37437017,3,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,27084,7.5309,WRECK_D1_C6_Start,2.2461,943.25,1313.32,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Chaetodon,sp,,2,AD,Passing,mertensii
WRECK_W_BRUV1_C6_01.MP4,27084,7.5309,WRECK_D1_C6_Start,2.2461,895.91,724.16,0,0,WRECK_W_BRUV1_C6,ECM,31,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,27535,7.6563,WRECK_D1_C6_Start,2.3715,490.91,319.12,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Hemigymnus,fasciatus,37384124,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,28891,8.0333,WRECK_D1_C6_Start,2.7486,478.64,1150.25,0,0,WRECK_W_BRUV1_C6,ECM,31,Lutjanidae,Macolor,macularis,37346047,1,J,Passing,
WRECK_W_BRUV1_C6_01.MP4,28891,8.0333,WRECK_D1_C6_Start,2.7486,864.35,459.4,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Chaetodon,sp,,2,AD,Passing,melannotus
WRECK_W_BRUV1_C6_01.MP4,33255,9.2467,WRECK_D1_C6_Start,3.962,902.92,708.38,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Thalassoma,lutescens,37384168,3,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,34179,9.5037,WRECK_D1_C6_Start,4.2189,185.84,229.7,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Hemitaurichthys,polylepis,37365074,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,36440,10.1323,WRECK_D1_C6_Start,4.8476,191.1,487.45,0,0,WRECK_W_BRUV1_C6,ECM,31,Serranidae,Plectropomus,laevis,37311079,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,36475,10.1421,WRECK_D1_C6_Start,4.8574,255.97,403.29,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Labroides,bicolor,37384130,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,36820,10.238,WRECK_D1_C6_Start,4.9533,692.53,159.56,0,0,WRECK_W_BRUV1_C6,ECM,31,Mullidae,Parupeneus,cyclostomus,37355025,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,36820,10.238,WRECK_D1_C6_Start,4.9533,462.86,554.08,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Acanthurus,sp,,1,AD,Passing,albipectoralis
WRECK_W_BRUV1_C6_01.MP4,38458,10.6935,WRECK_D1_C6_Start,5.4087,198.12,1116.93,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Hemitaurichthys,polylepis,37365074,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,39059,10.8606,WRECK_D1_C6_Start,5.5758,357.66,1763.95,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Chromis,sp,,3,AD,Passing,iomelas
WRECK_W_BRUV1_C6_01.MP4,43817,12.1836,WRECK_D1_C6_Start,6.8988,611.88,1618.41,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacentridae,Plectroglyphidodon,johnstonianus,37372100,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,45663,12.6969,WRECK_D1_C6_Start,7.4121,689.03,464.66,0,0,WRECK_W_BRUV1_C6,ECM,31,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,47843,13.303,WRECK_D1_C6_Start,8.0183,385.71,789.04,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Pseudocoris,yamashiroi,37384145,17,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,48614,13.5174,WRECK_D1_C6_Start,8.2327,885.39,1707.84,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Anampses,geographicus,37384048,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,48614,13.5174,WRECK_D1_C6_Start,8.2327,285.78,1536,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Oxycheilinus,unifasciatus,37384068,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,49585,13.7874,WRECK_D1_C6_Start,8.5027,655.71,108.71,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Hologymnosus,annulatus,37384126,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,50665,14.0877,WRECK_D1_C6_Start,8.803,403.25,910.03,0,0,WRECK_W_BRUV1_C6,ECM,31,Scaridae,Scarus,psittacus,37386024,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,52279,14.5365,WRECK_D1_C6_Start,9.2517,759.16,568.11,0,0,WRECK_W_BRUV1_C6,ECM,31,Chaetodontidae,Chaetodon,kleinii,37365040,1,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,56024,15.5778,WRECK_D1_C6_Start,10.2931,696.04,913.53,0,0,WRECK_W_BRUV1_C6,ECM,31,Pomacanthidae,Centropyge,sp,,2,AD,Passing,
WRECK_W_BRUV1_C6_01.MP4,56421,15.6882,WRECK_D1_C6_Start,10.4034,506.69,1781.48,0,0,WRECK_W_BRUV1_C6,ECM,31,Labridae,Anampses,neoguinaicus,37384050,1,AD,Passing,
