Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Family,Genus,Species,Code,MaxN,Has fed
WRECK_W_BRUV4_C4_02.MP4,24762,24.5362,Drop4 Start,18.2777,WRECK_BRUV4_C4,ECM,53,Acanthuridae,Naso,caesius,37437046,2,No
WRECK_W_BRUV4_C4_01.MP4,56624,15.7446,Drop4 Start,9.4861,WRECK_BRUV4_C4,ECM,53,Balistidae,Pseudobalistes,fuscus,37465027,1,No
WRECK_W_BRUV4_C4_01.MP4,56690,15.763,Drop4 Start,9.5045,WRECK_BRUV4_C4,ECM,53,Balistidae,Sufflamen,fraenatum,37465014,1,No
WRECK_W_BRUV4_C4_03.MP4,46348,48.1726,Drop4 Start,41.9141,WRECK_BRUV4_C4,ECM,53,Carangidae,Carangoides,orthogrammus,37337057,1,No
WRECK_W_BRUV4_C4_03.MP4,3027,36.1269,Drop4 Start,29.8684,WRECK_BRUV4_C4,ECM,53,Carangidae,Caranx,melampygus,37337050,1,No
WRECK_W_BRUV4_C4_02.MP4,53047,32.401,Drop4 Start,26.1425,WRECK_BRUV4_C4,ECM,53,Carcharhinidae,Carcharhinus,albimarginatus,37018027,2,No
WRECK_W_BRUV4_C4_04.MP4,53493,67.7936,,,WRECK_BRUV4_C4,ECM,53,Chaetodontidae,Chaetodon,auriga,37365019,2,No
WRECK_W_BRUV4_C4_01.MP4,62385,17.3465,Drop4 Start,11.088,WRECK_BRUV4_C4,ECM,53,Labridae,Bodianus,perditio,37384007,2,No
WRECK_W_BRUV4_C4_01.MP4,24649,6.8538,Drop4 Start,0.5953,WRECK_BRUV4_C4,ECM,53,Labridae,Oxycheilinus,bimaculatus,37384063,4,No
WRECK_W_BRUV4_C4_02.MP4,23521,24.1911,Drop4 Start,17.9326,WRECK_BRUV4_C4,ECM,53,Lethrinidae,Gymnocranius,sp,,2,No
WRECK_W_BRUV4_C4_02.MP4,47092,30.7452,Drop4 Start,24.4867,WRECK_BRUV4_C4,ECM,53,Lethrinidae,Lethrinus,rubrioperculatus,37351012,4,No
WRECK_W_BRUV4_C4_01.MP4,36905,10.2616,Drop4 Start,4.0032,WRECK_BRUV4_C4,ECM,53,Lutjanidae,Lutjanus,bohar,37346029,1,No
WRECK_W_BRUV4_C4_03.MP4,63071,52.8225,Drop4 Start,46.564,WRECK_BRUV4_C4,ECM,53,Mullidae,Mulloidichthys,vanicolensis,37355020,1,No
WRECK_W_BRUV4_C4_01.MP4,22508,6.2585,Drop4 Start,0,WRECK_BRUV4_C4,ECM,53,Pinguipedidae,Parapercis,sp,,1,No
WRECK_W_BRUV4_C4_03.MP4,24712,42.1566,Drop4 Start,35.8981,WRECK_BRUV4_C4,ECM,53,Pomacanthidae,Pomacanthus,imperator,37365014,1,No
WRECK_W_BRUV4_C4_04.MP4,56,52.9351,Drop4 Start,46.6766,WRECK_BRUV4_C4,ECM,53,Scaridae,Hipposcarus,longiceps,37386008,1,No
WRECK_W_BRUV4_C4_02.MP4,9853,20.3906,Drop4 Start,14.1322,WRECK_BRUV4_C4,ECM,53,Serranidae,Variola,louti,37311166,1,No
