"filename","Reef","Site","Drop","Count_type","Survey","Filename","Frame","Time (mins)","Period","Period time (mins)","OpCode","TapeReader","Depth","Family","Genus","Species","Code","MaxN","Has fed","Image row","Image col","Width","Height","Number","Stage","Activity","Comment","Transect","Species_name"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_04.MP4",46,52.9991,"ASHMORE_BRUV1_C1_start",48.1817,"ASHMORE_BRUV1_C1","ECM",38,"Balistidae","Balistoides","viridescens",37465048,1,NA,422.53,689.1,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Balistoides viridescens"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_03.MP4",56331,50.9818,"ASHMORE_BRUV1_C1_start",46.1645,"ASHMORE_BRUV1_C1","ECM",38,"Carangidae","Carangoides","ferdau",37337068,2,NA,399.74,678.58,0,0,2,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Carangoides ferdau"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_01.MP4",43574,12.116,"ASHMORE_BRUV1_C1_start",7.2987,"ASHMORE_BRUV1_C1","ECM",38,"Carangidae","Scomberoides","lysan",37337046,1,NA,85.91,1257.21,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Scomberoides lysan"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_01.MP4",44097,12.2614,"ASHMORE_BRUV1_C1_start",7.4441,"ASHMORE_BRUV1_C1","ECM",38,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,NA,753.9,871.45,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Carcharhinus amblyrhynchos"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_01.MP4",33191,9.2289,"ASHMORE_BRUV1_C1_start",4.4116,"ASHMORE_BRUV1_C1","ECM",38,"Chaetodontidae","Chaetodon","auriga",37365019,2,NA,522.47,471.67,0,0,2,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Chaetodon auriga"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_03.MP4",3888,36.3997,"ASHMORE_BRUV1_C1_start",31.5824,"ASHMORE_BRUV1_C1","ECM",38,"Dasyatidae","Neotrygon","kuhlii",NA,1,NA,676.75,952.11,0,0,1,"AD","Passing","kuhlii","ASHMORE_BRUV1_C1_start","Neotrygon kuhlii"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_03.MP4",45472,47.9624,"ASHMORE_BRUV1_C1_start",43.145,"ASHMORE_BRUV1_C1","ECM",38,"Labridae","Cheilinus","undulatus",37384038,1,NA,56.1,1002.96,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Cheilinus undulatus"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_03.MP4",32338,44.3104,"ASHMORE_BRUV1_C1_start",39.4931,"ASHMORE_BRUV1_C1","ECM",38,"Lethrinidae","Lethrinus","nebulosus",37351008,1,NA,680.26,1029.26,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Lethrinus nebulosus"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_02.MP4",15920,22.0943,"ASHMORE_BRUV1_C1_start",17.277,"ASHMORE_BRUV1_C1","ECM",38,"Lutjanidae","Lutjanus","bohar",37346029,1,NA,578.57,196.38,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Lutjanus bohar"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_01.MP4",27739,7.713,"ASHMORE_BRUV1_C1_start",2.8957,"ASHMORE_BRUV1_C1","ECM",38,"Serranidae","Plectropomus","leopardus",37311078,1,NA,764.42,426.08,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Plectropomus leopardus"
"ASHMORE_1_DROP1_POINT_OCT2021","Ashmore","Ashmore_1","DROP1","POINT","Oct_21","ASHMORE_BRUV1_C1_02.MP4",39934,28.7715,"ASHMORE_BRUV1_C1_start",23.9542,"ASHMORE_BRUV1_C1","ECM",38,"Sphyraenidae","Sphyraena","barracuda",37382008,1,NA,278.77,1346.63,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV1_C1_start","Sphyraena barracuda"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_03.MP4",58054,51.561,"ASHMORE_BRUV3_C4_start",46.7748,"ASHMORE_BRUV3_C4","ECM",42,"Carangidae","Carangoides","fulvoguttatus",37337037,1,NA,508.44,1311.56,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV3_C4_start","Carangoides fulvoguttatus"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_04.MP4",35620,63.0408,"ASHMORE_BRUV3_C4_start",58.2546,"ASHMORE_BRUV3_C4","ECM",42,"Carangidae","Caranx","ignobilis",37337027,1,NA,361.17,263.01,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV3_C4_start","Caranx ignobilis"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_03.MP4",41274,46.8952,"ASHMORE_BRUV3_C4_start",42.109,"ASHMORE_BRUV3_C4","ECM",42,"Carangidae","Gnathanodon","speciosus",37337012,1,NA,75.39,1067.84,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV3_C4_start","Gnathanodon speciosus"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_04.MP4",40786,64.4772,"ASHMORE_BRUV3_C4_start",59.691,"ASHMORE_BRUV3_C4","ECM",42,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,NA,813.51,401.53,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV3_C4_start","Carcharhinus albimarginatus"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_04.MP4",40580,64.4199,"ASHMORE_BRUV3_C4_start",59.6337,"ASHMORE_BRUV3_C4","ECM",42,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,NA,482.14,857.42,0,0,1,"AD","Passing",NA,"ASHMORE_BRUV3_C4_start","Carcharhinus amblyrhynchos"
"ASHMORE_1_DROP3_POINT_OCT2021","Ashmore","Ashmore_1","DROP3","POINT","Oct_21","ASHMORE_BRUV3_Cam4_01.MP4",24298,6.7562,"ASHMORE_BRUV3_C4_start",1.97,"ASHMORE_BRUV3_C4","ECM",42,"Lethrinidae","Gymnocranius","euanus",NA,1,NA,669.74,711.89,0,0,1,"AD","Passing","euanus","ASHMORE_BRUV3_C4_start","Gymnocranius euanus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH020001.MP4",53811,32.6134,"ASH_BRUV4_C11_start",27.4179,"ASHMORE_BRUV4_Cam11","ECM",28,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,NA,455.84,1027.51,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start","Pseudobalistes flavimarginatus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH020001.MP4",38950,28.4812,"ASH_BRUV4_C11_start",23.2858,"ASHMORE_BRUV4_Cam11","ECM",28,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,NA,711.82,1667.51,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start","Carcharhinus amblyrhynchos"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",19072,5.3031,"ASH_BRUV4_C11_start",0.1076,"ASHMORE_BRUV4_Cam11","ECM",28,"Chaetodontidae","Chaetodon","kleinii",37365040,1,NA,790.71,729.42,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start","Chaetodon kleinii"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH030001.MP4",23236,41.7461,"ASH_BRUV4_C11_start",36.5507,"ASHMORE_BRUV4_Cam11","ECM",28,"Labridae","Cheilinus","undulatus",37384038,1,NA,459.35,1450.08,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start","Cheilinus undulatus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH030001.MP4",1372,35.6667,"ASH_BRUV4_C11_start",30.4713,"ASHMORE_BRUV4_Cam11","ECM",28,"Lethrinidae","Lethrinus","semicinctus",37351016,5,NA,450.58,513.75,0,0,5,"AD","Passing",NA,"ASH_BRUV4_C11_start","Lethrinus semicinctus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH030001.MP4",43099,47.2692,"ASH_BRUV4_C11_start",42.0737,"ASHMORE_BRUV4_Cam11","ECM",28,"Lutjanidae","Lutjanus","rivulatus",37346016,1,NA,687.27,1793.75,0,0,1,"AD","Passing",NA,"ASH_BRUV4_C11_start","Lutjanus rivulatus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH030001.MP4",34689,44.9307,"ASH_BRUV4_C11_start",39.7353,"ASHMORE_BRUV4_Cam11","ECM",28,"Mullidae","Parupeneus","heptacanthus",37355004,4,NA,934.48,1485.15,0,0,4,"AD","Passing",NA,"ASH_BRUV4_C11_start","Parupeneus heptacanthus"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",18711,5.2027,"ASH_BRUV4_C11_start",0.0072,"ASHMORE_BRUV4_Cam11","ECM",28,"Mullidae","Parupeneus","pleurostigma",37355027,4,NA,834.55,692.6,0,0,4,"AD","Passing",NA,"ASH_BRUV4_C11_start","Parupeneus pleurostigma"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",19232,5.3476,"ASH_BRUV4_C11_start",0.1521,"ASHMORE_BRUV4_Cam11","ECM",28,"Pomacentridae","Chrysiptera","flavipinnis",NA,1,NA,834.55,519.01,0,0,1,"AD","Passing","flavipinnis","ASH_BRUV4_C11_start","Chrysiptera flavipinnis"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",19072,5.3031,"ASH_BRUV4_C11_start",0.1076,"ASHMORE_BRUV4_Cam11","ECM",28,"Pomacentridae","Pomacentrus","amboinensis",NA,3,NA,608.38,711.89,0,0,3,"AD","Passing","amboinensis","ASH_BRUV4_C11_start","Pomacentrus amboinensis"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",19072,5.3031,"ASH_BRUV4_C11_start",0.1076,"ASHMORE_BRUV4_Cam11","ECM",28,"Pomacentridae","Pomacentrus","nagasakiensis",37372119,2,NA,694.29,780.27,0,0,2,"AD","Passing",NA,"ASH_BRUV4_C11_start","Pomacentrus nagasakiensis"
"ASHMORE_1_DROP4_POINT_OCT2021","Ashmore","Ashmore_1","DROP4","POINT","Oct_21","GH010001.MP4",19232,5.3476,"ASH_BRUV4_C11_start",0.1521,"ASHMORE_BRUV4_Cam11","ECM",28,"Pomacentridae","Pomacentrus","pavo",37372122,5,NA,874.87,234.96,0,0,5,"AD","Passing",NA,"ASH_BRUV4_C11_start","Pomacentrus pavo"
