Species,Southern,Central,Northern,Cryptobenthic
Abudefduf sexfasciatus,1,,1,
Abudefduf vaigiensis,1,1,1,
Acanthochromis polyacanthus,,1,1,1
Acanthurus albipectoralis,1,1,1,
Acanthurus blochii,1,1,1,
Acanthurus dussumieri,1,1,1,
Acanthurus grammoptilus,,1,,
Acanthurus guttatus,1,1,1,
Acanthurus lineatus,1,1,1,
Acanthurus maculiceps,,1,,
Acanthurus mata,,1,1,
Acanthurus nigricans,1,1,1,
Acanthurus nigricauda,1,1,1,
Acanthurus nigrofuscus,1,1,1,1
Acanthurus nigroris,1,1,1,
Acanthurus nubilis,,1,,
Acanthurus olivaceus,1,1,1,
Acanthurus pyroferus,1,1,1,
Acanthurus thompsoni,1,1,1,
Acanthurus triostegus,1,1,1,
Acanthurus xanthopterus,1,1,1,
Aethaloperca rogaa ,,,1,
Aetobatus narinari,,1,,
Aetobatus ocellatus,1,,,
Aluteres scriptus,1,1,1,
Amanses scopas,1,,1,
Amblycirrhitus bimacula,,,,1
Amblyeleotris steinitzi,,1,1,
Amblyglyphidodon aureus,1,1,1,
Amblyglyphidodon curacao,1,1,,
Amblyglyphidodon leucogaster,1,1,1,
Amphiprion akindynos,1,1,,
Amphiprion chrysopterus,,1,1,
Amphiprion clarkii,1,,1,
Amphiprion melanopus,1,1,1,
Amphiprion perideraion,,1,1,
Anampses caeruleopunctatus,1,1,1,
Anampses femininus,1,1,,
Anampses geographicus,,1,1,
Anampses meleagrides,1,,,
Anampses neoguinaicus,1,1,1,
Anampses twistii,1,1,1,
Antennarius nummifer,,,,1
Antennarius pictus,,,,1
Anyperodon leucogrammicus,,,1,
Aphareus furca,1,1,1,
Apogon crassiceps,,,,1
Apogon doederleini,,,1,
Apogon doryssa,,,,1
Apogon seminigricaudus,,,,1
apogonid sp.,,,,1
Apolemichthys trimaculatus,,,1,
Aprion virescens,1,1,1,
Arothron hispidus,1,,,
Arothron nigropunctatus,1,1,1,
Arothron stellatus,1,1,,
