Genus,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C
Zoramia,Apogonidae,0.01549,3.07,1
Zenarchopterus,Zenarchopteridae,0.00427,3.02,1
Zebrasoma,Acanthuridae,0.027078,2.950673,1
Zapteryx,Rhinobatidae,0.00646,2.98,1
Zapogon,Apogonidae,0.01096,3.1,1
Zanclus,Zanclidae,0.0147,3.36991,1
Xyrichtys,Labridae,0.029147,2.766667,1
Xiphocheilus,Labridae,0.00977,3.05,1
Xenojulis,Labridae,0.00977,3.05,1
Xenocys,Haemulidae,0.00389,3.12,1
Xenichthys,Haemulidae,0.0138,2.98,1
Xanthichthys,Balistidae,0.023083,2.956667,1
Wetmorella,Labridae,0.01995,3,1
Wattsia,Lethrinidae,0.0401,2.824,0.965
Variola,Serranidae,0.014885,3.03845,1
Vanderhorstia,Gobiidae,0.00617,3.08,1
Valenciennea,Gobiidae,0.007867,3.082728,1
Urophycis,Phycidae,0.00676,3.14,1
Urolophus,Urolophidae,0.01,3.04,1
Urogymnus,Dasyatidae,0.00776,3.02,1
Urobatis,Urotrygonidae,0.011698,3.14225,1
Uraspis,Carangidae,0.01413,2.96,1
Upeneus,Mullidae,0.009749,3.099346,1
Upeneichthys,Mullidae,0.009973,3.091333,0.961652
Umbrina,Sciaenidae,0.01485,3.095,0.9
Ulua,Carangidae,0.03995,2.72,1
Ulaema lefroyi,Gerreidae,0.0113,3.02,1
Tylosurus,Belonidae,0.001408,3.078541,1
Trygonoptera,Urolophidae,0.01,3.04,1
Trinorfolkia,Tripterygiidae,0.0055,3.08,1
Trinectes,Achiridae,0.013861,3.191335,1
Trimma,Gobiidae,0.00891,3.07,1
Trichiurus,Trichiuridae,0.000648,3.223033,1
Triaenodon,Carcharhinidae,0.001171,3.361543,1
Trachypoma,Serranidae,0.00933,2.97,1
Trachurus,Carangidae,0.018381,2.91607,1
Trachinotus,Carangidae,0.031005,2.87824,1
Trachinops,Plesiopidae,0.00468,3.18,1
Trachinocephalus,Synodontidae,0.0004,3.972,1
Torquigener,Tetraodontidae,0.01778,2.89,1
Torpedo,Torpedinidae,0.02381,3.233,1
Tomiyamichthys,Gobiidae,0.00617,3.01,1
Tilodon,Kyphosidae,0.02291,2.99,1
Tigrigobius,Gobiidae,0.00631,3.09,1
Thysanophrys,Platycephalidae,0.00267,3.34685,1
Thyrsites,Gempylidae,0.00374,3,1
Thunnus,Scombridae,0.019896,2.958262,0.9565
Thryssa,Engraulidae,0.004013,3.423086,1
Thamnaconus,Monocanthidae,0.02292,2.873333,1
Thalassophryne,Batrachoididae,0.00977,3.279,1
Thalassoma,Labridae,0.010138,3.035389,0.996591
Tetrosomus,Ostraciidae,0.273,2.229,1
Tetractenos,Tetraodontidae,0.02754,2.88,1
Terapon,Terapontidae,0.013055,3.079022,1
Teixeirichthys,Pomacentridae,0.041056,2.964793,0.914913
Tautoga,Labridae,0.027794,2.948504,1
Taeniurops,Dasyatidae,0.00776,3.02,1
Taeniura,Dasyatidae,0.00776,3.02,1
Taenianotus,Scorpaenidae,0.0123,3.02,1
Taeniamia,Apogonidae,0.015316,3.101234,1
Synodus,Synodontidae,0.004411,3.21245,0.991912
Syngnathus,Syngnathidae,0.0004,3.12,1
Synchiropus,Callionymidae,0.033462,2.804083,1
Synanceia,Synanceiidae,0.01122,3.04,1
Symphurus,Cynoglossidae,0.008372,3.085165,1
Symphorus,Lutjanidae,0.021517,2.970685,1
Symphorichthys,Lutjanidae,0.01259,3.03,1
Syacium,Paralichthyidae,0.00371,3.274,1
Suttonia,Serranidae,0.00407,3.14,1
Sufflamen,Balistidae,0.028112,2.950352,1
Suezichthys,Labridae,0.00447,3.14,1
Stygnobrotula,Bythitidae,0.01122,3.04,1
Strophidon,Muraenidae,0.01097,2.319754,0.995
Strongylura,Belonidae,0.003253,2.999194,0.982327
Stolephorus,Engraulidae,0.005751,3.219242,1
Stethojulis,Labridae,0.016358,2.939391,0.991667
Stephanolepis,Monacanthidae,0.021287,2.99275,1
Stellifer,Sciaenidae,0.006367,3.190012,1
Stegostoma,Stegostomatidae,0.00389,3.12,1
Stegastes,Pomacentridae,0.022224,3.031841,0.97968
Stathmonotus,Chaenopsidae,0.00457,3.08,1
Starksia,Labrisomidae,0.009033,3.04,1
Stanulus,Blenniidae,0.00741,3,1
Squalus,Squalidae,0.001172,3.33078,1
Spratelloides,Clupeidae,0.00437,3.13,1
Sphyrna,Sphyrnidae,0.004476,3.108698,1
Sphyraena,Sphyraenidae,0.009226,2.896197,0.992556
Sphoeroides,Tetraodontidae,0.03481,2.891896,1
Sphaeramia,Apogonidae,0.041545,2.9395,0.853
Sparisoma,Scaridae,0.017051,3.047947,0.983833
Siphonognathus,Odacidae,0.00389,3.12,1
Siphamia,Apogonidae,0.01549,3.07,1
Sillago,Sillaginidae,0.004748,3.20456,1
Siganus,Siganidae,0.019537,3.03409,0.977828
Serranus,Serranidae,0.01105,3.087333,1
Serranocirrhitus,Serranidae,0.01096,3.05,1
Seriolina,Carangidae,0.0182,2.93,1
Seriola,Carangidae,0.01468,2.97933,1
Semicossyphus,Labridae,0.0134,2.971,1
Selene,Carangidae,0.023551,2.749641,1
Selaroides,Carangidae,0.013839,2.993543,1
Selar,Carangidae,0.009498,3.246903,0.928082
Secutor,Leiognathidae,0.023,2.833,1
Sebastapistes,Scorpaenidae,0.0123,3.02,1
Scuticaria,Muraenidae,0.00102,3.06,1
Scorpis,Kyphosidae,0.012403,3.045333,1
Scorpaenopsis,Scorpaenidae,0.0123,3.02,1
Scorpaenodes,Scorpaenidae,0.022087,2.965559,1
Scorpaena,Scorpaenidae,0.017312,3.034287,1
Scomberomorus,Scombridae,0.007739,2.953794,0.98
Scomberoides,Carangidae,0.013209,2.869614,1
Scomber,Scombridae,0.00505,3.258138,1
Scolopsis,Nemipteridae,0.024292,2.952461,0.946562
Scobinichthys,Monocanthidae,0.02188,2.91,1
Sciaenops,Sciaenidae,0.008308,3.033467,1
Sciades,Ariidae,0.006546,3.121842,1
Schultzea,Serranidae,0.00468,3.14,1
Schuettea,Monodactylidae,0.02512,2.97,1
Scatophagus,Scatophagidae,0.05147,2.845268,1
Scarus,Scaridae,0.016152,3.045792,0.98492
Scartella,Blenniidae,0.0148,2.86,1
Scaevius,Nemipteridae,0.01514,2.97,1
Saurida,Synodontidae,0.006558,3.174502,0.985667
Sargocentron,Holocentridae,0.018193,2.977391,0.992933
Sardinops,Clupeidae,0.003955,3.148063,1
Sardinella,Clupeidae,0.005048,3.119271,1
Sardinella,Scombridae,0.011133,2.975959,1
Sarda,Scombridae,0.00756,3.183123,1
Sanopus,Batrachoididae,0.00389,3.12,1
Salarias,Blenniidae,0.010137,2.986453,1
Sacura,Serranidae,0.01,3.04,1
Rypticus,Serranidae,0.012895,3.045375,1
Rudarius,Monocanthidae,0.024327,2.897667,1
Roa,Chaetodontidae,0.022138,3.0175,1
Rhomboplites,Lutjanidae,0.020378,2.872584,1
Rhizoprionodon,Carcharhinidae,0.01684,2.930292,1
Rhinoptera,Myliobatidae,0.00928,3.07,1
Rhinomuraena,Muraenidae,0.00112,3.07,1
