Genus,Species,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Lethrinus,rubrioperculatus,Lethrinidae,0.01279,3.039657,1,50,total length,3.83,39.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Aulostomus,maculatus,Aulostomidae,0.00396,3.08,1,100,total length,4.26,49.99,"Tropical Atlantic",,piscivore,pisci-invertivore,solitary
Carcharhinus,perezii,Carcharhinidae,0.0271,3,1,300,total length,4.5,76.49,"Tropical Atlantic",,piscivore,piscivore,solitary
Kyphosus,bigibbus,Kyphosidae,0.01479,2.99,1,75,total length,2.56,55.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,medium group
Canthigaster,petersii,Tetraodontidae,0.02818,2.094,1,9,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,pair
Macropharyngodon,kuiteri,Labridae,0.01,3.06,1,10,total length,3.4,17.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pomacentrus,milleri,Pomacentridae,0.01479,2.98,1,7.5,standard length,2.76,19.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Lutjanus,buccanella,Lutjanidae,0.0263,2.89,0.937207,75,total length,3.9,62,"Tropical Atlantic",,piscivore,pisci-invertivore,small group
Gobiodon,acicularis,Gobiidae,0.01995,3.01,1,3.9,standard length,3.4,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Coris,roseoviridis,Labridae,0.01,3.06,1,19.8,standard length,3.4,34,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sanopus,astrifer,Batrachoididae,0.00389,3.12,1,,,3.7,,"Tropical Atlantic",,,,
Clepticus,parrae,Labridae,0.01,3.05,1,30,total length,3.68,35,"Tropical Atlantic",,planktivore,planktivore,large group
Anchoa,mitchilli,Engraulidae,0.0171,2.814,1,10,standard length,3.46,23.1,"Tropical Atlantic",,planktivore,planktivore,large group
Coris,sandeyeri,Labridae,0.01,3.06,1,25,total length,3.63,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Aphareus,rutilans,Lutjanidae,0.00954,2.961,1,110,total length,4.11,58.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Salarias,obscurus,Blenniidae,0.00759,3,1,13,total length,2,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,solitary
Caulolatilus,princeps,Malacanthidae,0.00537,3.03,1,102,total length,3.9,66.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Macropharyngodon,bipartitus,Labridae,0.01,3.06,1,13,total length,3.5,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
Zoramia,perlita,Apogonidae,0.01549,3.07,1,5,standard length,3.4,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,medium group
Sphyrna,tiburo,Sphyrnidae,0.00069,3.372,1,150,total length,3.91,49.68,"Tropical Atlantic,Tropical Eastern Pacific",,invertivore-mobile,macro-invertivore,solitary
Asterorhombus,cocosensis,Bothidae,0.01047,3,1,12,standard length,3.6,21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
