Genus,Species,Family,Species_name,Biomass Constant A,Biomass Constant B,Biomass Constant C,Max Length (cm),Max Length Type,Trophic Level,Vulnerability,Regions,Climate Score,Trophic Group,Functional Group,Group Size
Lethrinus,rubrioperculatus,Lethrinidae,Lethrinus rubrioperculatus,0.01279,3.039657,1,50,total length,3.83,39.56,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,small group
Aulostomus,maculatus,Aulostomidae,Aulostomus maculatus,0.00396,3.08,1,100,total length,4.26,49.99,Tropical Atlantic,,piscivore,pisci-invertivore,solitary
Carcharhinus,perezii,Carcharhinidae,Carcharhinus perezii,0.0271,3,1,300,total length,4.5,76.49,Tropical Atlantic,,piscivore,piscivore,solitary
Kyphosus,bigibbus,Kyphosidae,Kyphosus bigibbus,0.01479,2.99,1,75,total length,2.56,55.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-macroalgae,browser,medium group
Canthigaster,petersii,Tetraodontidae,Canthigaster petersii,0.02818,2.094,1,9,total length,3.1,10,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,omnivore,micro-invertivore,pair
Macropharyngodon,kuiteri,Labridae,Macropharyngodon kuiteri,0.01,3.06,1,10,total length,3.4,17.67,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Pomacentrus,milleri,Pomacentridae,Pomacentrus milleri,0.01479,2.98,1,7.5,standard length,2.76,19.23,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Lutjanus,buccanella,Lutjanidae,Lutjanus buccanella,0.0263,2.89,0.937207,75,total length,3.9,62,Tropical Atlantic,,piscivore,pisci-invertivore,small group
Gobiodon,acicularis,Gobiidae,Gobiodon acicularis,0.01995,3.01,1,3.9,standard length,3.4,10.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,planktivore,planktivore,small group
Coris,roseoviridis,Labridae,Coris roseoviridis,0.01,3.06,1,19.8,standard length,3.4,34,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,solitary
Sanopus,astrifer,Batrachoididae,Sanopus astrifer,0.00389,3.12,1,,,3.7,,Tropical Atlantic,,,,
Clepticus,parrae,Labridae,Clepticus parrae,0.01,3.05,1,30,total length,3.68,35,Tropical Atlantic,,planktivore,planktivore,large group
Anchoa,mitchilli,Engraulidae,Anchoa mitchilli,0.0171,2.814,1,10,standard length,3.46,23.1,Tropical Atlantic,,planktivore,planktivore,large group
Coris,sandeyeri,Labridae,Coris sandeyeri,0.01,3.06,1,25,total length,3.63,31.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,small group
Aphareus,rutilans,Lutjanidae,Aphareus rutilans,0.00954,2.961,1,110,total length,4.11,58.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,piscivore,pisci-invertivore,small group
Salarias,obscurus,Blenniidae,Salarias obscurus,0.00759,3,1,13,total length,2,24,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,herbivore-detritivore,detritivore,solitary
Caulolatilus,princeps,Malacanthidae,Caulolatilus princeps,0.00537,3.03,1,102,total length,3.9,66.1,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,macro-invertivore,
Macropharyngodon,bipartitus,Labridae,Macropharyngodon bipartitus,0.01,3.06,1,13,total length,3.5,22.77,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",,invertivore-mobile,micro-invertivore,pair
