Reef,Site,Day_no,Dive_no,Date,Transect,Lat,Long,Depth,Temperature,Habitat,Aspect,Benthic_Complexity,Trash,Cucumbers,Notes
Saumarez,Saumarez_S1,1,1,6/2/2021,1,-21.912222,153.609167,29.6,27.9,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,2,-21.912222,153.609167,29.6,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,3,-21.912222,153.609167,29.8,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,4,-21.912222,153.609167,29.6,27.8,lagoon,flat,0,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,5,-21.912222,153.609167,29.5,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,6,-21.912222,153.609167,29.9,27.8,lagoon,flat,1,none,,
Wreck,Wreck_E1,1,1,7/2/2021,1,-22.19906,155.32938,31.5,27.7,outer_reef,gentle_slope,3,none,,
Wreck,Wreck_E1,1,1,7/2/2021,2,-22.19906,155.32938,36.5,27.6,outer_reef,gentle_slope,3,none,,
Wreck,Wreck_E1,1,1,7/2/2021,3,-22.19906,155.32938,36.3,27.6,outer_reef,gentle_slope,3,none,,
Kenn,Kenn_1,1,1,8/2/2021,1,-21.21291,155.78185,40.8,26.3,outer_reef,steep_slope,4,none,,
Kenn,Kenn_1,1,1,8/2/2021,2,-21.21291,155.78185,31.1,26.5,outer_reef,steep_slope,4,none,,
Kenn,Kenn_1,1,1,8/2/2021,3,-21.21291,155.78185,31.4,26.4,slope_terrace,gentle_slope,3,none,,
Kenn,Kenn_1,1,1,8/2/2021,4,-21.21291,155.78185,32.3,26.4,slope_terrace,gentle_slope,3,none,,
Frederick,Fred_W1,1,1,9/2/2021,1,-21.01225,154.34671,34.8,28,slope_terrace,gentle_slope,1,fishing_line,,"Fishing line at start, pedina habitat, sandy terrace"
Frederick,Fred_W1,1,1,9/2/2021,2,-21.01225,154.34671,40,27.5,slope_terrace,flat,1,fishing_line,,"Fishing line at start, pedina habitat, sandy terrace"
Marion,Marion_1,1,1,10/2/2021,1,-19.12206,152.37332,33.9,27.5,lagoon,flat,2,none,,"Patch bommies, sand"
Marion,Marion_1,1,1,10/2/2021,2,-19.12206,152.37332,34.5,27.3,lagoon,flat,0,none,,"sand, no fish"
Marion,Marion_1,1,1,10/2/2021,3,-19.12206,152.37332,34.7,27.3,lagoon,flat,0,none,,"sand, one fish"
Marion,Marion_1,1,1,10/2/2021,4,-19.12206,152.37332,35,27.3,lagoon,flat,0,none,,sand
Marion,Marion_1,1,1,10/2/2021,5,-19.12206,152.37332,34.9,27.3,lagoon,flat,1,none,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,6,-19.12206,152.37332,35,27.3,lagoon,flat,1,fishing_line,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,7,-19.12206,152.37332,34.9,27.2,lagoon,flat,1,none,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,8,-19.12206,152.37332,35.1,27.3,lagoon,flat,0,none,,"Sand, some patch bommies"
Lihou,Lihou_S1,1,1,11/2/2021,1,-17.40091,151.87454,46.2,28.8,lagoon,flat,1,none,,"Sand, some patch bommies, bad viz , very green"
Lihou,Lihou_S1,1,1,11/2/2021,2,-17.40091,151.87454,46.6,28.8,lagoon,flat,1,none,,Sand
Lihou,Lihou_S1,1,1,11/2/2021,3,-17.40091,151.87454,47.3,28.8,lagoon,flat,0,none,,"Sand, no fish"
Lihou,Lihou_S1,1,2,11/2/2021,4,-17.40091,151.87669,47.1,28.8,lagoon,flat,0,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,5,-17.40091,151.87669,46.4,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,6,-17.40091,151.87669,48.1,28.8,lagoon,flat,0,none,,"Sand, no fish"
Lihou,Lihou_S1,1,2,11/2/2021,7,-17.40091,151.87669,47.7,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,8,-17.40091,151.87669,47.9,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,9,-17.40091,151.87669,48.9,28,lagoon,flat,0,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,10,-17.40091,151.87669,48.8,28,lagoon,flat,0,none,,No fish seen
Lihou,Lihou_N1,1,1,12/2/2021,1,-17.11619,151.83479,45.1,27.7,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,2,-17.11619,151.83479,31.2,28.3,lagoon,flat,1,none,,
Lihou,Lihou_N1,1,1,12/2/2021,3,-17.11619,151.83479,30.8,28.3,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,4,-17.11619,151.83479,33,28.3,lagoon,flat,2,none,,Cucumber
Lihou,Lihou_N1,1,1,12/2/2021,5,-17.11619,151.83479,31.7,28,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,6,-17.11619,151.83479,32.5,28,passage,flat,2,none,,Lagoon entrance to slope
Lihou,Lihou_N1,1,1,12/2/2021,7,-17.11619,151.83479,36.5,27.6,passage,flat,3,none,,Ends at the channel
Lihou,Lihou_N1,1,1,12/2/2021,8,-17.11619,151.83479,40,27.4,outer_reef,gentle_slope,3,none,,
Lihou,Lihou_N1,1,1,12/2/2021,9,-17.11619,151.83479,44.8,27.7,outer_reef,gentle_slope,2,none,,
Lihou,Lihou_N1,1,2,12/2/2021,10,-17.11619,151.83479,50.1,25.3,outer_reef,steep_slope,1,none,,
Lihou,Lihou_N1,1,2,12/2/2021,11,-17.11619,151.83479,50.1,25.7,outer_reef,steep_slope,3,none,,
Lihou,Lihou_N1,1,3,12/2/2021,12,-17.11619,151.83479,55.6,27.9,outer_reef,steep_slope,4,none,,
Lihou,Lihou_N1,1,3,12/2/2021,13,-17.11619,151.83479,55.2,28,outer_reef,steep_slope,3,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,1,-16.92334,149.99654,36.5,28.3,lagoon,flat,1,none,,Cucumber
Chilcott,Chilcott_1,1,1,13/2/2021,2,-16.92334,149.99654,37.8,28,lagoon,flat,0,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,3,-16.92334,149.99654,39.8,27.9,lagoon,flat,0,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,4,-16.92334,149.99654,40,27.9,lagoon,flat,0,none,,
Willis Island,Willis_N1,1,1,14/2/2021,1,-16.92334,149.96951,35.2,28,outer_reef,gentle_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,2,-16.92334,149.96951,42.3,27.6,outer_reef,gentle_slope,4,none,,
Willis Island,Willis_N1,1,1,14/2/2021,3,-16.92334,149.96951,44.4,27.7,outer_reef,gentle_slope,4,none,,
Willis Island,Willis_N1,1,1,14/2/2021,4,-16.92334,149.96951,51.5,27.7,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,5,-16.92334,149.96951,52.3,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,6,-16.92334,149.96951,52.3,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,7,-16.92334,149.96951,60.1,26.9,outer_reef,steep_slope,1,none,,
Willis Island,Willis_N1,1,1,14/2/2021,8,-16.92334,149.96951,44.8,27.1,outer_reef,steep_slope,2,none,,
Willis Island,Willis_N1,1,1,14/2/2021,9,-16.92334,149.96951,44.1,27.2,outer_reef,steep_slope,2,none,,
Willis Island,Willis_N1,1,1,14/2/2021,10,-16.92334,149.96951,50.4,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,11,-16.92334,149.96951,50.1,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,12,-16.92334,149.96951,40,27.3,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,13,-16.92334,149.96951,43,27.4,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,14,-16.92334,149.96951,42,27.8,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,15,-16.92334,149.96951,42,27.8,outer_reef,steep_slope,3,none,,
Herald Cay,Herald_1,1,1,15/2/2021,1,-16.9711,149.12769,34.3,29.9,passage,flat,3,none,,Channel
Herald Cay,Herald_1,1,1,15/2/2021,2,-16.9711,149.12769,35.3,29.8,passage,flat,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,3,-16.9711,149.12769,37.6,29.4,passage,flat,1,none,,
