"Survey","Reef","Site","Transect","Length_mm","Number","Comment","Video","T_ID"
"Feb_21","Chillcot","Chilcott_1","T1",NA,1,"cucumber","Stereo","Feb_21_Chilcott_1_T1"
"Jul_2021","Lihou","EdnaCay_2","T3",NA,1,"cucumber_black","Stereo","Jul_2021_EdnaCay_2_T3"
"Jul_2021","Lihou","EdnaCay_3","T1",NA,1,"cucumber_black","Stereo","Jul_2021_EdnaCay_3_T1"
"Feb_21","Flinders","Flinders_S1","T4",NA,1,"cucumber_T4_01","Stereo","Feb_21_Flinders_S1_T4"
"Feb_21","Herald","Herald_1","T7",NA,1,"cucumber_T7_01","Stereo","Feb_21_Herald_1_T7"
"Feb_22","Herald's Surprise","HerSurp_1","T1",NA,1,"cucumber_black","Stereo","Feb_22_HerSurp_1_T1"
"Feb_21","Holmes","Holmes_2","T11",NA,1,"cucumber_holmes_T11_01","Stereo","Feb_21_Holmes_2_T11"
"Jul_2021","Lihou","Juliette1","T6",NA,1,"cucumber_H.whitmaei","Stereo","Jul_2021_Juliette1_T6"
"Feb_21","Willis","Willis_N1","T4",515.324,1,"cucumber black","Stereo","Feb_21_Willis_N1_T4"
"Feb_21","Willis","Willis_N1","T9",273.83,1,"cucumber_T9_2","Stereo","Feb_21_Willis_N1_T9"
"Feb_21","Willis","Willis_N1","T9",500.88,1,"cucumber_T9_1","Stereo","Feb_21_Willis_N1_T9"
"Feb_21","Willis","Willis_N1","T10",425.831,1,"cucumber_T10_1","Stereo","Feb_21_Willis_N1_T10"
"Feb_21","Willis","Willis_N1","T1",NA,1,"cucumber","Stereo","Feb_21_Willis_N1_T1"
"Feb_21","Willis","Willis_N1","T1",NA,1,"cucumber","Stereo","Feb_21_Willis_N1_T1"
"Feb_21","Willis","Willis_N1","T2",NA,1,"cucumber black","Stereo","Feb_21_Willis_N1_T2"
"Feb_21","Willis","Willis_N1","T4",NA,1,"cucumber black","Stereo","Feb_21_Willis_N1_T4"
"Feb_21","Willis","Willis_N1","T4",NA,1,"cucumber black","Stereo","Feb_21_Willis_N1_T4"
"Feb_21","Willis","Willis_N1","T5",NA,1,"cucumber black 52m","Stereo","Feb_21_Willis_N1_T5"
"Feb_21","Willis","Willis_N1","T14",NA,1,"cucumber_T14_1","Stereo","Feb_21_Willis_N1_T14"
"Feb_21","Willis","Willis_N1","T14",NA,1,"cucumber_1","Stereo","Feb_21_Willis_N1_T14"
"Feb_21","Willis","Willis_N1","T14",NA,1,"cucumber_willis_T14_02","Stereo","Feb_21_Willis_N1_T14"
"Feb_21","Willis","Willis_N1","T14",NA,1,"cucumber_willis_T14_03","Stereo","Feb_21_Willis_N1_T14"
