Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Malacanthidae,Hoplolatilus,marcosi,2,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Malacanthidae,Hoplolatilus,starcki,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Lethrinidae,Gymnocranius,euanus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Carcharhinidae,Carcharhinus,albimarginatus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Echeneidae,Remora,remora,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Lutjanidae,Aprion,virescens,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Lethrinidae,Gymnocranius,euanus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp,6,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacentridae,Pomacentrus,sp,25,black with white tail
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Serranidae,Pseudanthias,,2,engelhardi
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp,12,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Labridae,,sp,8,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacentridae,Pomacentrus,sp,20,black with white tail
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacentridae,Pomacentrus,sp,4,black with white tail
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Serranidae,Pseudanthias,ventralis,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Serranidae,Pseudanthias,ventralis,1,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,watanabie,22,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,15,
Lihou_EdnaCay_1_18072021_02.MP4,T1,,Edna_1_JUL2021,Pomacentridae,Pomacentrus,sp,45,black with white tail
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Chaetodontidae,Chaetodon,mertensii,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,5,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp,5,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,8,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,ventralis,6,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,watanabie,8,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Labridae,Choerodon,sp,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon sammara
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon sammara
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,Sargocentron,,1,diadema
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,Sargocentron,,1,diadema
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon sammara
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon sammara
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,12,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacentridae,Chromis,alpha,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,8,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,8,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,Sargocentron,sp,2,unknown but interesing
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Holocentridae,Myripristis,sp,1,
Lihou_EdnaCay_1_18072021_02.MP4,T2,,Edna_1_JUL2021,Balistidae,Xanthichthys,caeruleolineatus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon opercularis
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,,,4,Neoniphon opercularis
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,12,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Myripristis,sp,4,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,5,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Sargocentron,,1,diadema
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacentridae,Chromis,amboinensis,6,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,watanabie,2,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Scombridae,Gymnosarda,unicolor,6,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Myripristis,murdjan,2,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Acanthuridae,Acanthurus,sp,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,4,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Sargocentron,sp,1,unknown but interesting
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Scaridae,Scarus,longipinnis,2,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,8,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Sargocentron,,1,diadema
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Myripristis,murdjan,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,10,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacentridae,Chromis,alpha,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Lutjanidae,Lutjanus,bohar,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Myripristis,murdjan,3,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,,,1,Neoniphon sammara
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,6,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Acanthuridae,Acanthurus,dussumieri,2,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Acanthuridae,Acanthurus,pyroferus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,20,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Nemipteridae,Pentapodus,,10,aureofasciatus
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Holocentridae,Sargocentron,,1,diadema
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacentridae,Chromis,amboinensis,6,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Labridae,Labroides,dimidiatus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Mullidae,Parupeneus,multifasciatus,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Genicanthus,melanospilos,15,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Pomacanthidae,Centropyge,heraldi,1,
Lihou_EdnaCay_1_18072021_02.MP4,T3,,Edna_1_JUL2021,Serranidae,Pseudanthias,sp2,12,
