Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_SFLIND_16-2-21_P01.MP4,T1,869.988,FlindersSouth_Feb2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,727.526,FlindersSouth_Feb2021,Lutjanidae,Lutjanus,bohar,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,126.19,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,binotatus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,195.16,FlindersSouth_Feb2021,Labridae,Oxycheilinus,celebicus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,136.854,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,149.59,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,12,
PL_L_SFLIND_16-2-21_P01.MP4,T1,113.619,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,100.695,FlindersSouth_Feb2021,Acanthuridae,Zebrasoma,scopas,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,113.107,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,sp,2,
PL_L_SFLIND_16-2-21_P01.MP4,T1,106.341,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,245.545,FlindersSouth_Feb2021,Labridae,Thalassoma,lutescens,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,96.417,FlindersSouth_Feb2021,Chaetodontidae,Hemitaurichthys,polylepis,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,119.025,FlindersSouth_Feb2021,Pomacentridae,Chromis,xanthochira,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,112.357,FlindersSouth_Feb2021,Chaetodontidae,Hemitaurichthys,polylepis,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,105.811,FlindersSouth_Feb2021,Pomacanthidae,Centropyge,heraldi,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,132.839,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,128.813,FlindersSouth_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,104.744,FlindersSouth_Feb2021,Chaetodontidae,Hemitaurichthys,polylepis,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,258.722,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,184.883,FlindersSouth_Feb2021,Acanthuridae,Naso,lituratus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,231.795,FlindersSouth_Feb2021,Scaridae,Scarus,sp,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,167.011,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,207.957,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,301.465,FlindersSouth_Feb2021,Monacanthidae,Cantherhines,dumerilii,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,259.726,FlindersSouth_Feb2021,Lethrinidae,Monotaxis,grandoculis,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,114.598,FlindersSouth_Feb2021,Pomacentridae,Chromis,alpha,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,193.822,FlindersSouth_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,213.541,FlindersSouth_Feb2021,Labridae,Halichoeres,sp,1,
PL_L_SFLIND_16-2-21_P01.MP4,T1,1071.291,FlindersSouth_Feb2021,Carangidae,Caranx,ignobilis,1,
PL_L_SFLIND_16-2-21_P01.MP4,T2,648.338,FlindersSouth_Feb2021,Acanthuridae,Naso,vlamingii,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,673.575,FlindersSouth_Feb2021,Labridae,Cheilinus,undulatus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,111.921,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,153.787,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,4,
PL_L_SFLIND_16-2-21_P02.MP4,T2,72.527,FlindersSouth_Feb2021,Pomacentridae,Chromis,amboinensis,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,130.015,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,116.763,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,148.311,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,5,
PL_L_SFLIND_16-2-21_P02.MP4,T2,114.017,FlindersSouth_Feb2021,Serranidae,Pseudanthias,squamipinnis,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,112.99,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,sp,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,206.187,FlindersSouth_Feb2021,Labridae,Gomphosus,varius,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,226.477,FlindersSouth_Feb2021,Scaridae,Chlorurus,spilurus,3,
PL_L_SFLIND_16-2-21_P02.MP4,T2,267.625,FlindersSouth_Feb2021,Scaridae,Scarus,chameleon,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,58.511,FlindersSouth_Feb2021,Pomacentridae,Chromis,amboinensis,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,166.262,FlindersSouth_Feb2021,Mullidae,Parupeneus,crassilabris,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,136.783,FlindersSouth_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,149.437,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,4,
PL_L_SFLIND_16-2-21_P02.MP4,T2,225.573,FlindersSouth_Feb2021,Scaridae,Scarus,dimidiatus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,184.53,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,92.372,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,133.449,FlindersSouth_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,105.305,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,sp,2,
PL_L_SFLIND_16-2-21_P02.MP4,T2,50.512,FlindersSouth_Feb2021,Pomacentridae,Chromis,amboinensis,6,
PL_L_SFLIND_16-2-21_P02.MP4,T2,80.319,FlindersSouth_Feb2021,Labridae,Labrichthys,unilineatus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T2,1181.837,FlindersSouth_Feb2021,Carcharhinidae,Carcharhinus,albimarginatus,1,
PL_L_SFLIND_16-2-21_P02.MP4,T3,139.562,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,2,
PL_L_SFLIND_16-2-21_P02.MP4,T3,146.959,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,2,
PL_L_SFLIND_16-2-21_P02.MP4,T3,123.016,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,sp,2,
PL_L_SFLIND_16-2-21_P02.MP4,T3,124.902,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,1,
PL_L_SFLIND_16-2-21_P02.MP4,T3,142.85,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,2,
PL_L_SFLIND_16-2-21_P02.MP4,T3,184.153,FlindersSouth_Feb2021,Lutjanidae,Macolor,niger,1,
PL_L_SFLIND_16-2-21_P02.MP4,T3,176.339,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,2,
PL_L_SFLIND_16-2-21_P02.MP4,T3,139.535,FlindersSouth_Feb2021,Lutjanidae,Macolor,niger,1,
PL_L_SFLIND_16-2-21_P02.MP4,T3,131.924,FlindersSouth_Feb2021,Serranidae,Cephalopholis,urodeta,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,92.863,FlindersSouth_Feb2021,Chaetodontidae,Chaetodon,pelewensis,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,71.357,FlindersSouth_Feb2021,Pomacentridae,Pomacentrus,brachialis,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,34.977,FlindersSouth_Feb2021,Pomacentridae,Chromis,ternatensis,2,
PL_L_SFLIND_16-2-21_P03.MP4,T4,76.898,FlindersSouth_Feb2021,Chaetodontidae,Chaetodon,pelewensis,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,44.638,FlindersSouth_Feb2021,Pomacentridae,Chromis,amboinensis,3,
PL_L_SFLIND_16-2-21_P03.MP4,T4,119.144,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,92.339,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,184.297,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,165.357,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,thompsoni,4,
PL_L_SFLIND_16-2-21_P03.MP4,T4,97.44,FlindersSouth_Feb2021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,99.433,FlindersSouth_Feb2021,Pomacanthidae,Centropyge,heraldi,1,
PL_L_SFLIND_16-2-21_P03.MP4,T4,63.644,FlindersSouth_Feb2021,Pomacentridae,Chromis,amboinensis,12,
PL_L_SFLIND_16-2-21_P03.MP4,T4,260.395,FlindersSouth_Feb2021,Lutjanidae,Lutjanus,bohar,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,102.251,FlindersSouth_Feb2021,Chaetodontidae,Chaetodon,meretensii,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,208.5,FlindersSouth_Feb2021,Serranidae,Plectropomus,leopardus,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,358.485,FlindersSouth_Feb2021,Serranidae,Plectropomus,laevis,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,124.849,FlindersSouth_Feb2021,Balistidae,Sufflamen,bursa,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,129.957,FlindersSouth_Feb2021,Pomacentridae,Amblyglyphidodon,leucogaster,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,115.6,FlindersSouth_Feb2021,Acanthuridae,Acanthurus,sp,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,173.055,FlindersSouth_Feb2021,Balistidae,Sufflamen,bursa,1,
PL_L_SFLIND_16-2-21_P05.MP4,T6,151.929,FlindersSouth_Feb2021,Lutjanidae,Lutjanus,bohar,1,
