Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_FRED_9-2-21_P02.MP4,T1,1205.432,Frederick_2021,Carcharhinidae,Carcharhinus,albimarginatus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,443.48,Frederick_2021,Acanthuridae,Naso,vlamingii,2,
PL_L_FRED_9-2-21_P02.MP4,T1,989.102,Frederick_2021,Lutjanidae,Aprion,virescens,1,
PL_L_FRED_9-2-21_P02.MP4,T1,107.805,Frederick_2021,Labridae,Labroides,dimidiatus,2,
PL_L_FRED_9-2-21_P02.MP4,T1,231.693,Frederick_2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,78.88,Frederick_2021,Pomacentridae,Chromis,ternatensis,5,
PL_L_FRED_9-2-21_P02.MP4,T1,230.036,Frederick_2021,Holocentridae,Myripristis,kuntee,1,
PL_L_FRED_9-2-21_P02.MP4,T1,211.81,Frederick_2021,Balistidae,Sufflamen,,1,bursa
PL_L_FRED_9-2-21_P02.MP4,T1,172.688,Frederick_2021,Holocentridae,Myripristis,kuntee,1,
PL_L_FRED_9-2-21_P02.MP4,T1,137.033,Frederick_2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,119.811,Frederick_2021,Pomacanthidae,Centropyge,,2,heraldi
PL_L_FRED_9-2-21_P02.MP4,T1,68.954,Frederick_2021,Pomacentridae,Chromis,ternatensis,12,
PL_L_FRED_9-2-21_P02.MP4,T1,91.939,Frederick_2021,Pomacanthidae,Genicanthus,,12,watanabei
PL_L_FRED_9-2-21_P02.MP4,T1,118.652,Frederick_2021,Pomacentridae,Chromis,weberi,3,
PL_L_FRED_9-2-21_P02.MP4,T1,73.613,Frederick_2021,Labridae,Labroides,dimidiatus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,832.652,Frederick_2021,Serranidae,Plectropomus,laevis,1,
PL_L_FRED_9-2-21_P02.MP4,T1,708.975,Frederick_2021,Monacanthidae,Aluterus,scriptus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,1660.018,Frederick_2021,Carcharhinidae,Carcharhinus,albimarginatus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,225.67,Frederick_2021,,,,1,Fishing Line
PL_L_FRED_9-2-21_P02.MP4,T1,1044.74,Frederick_2021,Acanthuridae,Acanthurus,olivaceus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,874.48,Frederick_2021,Pomacentridae,Chromis,,10,iomelas
PL_L_FRED_9-2-21_P02.MP4,T1,870.95,Frederick_2021,Pomacentridae,Chromis,ternatensis,8,
PL_L_FRED_9-2-21_P02.MP4,T1,965.15,Frederick_2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_FRED_9-2-21_P02.MP4,T1,697.16,Frederick_2021,Scaridae,Scarus,sp,4,
PL_L_FRED_9-2-21_P02.MP4,T1,983.28,Frederick_2021,Pomacanthidae,Centropyge,,2,heraldi
PL_L_FRED_9-2-21_P02.MP4,T1,850.3,Frederick_2021,Pomacanthidae,Genicanthus,,8,watanabei
PL_L_FRED_9-2-21_P02.MP4,T1,818.06,Frederick_2021,,,,1,Fishing line
PL_L_FRED_9-2-21_P02.MP4,T1,1035.67,Frederick_2021,Pomacentridae,Chromis,ternatensis,15,
PL_L_FRED_9-2-21_P02.MP4,T1,481.57,Frederick_2021,Pomacentridae,Chromis,,18,iomelas
PL_L_FRED_9-2-21_P02.MP4,T1,771.72,Frederick_2021,Pomacanthidae,Genicanthus,,1,watanabei
PL_L_FRED_9-2-21_P02.MP4,T1,874.48,Frederick_2021,Cirrhitidae,Paracirrhites,forsteri,1,
PL_L_FRED_9-2-21_P03.MP4,T2,638.73,Frederick_2021,Carcharhinidae,Carcharhinus,amblyrhynchoides,1,
PL_L_FRED_9-2-21_P03.MP4,T2,753.58,Frederick_2021,,,,1,Fishing Line
PL_L_FRED_9-2-21_P03.MP4,T2,396.94,Frederick_2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_FRED_9-2-21_P03.MP4,T2,1040.53,Frederick_2021,Chaetodontidae,Chaetodon,,1,martensii
PL_L_FRED_9-2-21_P03.MP4,T2,690.49,Frederick_2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_FRED_9-2-21_P03.MP4,T2,481.57,Frederick_2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
