Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,melanospilos,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Acanthuridae,Acanthurus,pyroferus,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,sp,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,alpha,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,3,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Pomacentrus,sp,10,black with white tail
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Fistulariidae,Fistularia,commersonii,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,,,,1,cucumber_black
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,melanospilos,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,25,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Malacanthidae,Hoplolatilus,starcki,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,iomelas,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,melanospilos,4,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,25,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Malacanthidae,Hoplolatilus,starcki,4,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pictilis,8,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Malacanthidae,Hoplolatilus,starcki,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chrysiptera,starcki,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Cephalopholis,leopardus,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Malacanthidae,Hoplolatilus,starcki,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,12,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,16,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Pomacentrus,sp,8,black with white tail
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chrysiptera,starcki,3,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Centropyge,heraldi,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Malacanthidae,Hoplolatilus,starcki,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,4,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Pomacentrus,sp,6,black with white tail
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pictilis,10,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Chaetodontidae,Chaetodon,lineolatus,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,watanabie,3,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Gobiidae,Nemateleotris,magnifica,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Acanthuridae,Ctenochaetus,sp,1,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,watanabie,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,16,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,iomelas,2,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacentridae,Chromis,amboinensis,9,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,watanabie,6,
PARA0006.MP4,T1,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,12,
PARA0006.MP4,T2,,HerSurp_1_Feb2022,Pomacentridae,Pomacentrus,sp,6,black with white tail
PARA0006.MP4,T2,,HerSurp_1_Feb2022,Pomacentridae,Chromis,iomelas,3,
PARA0006.MP4,T2,,HerSurp_1_Feb2022,Serranidae,Pseudanthias,pleurotaenia,10,
PARA0006.MP4,T2,,HerSurp_1_Feb2022,Pomacanthidae,Genicanthus,watanabie,4,
PARA0006.MP4,T2,,HerSurp_1_Feb2022,Pomacentridae,Chromis,alpha,5,
