Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_HERALD_15-2-21_P01.MP4,T1,116.975,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,2,
PL_L_HERALD_15-2-21_P01.MP4,T1,99.401,Herald_Feb2021,Chaetodontidae,Chaetodon,plebeius,2,
PL_L_HERALD_15-2-21_P01.MP4,T1,60.331,Herald_Feb2021,Pomacentridae,Chromis,iomelas,12,
PL_L_HERALD_15-2-21_P01.MP4,T1,156.72,Herald_Feb2021,Labridae,Oxycheilinus,digrammus,2,
PL_L_HERALD_15-2-21_P01.MP4,T1,324.787,Herald_Feb2021,Caesionidae,Caesio,lunaris,18,
PL_L_HERALD_15-2-21_P01.MP4,T1,451.157,Herald_Feb2021,Acanthuridae,Naso,vlamingii,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,184.247,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,514.29,Herald_Feb2021,Balistidae,Pseudobalistes,fuscus,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,89.421,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,315.577,Herald_Feb2021,Mullidae,Parupeneus,pleurostigma,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,172.707,Herald_Feb2021,Mullidae,Parupeneus,multifasciatus,1,
PL_L_HERALD_15-2-21_P01.MP4,T1,51.203,Herald_Feb2021,Pomacentridae,Chromis,iomelas,12,
PL_L_HERALD_15-2-21_P01.MP4,T1,110.602,Herald_Feb2021,Acanthuridae,Acanthurus,sp,6,
PL_L_HERALD_15-2-21_P01.MP4,T1,113.351,Herald_Feb2021,Labridae,Oxycheilinus,unifasciatus,1,
PL_L_HERALD_15-2-21_P02.MP4,T2,165.478,Herald_Feb2021,Acanthuridae,Ctenochaetus,striatus,8,
PL_L_HERALD_15-2-21_P02.MP4,T2,117.072,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_HERALD_15-2-21_P02.MP4,T2,69.459,Herald_Feb2021,Pomacentridae,Chromis,amboinensis,9,
PL_L_HERALD_15-2-21_P02.MP4,T2,141.498,Herald_Feb2021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_HERALD_15-2-21_P02.MP4,T2,135.975,Herald_Feb2021,Pomacentridae,Chromis,weberi,2,
PL_L_HERALD_15-2-21_P02.MP4,T2,310.4,Herald_Feb2021,Acanthuridae,Naso,brevirostris,1,
PL_L_HERALD_15-2-21_P02.MP4,T3,390.15,Herald_Feb2021,Lethrinidae,Gymnocranius,euanus,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,451.633,Herald_Feb2021,Carangidae,Caranx,melampygus,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,450.376,Herald_Feb2021,Carangidae,Caranx,melampygus,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,396.254,Herald_Feb2021,Carangidae,Caranx,melampygus,5,
PL_L_HERALD_15-2-21_P04.MP4,T4,446.096,Herald_Feb2021,Carangidae,Caranx,melampygus,6,
PL_L_HERALD_15-2-21_P04.MP4,T4,571.799,Herald_Feb2021,Lutjanidae,Lutjanus,bohar,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,369.907,Herald_Feb2021,Carangidae,Carangoides,bajad,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,115.414,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,135.902,Herald_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,133.13,Herald_Feb2021,Acanthuridae,Acanthurus,pyroferus,2,
PL_L_HERALD_15-2-21_P04.MP4,T4,58.268,Herald_Feb2021,Pomacanthidae,Genicanthus,watanabei,11,
PL_L_HERALD_15-2-21_P04.MP4,T4,49.836,Herald_Feb2021,Pomacentridae,Chromis,iomelas,14,
PL_L_HERALD_15-2-21_P04.MP4,T4,110.252,Herald_Feb2021,Balistidae,Melichthys,vidua,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,56.602,Herald_Feb2021,Pomacentridae,Chromis,amboinensis,5,
PL_L_HERALD_15-2-21_P04.MP4,T4,104.512,Herald_Feb2021,Pomacanthidae,Centropyge,heraldi,2,
PL_L_HERALD_15-2-21_P04.MP4,T4,91.242,Herald_Feb2021,Chaetodontidae,Chaetodon,kleinii,2,
PL_L_HERALD_15-2-21_P04.MP4,T4,170.765,Herald_Feb2021,Acanthuridae,Acanthurus,sp,6,
PL_L_HERALD_15-2-21_P04.MP4,T4,133.742,Herald_Feb2021,Pomacentridae,Dascyllus,trimaculatus,2,
PL_L_HERALD_15-2-21_P04.MP4,T4,93.306,Herald_Feb2021,Pomacanthidae,Centropyge,heraldi,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,135.662,Herald_Feb2021,Holocentridae,Myripristis,kuntee,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,338.034,Herald_Feb2021,Balistidae,Melichthys,vidua,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,236.521,Herald_Feb2021,Mullidae,Parupeneus,pleurostigma,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,168.466,Herald_Feb2021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_HERALD_15-2-21_P04.MP4,T4,143.269,Herald_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
