Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,163.216,Holmes_Day2_Feb2021,Balistidae,Sufflamen,bursa,1,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,55.053,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,watanabie,1,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,60.136,Holmes_Day2_Feb2021,Pomacentridae,Chromis,amboinensis,5,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,116.052,Holmes_Day2_Feb2021,Serranidae,Pseudanthias,pleurotaenia,4,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,71.87,Holmes_Day2_Feb2021,Pomacentridae,Chromis,amboinensis,6,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T1,108.689,Holmes_Day2_Feb2021,Lethrinidae,Lethrinus,sp,1,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T2,217.543,Holmes_Day2_Feb2021,Zanclidae,Zanclus,cornutus,2,
PL_L_HOLMES_D2_21-01-21_P01.MP4,T2,100.75,Holmes_Day2_Feb2021,Pomacentridae,Chromis,amboinensis,4,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,129.571,Holmes_Day2_Feb2021,Pomacentridae,Chromis,sp,3,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,108.651,Holmes_Day2_Feb2021,Pomacentridae,Chromis,alpha,4,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,2904.488,Holmes_Day2_Feb2021,,,,1,huge gorgonian
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,121.89,Holmes_Day2_Feb2021,Pomacentridae,Chromis,alpha,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,118.685,Holmes_Day2_Feb2021,Nemipteridae,Pentapodus,sp,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,155.044,Holmes_Day2_Feb2021,Acanthuridae,Acanthurus,pyroferus,4,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T2,323.63,Holmes_Day2_Feb2021,Balistidae,Balistoides,conspicillum,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T3,202.336,Holmes_Day2_Feb2021,Chaetodontidae,Chaetodon,lineolatus,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T3,223.211,Holmes_Day2_Feb2021,Labridae,Oxycheilinus,unifasciatus,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T3,152.868,Holmes_Day2_Feb2021,Labridae,Bodianus,anthioides,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T3,97.124,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,watanabei,4,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T3,107.25,Holmes_Day2_Feb2021,Pomacentridae,Chromis,alpha,6,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T4,112.725,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,melanospilos,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T4,164.956,Holmes_Day2_Feb2021,Balistidae,Sufflamen,bursa,1,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T4,63.048,Holmes_Day2_Feb2021,Pomacentridae,Chromis,amboinensis,8,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T4,104.608,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,watanabei,5,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T4,80.004,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,melanospilos,3,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T5,107.371,Holmes_Day2_Feb2021,Pomacanthidae,Genicanthus,melanospilos,2,
PL_L_HOLMES_D2_21-01-21_P02.MP4,T5,91.616,Holmes_Day2_Feb2021,Pomacentridae,Chromis,alpha,16,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,191.169,Holmes_Day2_Feb2021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,189.413,Holmes_Day2_Feb2021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,150.359,Holmes_Day2_Feb2021,Acanthuridae,Acanthurus,thompsoni,3,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,384.104,Holmes_Day2_Feb2021,Acanthuridae,Naso,caesius,3,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,516.502,Holmes_Day2_Feb2021,Acanthuridae,Naso,vlamingii,1,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,236.463,Holmes_Day2_Feb2021,Serranidae,Variola,louti,1,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,173.308,Holmes_Day2_Feb2021,Acanthuridae,Acanthurus,pyroferus,2,
PL_L_HOLMES_D2_21-01-21_P03.MP4,T6,146.29,Holmes_Day2_Feb2021,Labridae,Bodianus,anthioides,1,
