Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,1,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Lethrinidae,Gymnocranius,euanus,1,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,1,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,2,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,2,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,3,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacentridae,Chromis,alpha,3,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Pomacanthidae,Centropyge,heraldi,1,
Juliette1_July21_R (2).MP4,T1,,Juliette1_July2021,Balistidae,Balistoides,conspicillum,1,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Pomacentridae,Chromis,alpha,2,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Pomacentridae,Chromis,amboinensis,2,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Pomacentridae,Chromis,alpha,6,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Serranidae,Pseudanthias,sp,1,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Serranidae,Pseudanthias,pleurotaenia,1,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Pomacentridae,Chromis,alpha,6,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Serranidae,Pseudanthias,pleurotaenia,3,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Pomacentridae,Chromis,alpha,10,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Serranidae,Pseudanthias,flavicauda,1,
Juliette1_July21_R (3).MP4,T2,,Juliette1_July2021,Serranidae,Pseudanthias,flavicauda,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Lethrinidae,Lethrinus,miniatus,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Scaridae,Scarus,sp,2,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Mullidae,Parupeneus,multifasciatus,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Centropyge,heraldi,2,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Genicanthus,melanospilos,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacentridae,Pomacentrus,sp,12,white tail black body damsel very abundant
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Gobiidae,Nemateleotris,magnifica,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Gobiidae,Nemateleotris,magnifica,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Labridae,Halichoeres,chrysus,2,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Chaetodontidae,Chaetodon,mertensii,3,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Genicanthus,watanabie,3,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Lethrinidae,Lethrinus,miniatus,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Labridae,Labroides,dimidiatus,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Centropyge,heraldi,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacentridae,Chromis,alpha,3,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Serranidae,Pseudanthias,pleurotaenia,12,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Centropyge,heraldi,1,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacentridae,Pomacentrus,sp,15,white tail black body
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Pomacanthidae,Genicanthus,watanabie,2,
Juliette1_July21_R (6).MP4,T3,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,
Juliette1_July21_R (6).MP4,T4,,Juliette1_July2021,Malacanthidae,Hoplolatilus,starcki,2,
Juliette1_July21_R (6).MP4,T4,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,
Juliette1_July21_R (6).MP4,T4,,Juliette1_July2021,Lethrinidae,Gymnocranius,euanus,1,
Juliette1_July21_R (7).MP4,T4,,Juliette1_July2021,Pomacanthidae,Centropyge,sp,4,likley bispinosa
Juliette1_July21_R (7).MP4,T4,,Juliette1_July2021,Labridae,,,120,very small incredibly abundant
Juliette1_July21_R (7).MP4,T4,,Juliette1_July2021,Balistidae,Balistoides,viridescens,1,
Juliette1_July21_R (7).MP4,T4,,Juliette1_July2021,Labridae,Labroides,dimidiatus,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Serranidae,Plectropomus,leopardus,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Gobiidae,Nemateleotris,magnifica,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Labridae,Labroides,dimidiatus,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Labridae,,,150,very small highly abundant
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,starcki,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Lethrinidae,Lethrinus,miniatus,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Labridae,Choerodon,jordani,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Pomacanthidae,Genicanthus,watanabie,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,starcki,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,randalli,1,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Pomacanthidae,Genicanthus,watanabie,6,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,
Juliette1_July21_R (7).MP4,T5,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,53m
Juliette1_July21_R (7).MP4,T6,,Juliette1_July2021,Malacanthidae,Hoplolatilus,marcosi,2,
Juliette1_July21_R (8).MP4,T6,,Juliette1_July2021,,,,1,cucumber_H.whitmaei
Juliette1_July21_R (8).MP4,T6,,Juliette1_July2021,Labridae,,,80,very small highly abundant
Juliette1_July21_R (8).MP4,T6,,Juliette1_July2021,Labridae,Cirrhilabrus,exquisitus,5,
Juliette1_July21_R (8).MP4,T6,,Juliette1_July2021,Lutjanidae,Aprion,virescens,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Serranidae,Plectropomus,laevis,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacanthidae,Pomacanthus,imperator,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacentridae,Pomacentrus,sp,2,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacanthidae,Centropyge,heraldi,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Lutjanidae,Lutjanus,bohar,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Scaridae,Chlorurus,microrhinos,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Acanthurus,pyroferus,6,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Ctenochaetus,striatus,4,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Labridae,Pseudodax,moluccanus,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacentridae,Chromis,iomelas,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Acanthurus,thompsoni,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Scaridae,Scarus,dimidiatus,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Chaetodontidae,Forcipiger,flavissimus,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacentridae,Dascyllus,reticulatus,6,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacentridae,Chromis,iomelas,4,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Monacanthidae,Cantherhines,dumerilii,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Labridae,Cirrhilabrus,sp,2,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Ctenochaetus,striatus,2,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Acanthurus,pyroferus,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Acanthurus,pyroferus,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Chaetodontidae,Chaetodon,kleinii,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Gobiidae,Nemateleotris,magnifica,2,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Lutjanidae,Lutjanus,bohar,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Acanthuridae,Acanthurus,dussumieri,5,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Lutjanidae,Lutjanus,bohar,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Pomacentridae,Chromis,iomelas,8,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Lutjanidae,Macolor,niger,1,
Juliette1_July21_R (9).MP4,T7,,Juliette1_July2021,Haemulidae,Plectorhinchus,picus,1,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Serranidae,Plectropomus,leopardus,1,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Chaetodontidae,Chaetodon,kleinii,2,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Pomacentridae,Pomacentrus,sp,2,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Chaetodontidae,Chaetodon,mertensii,1,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Pomacentridae,Chromis,iomelas,6,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Labridae,Cirrhilabrus,sp,2,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Balistidae,Sufflamen,bursa,1,
Juliette1_July21_R (9).MP4,T8,,Juliette1_July2021,Balistidae,Rhinecanthus,sp,1,lunula
