Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_KENN_8-2-21_P02.MP4,T1,446.675,Kenn_08022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_KENN_8-2-21_P02.MP4,T1,128.667,Kenn_08022021,Pomacentridae,Chromis,,1,xanthura
PL_L_KENN_8-2-21_P02.MP4,T1,100.825,Kenn_08022021,Chaetodontidae,Chaetodon,lunulatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,110.431,Kenn_08022021,Chaetodontidae,Chaetodon,lunulatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,113.841,Kenn_08022021,Acanthuridae,Zebrasoma,scopas,1,
PL_L_KENN_8-2-21_P02.MP4,T1,123.335,Kenn_08022021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,67.659,Kenn_08022021,Pomacentridae,Chromis,,15,iomelas
PL_L_KENN_8-2-21_P02.MP4,T1,137.231,Kenn_08022021,Pomacentridae,Chromis,,1,xanthura
PL_L_KENN_8-2-21_P02.MP4,T1,119.386,Kenn_08022021,Acanthuridae,Acanthurus,pyroferus,2,
PL_L_KENN_8-2-21_P02.MP4,T1,176.42,Kenn_08022021,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,185.765,Kenn_08022021,Labridae,Oxycheilinus,unifasciatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,882.973,Kenn_08022021,Serranidae,Plectropomus,laevis,1,
PL_L_KENN_8-2-21_P02.MP4,T1,46.109,Kenn_08022021,Pomacentridae,Chromis,,30,iomelas
PL_L_KENN_8-2-21_P02.MP4,T1,200.877,Kenn_08022021,Lethrinidae,Gnathodentex,aureolineatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,172.034,Kenn_08022021,Lethrinidae,Gnathodentex,aureolineatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,207.557,Kenn_08022021,Scaridae,Scarus,,1,longipinnis
PL_L_KENN_8-2-21_P02.MP4,T1,91.246,Kenn_08022021,Acanthuridae,Zebrasoma,scopas,1,
PL_L_KENN_8-2-21_P02.MP4,T1,163.316,Kenn_08022021,Lethrinidae,Gnathodentex,aureolineatus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,251.459,Kenn_08022021,Scaridae,Scarus,niger,1,
PL_L_KENN_8-2-21_P02.MP4,T1,190.765,Kenn_08022021,Mullidae,Parupeneus,multifasciatus,2,
PL_L_KENN_8-2-21_P02.MP4,T1,110.518,Kenn_08022021,Zanclidae,Zanclus,cornutus,1,
PL_L_KENN_8-2-21_P02.MP4,T1,210.959,Kenn_08022021,Acanthuridae,Ctenochaetus,striatus,2,
PL_L_KENN_8-2-21_P04.MP4,T2,147.817,Kenn_08022021,Pomacentridae,Chromis,,5,xanthura
PL_L_KENN_8-2-21_P04.MP4,T2,304.376,Kenn_08022021,Acanthuridae,Acanthurus,,2,albipectoralis
PL_L_KENN_8-2-21_P04.MP4,T2,285.445,Kenn_08022021,Acanthuridae,Acanthurus,,2,albipectoralis
PL_L_KENN_8-2-21_P04.MP4,T2,104.925,Kenn_08022021,Pomacentridae,Acanthochromis,polyacanthus,14,
PL_L_KENN_8-2-21_P04.MP4,T2,313.032,Kenn_08022021,Scaridae,Scarus,sp,1,
PL_L_KENN_8-2-21_P04.MP4,T2,106.218,Kenn_08022021,Pomacentridae,Chromis,ternatensis,6,
PL_L_KENN_8-2-21_P04.MP4,T2,108.346,Kenn_08022021,Acanthuridae,Ctenochaetus,binotatus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,235.515,Kenn_08022021,Scaridae,Scarus,,1,longipinnis
PL_L_KENN_8-2-21_P04.MP4,T2,264.438,Kenn_08022021,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,251.144,Kenn_08022021,Acanthuridae,Acanthurus,,5,albipectoralis
PL_L_KENN_8-2-21_P04.MP4,T2,58.001,Kenn_08022021,Pomacentridae,Chromis,ternatensis,12,
PL_L_KENN_8-2-21_P04.MP4,T2,126.72,Kenn_08022021,Chaetodontidae,Chaetodon,,1,pelwensis
PL_L_KENN_8-2-21_P04.MP4,T2,83.872,Kenn_08022021,Chaetodontidae,Chaetodon,,1,pelwensis
PL_L_KENN_8-2-21_P04.MP4,T2,141.82,Kenn_08022021,Lutjanidae,Macolor,niger,1,
PL_L_KENN_8-2-21_P04.MP4,T2,199.77,Kenn_08022021,Zanclidae,Zanclus,cornutus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,285.555,Kenn_08022021,Scaridae,Chlorurus,,1,spilurus
PL_L_KENN_8-2-21_P04.MP4,T2,344.802,Kenn_08022021,Labridae,Oxycheilinus,digrammus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,133.87,Kenn_08022021,Acanthuridae,Zebrasoma,scopas,1,
PL_L_KENN_8-2-21_P04.MP4,T2,213.772,Kenn_08022021,Acanthuridae,Acanthurus,thompsoni,1,
PL_L_KENN_8-2-21_P04.MP4,T2,166.982,Kenn_08022021,Acanthuridae,Acanthurus,thompsoni,1,
PL_L_KENN_8-2-21_P04.MP4,T2,206.796,Kenn_08022021,Acanthuridae,Acanthurus,thompsoni,5,
PL_L_KENN_8-2-21_P04.MP4,T2,194.696,Kenn_08022021,Labridae,Gomphosus,varius,1,
PL_L_KENN_8-2-21_P04.MP4,T2,284.926,Kenn_08022021,Scaridae,Scarus,niger,1,
PL_L_KENN_8-2-21_P04.MP4,T2,149.042,Kenn_08022021,Labridae,Gomphosus,varius,1,
PL_L_KENN_8-2-21_P04.MP4,T2,104.655,Kenn_08022021,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,105.608,Kenn_08022021,Pomacentridae,Acanthochromis,polyacanthus,8,
PL_L_KENN_8-2-21_P04.MP4,T2,112.389,Kenn_08022021,Pomacentridae,Acanthochromis,polyacanthus,1,
PL_L_KENN_8-2-21_P04.MP4,T2,84.949,Kenn_08022021,Pomacentridae,Chromis,,10,iomelas
PL_L_KENN_8-2-21_P04.MP4,T2,541.98,Kenn_08022021,Acanthuridae,Naso,caesius,1,
