Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_LIHOUN_12-2-21_P01.MP4,T1,126.283,Lihou_North_Feb2021,Serranidae,Pseudanthias,pleurotaenia,5,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,101.749,Lihou_North_Feb2021,Acanthuridae,Ctenochaetus,striatus,5,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,254.84,Lihou_North_Feb2021,Mullidae,Parupeneus,multifasciatus,1,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,89.768,Lihou_North_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,6,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,131.854,Lihou_North_Feb2021,Acanthuridae,Acanthurus,thompsoni,1,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,150.537,Lihou_North_Feb2021,Acanthuridae,Acanthurus,thompsoni,12,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,108.706,Lihou_North_Feb2021,Pomacanthidae,Genicanthus,watanabei,4,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,69.425,Lihou_North_Feb2021,Pomacentridae,Pomacentrus,nigromarginatus,4,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,144.389,Lihou_North_Feb2021,Serranidae,Pseudanthias,,2,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,103.367,Lihou_North_Feb2021,Pomacentridae,Amblyglyphidodon,aureus,1,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,175.705,Lihou_North_Feb2021,Acanthuridae,Ctenochaetus,striatus,4,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,157.737,Lihou_North_Feb2021,Chaetodontidae,Chaetodon,mertensii,2,
PL_L_LIHOUN_12-2-21_P05.MP4,T6,149.591,Lihou_North_Feb2021,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_LIHOUN_12-2-21_P05.MP4,T8,481.996,Lihou_North_Feb2021,Lutjanidae,Lutjanus,bohar,1,
PL_L_LIHOUN_12-2-21_P06.MP4,T8,122.027,Lihou_North_Feb2021,Chaetodontidae,Chaetodon,auriga,2,
PL_L_LIHOUN_12-2-21_P06.MP4,T9,681.625,Lihou_North_Feb2021,Lutjanidae,Lutjanus,bohar,1,
PL_L_LIHOUN_12-2-21_P06.MP4,T9,354.012,Lihou_North_Feb2021,Acanthuridae,Acanthurus,dussumieri,2,
PL_L_LIHOUN_12-2-21_P06.MP4,T9,170.385,Lihou_North_Feb2021,Chaetodontidae,Heniochus,acuminatus,2,
PL_L_LIHOUN_12-2-21_P06.MP4,T9,250.354,Lihou_North_Feb2021,Lethrinidae,Monotaxis,grandoculis,2,
PL_L_LIHOUN_12-2-21_P06.MP4,T9,456.028,Lihou_North_Feb2021,Acanthuridae,Naso,caesius,2,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,,Lihou_North_Feb2021,Pomacanthidae,Genicanthus,watanabei,1,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,,Lihou_North_Feb2021,Pomacentridae,Chromis,ternatensis,6,
PL_L_LIHOUN_12-2-21_P01.MP4,T1,,Lihou_North_Feb2021,Scaridae,Scarus,frenatus,2,
