Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_LIHOU_11-2-21_P02.MP4,T1,230.583,Lihou_South_Feb21,Acanthuridae,Acanthurus,auranticavus,8,
PL_L_LIHOU_11-2-21_P03.MP4,T2,123.901,Lihou_South_Feb21,Pomacanthidae,Centropyge,heraldi,1,
PL_L_LIHOU_11-2-21_P03.MP4,T2,160.317,Lihou_South_Feb21,Labridae,Choerodon,jordani,1,
PL_L_LIHOU_11-2-21_P03.MP4,T4,1073.67,Lihou_South_Feb21,Serranidae,Plectropomus,laevis,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,297.032,Lihou_South_Feb21,Acanthuridae,Acanthurus,blochii,5,
PL_L_LIHOU_11-2-21_P06.MP4,T5,180.025,Lihou_South_Feb21,Zanclidae,Zanclus,cornutus,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,327.382,Lihou_South_Feb21,Balistidae,Balistoides,conspicillum,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,164.893,Lihou_South_Feb21,Mullidae,Parupeneus,pleurostigma,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,88.228,Lihou_South_Feb21,Mullidae,Parupeneus,barberinoides,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,66.106,Lihou_South_Feb21,Mullidae,Parupeneus,pleurostigma,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,146.453,Lihou_South_Feb21,Mullidae,Parupeneus,barberinoides,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,220.624,Lihou_South_Feb21,Mullidae,Parupeneus,multifasciatus,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,205.189,Lihou_South_Feb21,Lethrinidae,Gymnocranius,euanus,5,
PL_L_LIHOU_11-2-21_P08.MP4,T8,83.341,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_LIHOU_11-2-21_P08.MP4,T8,124.763,Lihou_South_Feb21,Acanthuridae,Acanthurus,nubilis,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,82.926,Lihou_South_Feb21,Pomacentridae,Pomacentrus,sp,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,413.469,Lihou_South_Feb21,Balistidae,Balistoides,viridescens,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,230.013,Lihou_South_Feb21,Balistidae,Sufflamen,bursa,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,224.49,Lihou_South_Feb21,Scaridae,Scarus,sp,6,maybe IP niger
PL_L_LIHOU_11-2-21_P08.MP4,T8,90.685,Lihou_South_Feb21,Labridae,Labroides,dimidiatus,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,388.682,Lihou_South_Feb21,Serranidae,Plectropomus,leopardus,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,376.896,Lihou_South_Feb21,Balistidae,Pseudobalistes,fuscus,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,86.371,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,7,
PL_L_LIHOU_11-2-21_P08.MP4,T8,327.941,Lihou_South_Feb21,Acanthuridae,Acanthurus,grammoptilus,2,
PL_L_LIHOU_11-2-21_P08.MP4,T8,142.414,Lihou_South_Feb21,Mullidae,Parupeneus,barberinoides,2,
PL_L_LIHOU_11-2-21_P08.MP4,T8,82.567,Lihou_South_Feb21,Labridae,Choerodon,jordani,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Scaridae,Scarus,niger,2,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Labridae,Thalassoma,lutescens,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Pomacentridae,Chromis,ternatensis,12,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Scaridae,Scarus,flavipectoralis,2,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Lethrinidae,Monotaxis,grandoculis,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Serranidae,Plectropomus,leopardus,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Scaridae,Scarus,niger,2,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Chaetodontidae,Chaetodon,lineolatus,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Chaetodontidae,Chaetodon,mertensii,2,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Lutjanidae,Lutjanus,adetii,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Acanthuridae,Acanthurus,blochii,2,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Balistidae,Balistapus,undulatus,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_LIHOU_11-2-21_P02.MP4,T1,,Lihou_South_Feb21,Pomacentridae,Chromis,iomelas,1,
PL_L_LIHOU_11-2-21_P02.MP4,T2,,Lihou_South_Feb21,Haemulidae,Diagramma,pictum labiosum,1,
PL_L_LIHOU_11-2-21_P02.MP4,T2,,Lihou_South_Feb21,Acanthuridae,Acanthurus,nigricauda,8,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Balistidae,Sufflamen,bursa,1,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,3,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Scaridae,Scarus,frenatus,1,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Mullidae,Parupeneus,multifasciatus,1,
PL_L_LIHOU_11-2-21_P03.MP4,T2,,Lihou_South_Feb21,Pomacentridae,Stegastes,fasciolatus,2,
PL_L_LIHOU_11-2-21_P03.MP4,T4,,Lihou_South_Feb21,Pomacanthidae,Centropyge,heraldi,1,
PL_L_LIHOU_11-2-21_P03.MP4,T4,,Lihou_South_Feb21,Pomacentridae,Stegastes,fasciolatus,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Serranidae,Plectropomus,leopardus,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Chaetodontidae,Chaetodon,martensii,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Labridae,Cirrhilabrus,scottorum,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Labridae,Cirrhilabrus,punctatus,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Pomacentridae,Chromis,iomelas,2,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Labridae,Choerodon,jordani,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Mullidae,Parupeneus,pleurostigma,1,
PL_L_LIHOU_11-2-21_P06.MP4,T5,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Acanthuridae,Acanthurus,grammoptilus,2,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Pomacanthidae,Centropyge,heraldi,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Pomacentridae,Stegastes,fasciolatus,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Serranidae,Cephalopholis,urodeta,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,sp,8,
PL_L_LIHOU_11-2-21_P07.MP4,T7,,Lihou_South_Feb21,Serranidae,Cephalopholis,miniata,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Clupeidae,,sp,3000,large silvery school
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,,,,1,stingray
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Mullidae,Parupeneus,barberinoides,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Balistidae,Sufflamen,chrysopterum,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,,6,sp
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Serranidae,Cephalopholis,urodeta,1,
PL_L_LIHOU_11-2-21_P08.MP4,T8,,Lihou_South_Feb21,Labridae,Oxycheilinus,digrammus,1,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,sp,6,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Pomacentridae,Amphiprion,chrysopterus,2,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Mullidae,Parupeneus,cyclostomus,1,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Labridae,Cirrhilabrus,sp,2,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Pomacentridae,Pomacentrus,sp,4,
PL_L_LIHOU_11-2-21_P08.MP4,T9,,Lihou_South_Feb21,Mullidae,Parupeneus,barberinoides,2,
