Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_MARION_10-2-21_P02.MP4,T1,182.42,Marion_Feb21,Lethrinidae,Monotaxis,grandoculis,1,
PL_L_MARION_10-2-21_P02.MP4,T1,87.596,Marion_Feb21,Acanthuridae,Ctenochaetus,striatus,3,
PL_L_MARION_10-2-21_P02.MP4,T1,106.893,Marion_Feb21,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_MARION_10-2-21_P02.MP4,T1,230.909,Marion_Feb21,Lutjanidae,Lutjanus,,1,adetii
PL_L_MARION_10-2-21_P02.MP4,T1,136.644,Marion_Feb21,Serranidae,Plectropomus,leopardus,1,
PL_L_MARION_10-2-21_P02.MP4,T1,237.339,Marion_Feb21,Mullidae,Mulloidichthys,vanicolensis,2,
PL_L_MARION_10-2-21_P04.MP4,T5,94.471,Marion_Feb21,Pomacentridae,Pomacentrus,moluccensis,3,
PL_L_MARION_10-2-21_P04.MP4,T6,140.277,Marion_Feb21,Acanthuridae,Ctenochaetus,striatus,3,
PL_L_MARION_10-2-21_P05.MP4,T8,590.768,Marion_Feb21,Balistidae,Balistoides,viridescens,1,
PL_L_MARION_10-2-21_P02.MP4,T1,487.03,Marion_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_MARION_10-2-21_P02.MP4,T1,981.27,Marion_Feb21,Serranidae,Plectropomus,leopardus,1,
PL_L_MARION_10-2-21_P02.MP4,T1,861.19,Marion_Feb21,Scaridae,Scarus,flavipectoralis,1,
PL_L_MARION_10-2-21_P02.MP4,T1,937.84,Marion_Feb21,Serranidae,Plectropomus,leopardus,1,200
PL_L_MARION_10-2-21_P02.MP4,T1,930.73,Marion_Feb21,Balistidae,Sufflamen,chrysopterum,1,
PL_L_MARION_10-2-21_P02.MP4,T1,851.03,Marion_Feb21,Acanthuridae,Zebrasoma,scopas,1,
PL_L_MARION_10-2-21_P02.MP4,T1,931.3,Marion_Feb21,Acanthuridae,Ctenochaetus,striatus,3,
PL_L_MARION_10-2-21_P03.MP4,T3,274.03,Marion_Feb21,Lutjanidae,Aprion,virescens,1,
PL_L_MARION_10-2-21_P03.MP4,T4,695.15,Marion_Feb21,Pomacentridae,Pomacentrus,moluccensis,2,
PL_L_MARION_10-2-21_P04.MP4,T5,338.99,Marion_Feb21,Caesionidae,Dipterygonotus,balteatus,400,maybe Dipterygonotus balteatus
PL_L_MARION_10-2-21_P04.MP4,T5,296.13,Marion_Feb21,Lutjanidae,Aprion,virescens,1,
PL_L_MARION_10-2-21_P04.MP4,T6,851.2,Marion_Feb21,Acanthuridae,Ctenochaetus,nigricans,1,CHECK Nigricans?
PL_L_MARION_10-2-21_P04.MP4,T6,922.84,Marion_Feb21,,,,1,fishing_line
PL_L_MARION_10-2-21_P04.MP4,T6,799.62,Marion_Feb21,Acanthuridae,Ctenochaetus,striatus,1,
PL_L_MARION_10-2-21_P04.MP4,T6,986.48,Marion_Feb21,Pomacentridae,Pomacentrus,moluccensis,1,
PL_L_MARION_10-2-21_P04.MP4,T6,965.88,Marion_Feb21,Scaridae,Scarus,flavipectoralis,1,
PL_L_MARION_10-2-21_P04.MP4,T7,614.55,Marion_Feb21,Labridae,Labroides,dimidiatus,1,
PL_L_MARION_10-2-21_P05.MP4,T8,483.58,Marion_Feb21,Chaetodontidae,Chaetodon,,1,pelewensis
PL_L_MARION_10-2-21_P05.MP4,T8,554.1,Marion_Feb21,Pomacentridae,Pomacentrus,moluccensis,1,
