Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
Osprey_D2D3_L_(3).MP4,T1,1155.464,OspreyD2D3_Feb2021,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
Osprey_D2D3_L_(3).MP4,T2,68.692,OspreyD2D3_Feb2021,Pomacentridae,Chromis,sp,1,
Osprey_D2D3_L_(3).MP4,T2,92.878,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,2,
Osprey_D2D3_L_(3).MP4,T2,87.733,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,6,
Osprey_D2D3_L_(4).MP4,T2,94.207,OspreyD2D3_Feb2021,Pomacanthidae,Genicanthus,bellus,1,
Osprey_D2D3_L_(4).MP4,T2,170.899,OspreyD2D3_Feb2021,Chaetodontidae,Forcipiger,flavissimus,3,
Osprey_D2D3_L_(4).MP4,T2,105.327,OspreyD2D3_Feb2021,Serranidae,Pseudanthias,pleurotaenia,6,
Osprey_D2D3_L_(4).MP4,T2,104.986,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,4,
Osprey_D2D3_L_(4).MP4,T3,514.795,OspreyD2D3_Feb2021,Lutjanidae,Macolor,niger,4,
Osprey_D2D3_L_(4).MP4,T3,588.424,OspreyD2D3_Feb2021,Lutjanidae,Macolor,niger,1,
Osprey_D2D3_L_(4).MP4,T3,181.235,OspreyD2D3_Feb2021,Mullidae,Parupeneus,multifasciatus,1,
Osprey_D2D3_L_(4).MP4,T3,361.738,OspreyD2D3_Feb2021,Carangidae,,,1,black_scad_IDENTIFICATION
Osprey_D2D3_L_(4).MP4,T3,46.422,OspreyD2D3_Feb2021,Pomacentridae,Chromis,margaritifer,1,
Osprey_D2D3_L_(4).MP4,T3,206.268,OspreyD2D3_Feb2021,Mullidae,Parupeneus,multifasciatus,1,
Osprey_D2D3_L_(4).MP4,T3,94.521,OspreyD2D3_Feb2021,Serranidae,Pseudanthias,sp,8,
Osprey_D2D3_L_(4).MP4,T3,227.262,OspreyD2D3_Feb2021,Serranidae,Cephalopholis,sp,1,
Osprey_D2D3_L_(4).MP4,T3,232.999,OspreyD2D3_Feb2021,Serranidae,Cephalopholis,sp,1,
Osprey_D2D3_L_(4).MP4,T3,152.922,OspreyD2D3_Feb2021,Holocentridae,Myripristis,sp,2,
Osprey_D2D3_L_(4).MP4,T3,372.882,OspreyD2D3_Feb2021,Pomacanthidae,Pomacanthus,imperator,1,
Osprey_D2D3_L_(4).MP4,T3,73.883,OspreyD2D3_Feb2021,Labridae,Labroides,dimidiatus,1,
Osprey_D2D3_L_(4).MP4,T3,87.886,OspreyD2D3_Feb2021,Pomacentridae,Chromis,alpha,1,
Osprey_D2D3_L_(4).MP4,T4,77.263,OspreyD2D3_Feb2021,Pomacentridae,Chromis,margaritifer,1,
Osprey_D2D3_L_(4).MP4,T4,71.913,OspreyD2D3_Feb2021,Tetraodontidae,Canthigaster,sp,1,
Osprey_D2D3_L_(5).MP4,T5,84.837,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,1,
Osprey_D2D3_L_(5).MP4,T5,60.397,OspreyD2D3_Feb2021,Serranidae,Pseudanthias,pleurotaenia,1,
Osprey_D2D3_L_(5).MP4,T5,207.882,OspreyD2D3_Feb2021,Serranidae,Cephalopholis,spiloparaea,1,
Osprey_D2D3_L_(5).MP4,T5,50.884,OspreyD2D3_Feb2021,Pomacentridae,Chromis,margaritifer,6,
Osprey_D2D3_L_(5).MP4,T5,45.484,OspreyD2D3_Feb2021,Pomacentridae,Chromis,margaritifer,5,
Osprey_D2D3_L_(5).MP4,T5,128.417,OspreyD2D3_Feb2021,Mullidae,Parupeneus,multifasciatus,2,
Osprey_D2D3_L_(5).MP4,T6,46.461,OspreyD2D3_Feb2021,Pomacentridae,Chromis,margaritifer,5,
Osprey_D2D3_L_(5).MP4,T6,115.232,OspreyD2D3_Feb2021,Labridae,Bodianus,anthioides,1,
Osprey_D2D3_L_(5).MP4,T6,108.627,OspreyD2D3_Feb2021,Pomacanthidae,Centropyge,bispinosa,1,
Osprey_D2D3_L_(5).MP4,T6,63.595,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,1,
Osprey_D2D3_L_(5).MP4,T6,109.688,OspreyD2D3_Feb2021,Serranidae,Pseudanthias,pleurotaenia,3,
Osprey_D2D3_L_(5).MP4,T6,63.559,OspreyD2D3_Feb2021,Labridae,Labroides,dimidiatus,1,
Osprey_D2D3_L_(5).MP4,T6,167.144,OspreyD2D3_Feb2021,Serranidae,Cephalopholis,leopardus,1,
Osprey_D2D3_L_(5).MP4,T6,115.378,OspreyD2D3_Feb2021,Labridae,Thalassoma,sp,1,
Osprey_D2D3_L_(5).MP4,T6,50.769,OspreyD2D3_Feb2021,Labridae,Labroides,dimidiatus,1,
Osprey_D2D3_L_(5).MP4,T6,88.158,OspreyD2D3_Feb2021,Pomacentridae,Chromis,amboinensis,4,
Osprey_D2D3_L_(5).MP4,T6,139.942,OspreyD2D3_Feb2021,Pomacentridae,Acanthochromis,polyacanthus,1,
Osprey_D2D3_L_(5).MP4,T6,60.774,OspreyD2D3_Feb2021,Pomacentridae,Chrysiptera,flavipinnis,8,
Osprey_D2D3_L_(5).MP4,T6,80.182,OspreyD2D3_Feb2021,Pomacentridae,Chromis,amboinensis,3,
Osprey_D2D3_L_(5).MP4,T6,85.259,OspreyD2D3_Feb2021,Pomacentridae,Chromis,alpha,2,
Osprey_D2D3_L_(5).MP4,T6,281.716,OspreyD2D3_Feb2021,Mullidae,Parupeneus,multifasciatus,2,
