Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_SAUM_S_6-2-21_P02.MP4,T1,80.311,Saumarez_South_06022021,Balistidae,Sufflamen,,2,chrysopterus
PL_L_SAUM_S_6-2-21_P02.MP4,T1,226.235,Saumarez_South_06022021,Chaetodontidae,Chaetodon,vagabundus,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,126.61,Saumarez_South_06022021,Chaetodontidae,Chaetodon,vagabundus,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T2,295.247,Saumarez_South_06022021,Diodontidae,Chilomycterus,reticulatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,61.367,Saumarez_South_06022021,Pomacentridae,Dascyllus,reticulatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,68.293,Saumarez_South_06022021,Pomacentridae,Dascyllus,reticulatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,74.097,Saumarez_South_06022021,Pomacanthidae,Centropyge,tibicen,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,92.655,Saumarez_South_06022021,Chaetodontidae,Chaetodon,lineolatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,67.487,Saumarez_South_06022021,Pomacentridae,Dascyllus,reticulatus,6,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,543.962,Saumarez_South_06022021,Acanthuridae,Acanthurus,xanthopterus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,263.728,Saumarez_South_06022021,Mullidae,Parupeneus,pleurostigma,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,86.39,Saumarez_South_06022021,Chaetodontidae,Chaetodon,,2,martensii
PL_L_SAUM_S_6-2-21_P03.MP4,T2,115.522,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,93.669,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,86.527,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,96.448,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,67.166,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,100.269,Saumarez_South_06022021,Pomacentridae,Dascyllus,reticulatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,125.418,Saumarez_South_06022021,Cirrhitidae,Paracirrhites,arcatus,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T2,119.59,Saumarez_South_06022021,Monacanthidae,Cantherhines,dumerilii,1,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,133.283,Saumarez_South_06022021,Chaetodontidae,Chaetodon,,1,martensii
PL_L_SAUM_S_6-2-21_P03.MP4,T3,76.418,Saumarez_South_06022021,Chaetodontidae,Chaetodon,,1,martensii
PL_L_SAUM_S_6-2-21_P03.MP4,T3,142.76,Saumarez_South_06022021,Labridae,Coris,pictoides,5,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,137.178,Saumarez_South_06022021,Labridae,Coris,pictoides,2,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,62.403,Saumarez_South_06022021,Pomacentridae,Dascyllus,reticulatus,3,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,38.779,Saumarez_South_06022021,Pomacentridae,Dascyllus,trimaculatus,2,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,78.023,Saumarez_South_06022021,Chaetodontidae,Chaetodon,,1,martensii
PL_L_SAUM_S_6-2-21_P04.MP4,T4,307.538,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,304.825,Saumarez_South_06022021,Mullidae,Parupeneus,multifasciatus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,282.557,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,241.983,Saumarez_South_06022021,Siganidae,Siganus,argenteus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,422.827,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,238.98,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,236.61,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,403.129,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,222.355,Saumarez_South_06022021,Siganidae,Siganus,argenteus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,384.381,Saumarez_South_06022021,Siganidae,Siganus,argenteus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,342.331,Saumarez_South_06022021,Siganidae,Siganus,argenteus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,490.701,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,348.366,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,255.683,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,238.627,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,266.879,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,394.957,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T4,46.541,Saumarez_South_06022021,Chaetodontidae,Chaetodon,,2,martensii
PL_L_SAUM_S_6-2-21_P04.MP4,T5,368.925,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,superciliosus
PL_L_SAUM_S_6-2-21_P04.MP4,T5,481.887,Saumarez_South_06022021,Acanthuridae,Naso,hexacanthus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,417.274,Saumarez_South_06022021,Acanthuridae,Naso,hexacanthus,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,535.242,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,379.524,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,364.809,Saumarez_South_06022021,Carangidae,Pseudocaranx,,1,georgianus
PL_L_SAUM_S_6-2-21_P04.MP4,T5,378.092,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,432.867,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,317.25,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,291.124,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,390.715,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T5,375.914,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,322.249,Saumarez_South_06022021,Balistidae,Balistoides,viridescens,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,105.796,Saumarez_South_06022021,Labridae,Labroides,dimidiatus,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,315.597,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T6,392.879,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T6,343.634,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,2,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T6,97.064,Saumarez_South_06022021,,,,1,goby
PL_L_SAUM_S_6-2-21_P04.MP4,T6,350.169,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,6,
PL_L_SAUM_S_6-2-21_P04.MP4,T6,166.353,Saumarez_South_06022021,Balistidae,Sufflamen,chrysopterum,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,570.22,Saumarez_South_06022021,Tetraodontidae,Arothron,stellatus,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,628.66,Saumarez_South_06022021,Mullidae,Parupeneus,pleurostigma,6,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,694.21,Saumarez_South_06022021,Mullidae,Parupeneus,pleurostigma,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,737.46,Saumarez_South_06022021,Balistidae,Pseudobalistes,fuscus,1,
PL_L_SAUM_S_6-2-21_P02.MP4,T1,699.67,Saumarez_South_06022021,Mullidae,Parupeneus,pleurostigma,4,
PL_L_SAUM_S_6-2-21_P03.MP4,T3,725.98,Saumarez_South_06022021,Labridae,Coris,pictoides,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,473.9,Saumarez_South_06022021,Acanthuridae,Acanthurus,blochii,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T4,1022.57,Saumarez_South_06022021,Labridae,,sp,1,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,159.4,Saumarez_South_06022021,Lethrinidae,Gymnocranius,,1,euanus
PL_L_SAUM_S_6-2-21_P04.MP4,T5,604.48,Saumarez_South_06022021,Acanthuridae,Acanthurus,dussumieri,2,
PL_L_SAUM_S_6-2-21_P04.MP4,T5,360.56,Saumarez_South_06022021,Acanthuridae,Naso,tonganus,2,
