Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment
PL_L_WILL_14-2-21_P01.MP4,T1,1347.33,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P01.MP4,T1,1931.055,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,8,
PL_L_WILL_14-2-21_P01.MP4,T1,163.102,Willis_Feb21,Acanthuridae,Acanthurus,thompsoni,1,
PL_L_WILL_14-2-21_P01.MP4,T1,1015.696,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P01.MP4,T1,180.25,Willis_Feb21,Lutjanidae,Lutjanus,kasmira,4,
PL_L_WILL_14-2-21_P01.MP4,T1,178.212,Willis_Feb21,Lethrinidae,Gnathodentex,aureolineatus,12,
PL_L_WILL_14-2-21_P01.MP4,T1,231.94,Willis_Feb21,Lutjanidae,Lutjanus,kasmira,14,
PL_L_WILL_14-2-21_P01.MP4,T1,170.553,Willis_Feb21,Lethrinidae,Gnathodentex,aureolineatus,16,
PL_L_WILL_14-2-21_P01.MP4,T1,57.072,Willis_Feb21,Pomacentridae,Chromis,amboinensis,16,
PL_L_WILL_14-2-21_P01.MP4,T1,74.847,Willis_Feb21,Chaetodontidae,Chaetodon,mertensii,1,
PL_L_WILL_14-2-21_P01.MP4,T1,2154.118,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P01.MP4,T1,149.892,Willis_Feb21,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_WILL_14-2-21_P01.MP4,T1,115.947,Willis_Feb21,Pomacentridae,Chromis,weberi,9,
PL_L_WILL_14-2-21_P01.MP4,T1,137.317,Willis_Feb21,Pomacentridae,Amblyglyphidodon,aureus,4,
PL_L_WILL_14-2-21_P01.MP4,T1,172.118,Willis_Feb21,Holocentridae,Myripristis,kuntee,1,
PL_L_WILL_14-2-21_P01.MP4,T1,57.266,Willis_Feb21,Pomacentridae,Chromis,amboinensis,16,
PL_L_WILL_14-2-21_P01.MP4,T1,269.377,Willis_Feb21,Mullidae,Parupeneus,spilurus,1,
PL_L_WILL_14-2-21_P01.MP4,T1,246.934,Willis_Feb21,Acanthuridae,Acanthurus,nigricans,1,
PL_L_WILL_14-2-21_P01.MP4,T2,334.7,Willis_Feb21,Lethrinidae,Gymnocranius,euanus,1,
PL_L_WILL_14-2-21_P01.MP4,T2,84.654,Willis_Feb21,Pomacentridae,Chromis,agilis,4,
PL_L_WILL_14-2-21_P01.MP4,T2,62.913,Willis_Feb21,Pomacentridae,Chromis,amboinensis,12,
PL_L_WILL_14-2-21_P01.MP4,T2,553.103,Willis_Feb21,Serranidae,Variola,louti,1,
PL_L_WILL_14-2-21_P01.MP4,T2,107.595,Willis_Feb21,Chaetodontidae,Chaetodon,ornatissimus,1,
PL_L_WILL_14-2-21_P01.MP4,T2,151.167,Willis_Feb21,Acanthuridae,Acanthurus,pyroferus,2,
PL_L_WILL_14-2-21_P01.MP4,T2,147.013,Willis_Feb21,Chaetodontidae,Forcipiger,flavissimus,2,
PL_L_WILL_14-2-21_P01.MP4,T2,152.925,Willis_Feb21,Acanthuridae,Acanthurus,thompsoni,6,
PL_L_WILL_14-2-21_P02.MP4,T3,116.338,Willis_Feb21,Chaetodontidae,Chaetodon,melannotus,2,
PL_L_WILL_14-2-21_P02.MP4,T3,213.725,Willis_Feb21,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_WILL_14-2-21_P02.MP4,T3,178.777,Willis_Feb21,Zanclidae,Zanclus,cornutus,1,
PL_L_WILL_14-2-21_P02.MP4,T3,69.231,Willis_Feb21,Pomacentridae,Chromis,amboinensis,8,
PL_L_WILL_14-2-21_P02.MP4,T3,188.934,Willis_Feb21,Mullidae,Parupeneus,multifasciatus,2,
PL_L_WILL_14-2-21_P02.MP4,T3,75.838,Willis_Feb21,Pomacanthidae,Genicanthus,melanospilos,2,
PL_L_WILL_14-2-21_P02.MP4,T4,1491.715,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P02.MP4,T4,142.477,Willis_Feb21,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_WILL_14-2-21_P02.MP4,T4,82.641,Willis_Feb21,Pomacanthidae,Centropyge,flavissima,2,
PL_L_WILL_14-2-21_P02.MP4,T4,186.951,Willis_Feb21,Acanthuridae,Ctenochaetus,striatus,2,
PL_L_WILL_14-2-21_P02.MP4,T4,68.151,Willis_Feb21,Pomacentridae,Chromis,amboinensis,7,
PL_L_WILL_14-2-21_P02.MP4,T4,198.444,Willis_Feb21,Lethrinidae,Gymnocranius,euanus,1,
PL_L_WILL_14-2-21_P02.MP4,T4,1909.287,Willis_Feb21,Carcharhinidae,Carcharhinus,albimarginatus,1,
PL_L_WILL_14-2-21_P02.MP4,T4,101.604,Willis_Feb21,Malacanthidae,Hoplolatilus,starcki,2,
PL_L_WILL_14-2-21_P02.MP4,T4,515.324,Willis_Feb21,,,,1,cucumber black
PL_L_WILL_14-2-21_P03.MP4,T5,97.713,Willis_Feb21,Chaetodontidae,Chaetodon,mertensii,2,
PL_L_WILL_14-2-21_P03.MP4,T5,1354.109,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P03.MP4,T5,464.271,Willis_Feb21,Echeneidae,Echeneis,naucrates,2,
PL_L_WILL_14-2-21_P03.MP4,T5,512.667,Willis_Feb21,Acanthuridae,Naso,vlamingii,1,
PL_L_WILL_14-2-21_P03.MP4,T5,2289.121,Willis_Feb21,Carcharhinidae,Carcharhinus,amblyrhynchos,1,
PL_L_WILL_14-2-21_P03.MP4,T6,123.097,Willis_Feb21,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_WILL_14-2-21_P03.MP4,T6,106.553,Willis_Feb21,Chaetodontidae,Hemitaurichthys,polylepis,12,
PL_L_WILL_14-2-21_P03.MP4,T6,224.882,Willis_Feb21,Acanthuridae,Acanthurus,thompsoni,4,
PL_L_WILL_14-2-21_P03.MP4,T6,129.976,Willis_Feb21,Pomacentridae,Chromis,xanthochira,2,
PL_L_WILL_14-2-21_P03.MP4,T6,220.431,Willis_Feb21,Scaridae,Scarus,flavipectoralis,1,
PL_L_WILL_14-2-21_P03.MP4,T6,175.616,Willis_Feb21,Acanthuridae,Acanthurus,pyroferus,1,
PL_L_WILL_14-2-21_P03.MP4,T6,151.977,Willis_Feb21,Acanthuridae,Acanthurus,thompsoni,4,
PL_L_WILL_14-2-21_P03.MP4,T6,80.463,Willis_Feb21,Chaetodontidae,Forcipiger,flavissimus,1,
PL_L_WILL_14-2-21_P03.MP4,T6,119.822,Willis_Feb21,Chaetodontidae,Hemitaurichthys,polylepis,8,
PL_L_WILL_14-2-21_P03.MP4,T6,480.486,Willis_Feb21,Serranidae,Variola,louti,1,
