Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
PL_L_WRECK_W_7-2-21_P02.MP4,376,10:13.2,T1,00:12.6,98.274,23.555,16.865,2896.115,25.052,35.915,43.169,-1141.459,448.256,-2623.665,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,4,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,376,10:13.2,T1,00:12.6,183.301,35.622,9.339,3674.269,18.243,19.547,12.281,-1126.54,232.11,-3489.597,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1074,10:36.4,T1,00:35.8,246.487,35.419,24.009,3245.84,34.855,32.633,17.385,-1823.668,-339.43,-2663.549,Wreck_East_07022021,GFG,30-37m,Scaridae,Scarus,dimidiatus,37386013,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1097,10:37.2,T1,00:36.6,74.685,22.356,34.125,2245.121,25.284,62.235,26.415,-598.758,-749.008,-2030.035,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,iomelas
PL_L_WRECK_W_7-2-21_P02.MP4,1542,10:52.1,T1,00:51.5,95.561,12.667,58.61,2647.918,23.908,4.273,60.09,738.903,-778.228,-2420.714,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,1550,10:52.3,T1,00:51.7,85.843,6.121,9.239,1384.801,21.758,33.248,14.358,-176.521,-482.015,-1286.148,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1550,10:52.3,T1,00:51.7,133.807,16.666,7.1,1888.703,17.682,63.354,31.577,-430.318,-379.348,-1799.479,Wreck_East_07022021,GFG,30-37m,Mullidae,Parupeneus,multifasciatus,37355026,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1550,10:52.3,T1,00:51.7,109.655,13.581,16.618,1952.96,16.211,38.915,26.841,-317.153,-443.472,-1875.313,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,nigrofuscus,37437014,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1550,10:52.3,T1,00:51.7,148.261,17.75,11.338,1838.101,20.653,73.2,21.686,-615.961,-202.261,-1719.97,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,striatus,37437022,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1557,10:52.5,T1,00:52.0,203.714,13.767,10.183,2039.753,12.331,33.399,20.594,-113.092,-420.687,-1992.693,Wreck_East_07022021,GFG,30-37m,Labridae,Gomphosus,varius,37384106,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1684,10:56.8,T1,00:56.2,264.938,17.949,30.215,2928.309,10.578,18.383,25.256,-517.371,-145.993,-2878.543,Wreck_East_07022021,GFG,30-37m,Labridae,Halichoeres,hortulanus,37384112,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1690,10:57.0,T1,00:56.4,293.135,46.62,20.092,2764.339,12.807,75.068,1.833,527.796,-311.333,-2695.565,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Acanthurus,pyroferus,37437017,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,1752,10:59.1,T1,00:58.5,118.413,15.84,35.644,2345.761,31.041,21.702,8.557,-1014.249,-659.095,-2009.847,Wreck_East_07022021,GFG,30-37m,Labridae,Thalassoma,hardwicke,37384165,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,2083,11:10.1,T1,01:09.5,150.634,65.445,10.986,3856.706,33.416,87.81,19.34,-2120.533,-119.986,-3219.181,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Forcipiger,flavissimus,37365068,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,2205,11:14.2,T1,01:13.6,124.573,11.491,6.157,2251.21,32.561,8.571,8.105,-875.338,837.709,-1897.36,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,2243,11:15.4,T1,01:14.8,117.616,9.923,3.895,2062.572,30.319,13.345,38.422,-942.521,442.469,-1780.471,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Ctenochaetus,binotatus,37437021,1,AD,Passing,
