"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID"
NA,"Bougainville","BVille_1","T1",111.474,"Pomacanthidae","Pygoplites","diacanthus",1,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",161.821,"Acanthuridae","Acanthurus","thompsoni",2,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",66.511,"Pomacentridae","Chromis","amboinensis",3,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",86.975,"Chaetodontidae","Chaetodon","mertensii",1,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",157.234,"Balistidae","Sufflamen","bursa",8,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",389.222,"Carangidae","Caranx","lugubris",1,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T1",342.005,"Carangidae","Caranx","lugubris",1,NA,"NA_BVille_1_T1"
NA,"Bougainville","BVille_1","T2",136.776,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",71.14,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",196.573,"Balistidae","Sufflamen","bursa",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",122.574,"Acanthuridae","Acanthurus","thompsoni",8,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",172.969,"Acanthuridae","Acanthurus","pyroferus",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",114.25,"Pomacentridae","Acanthochromis","polyacanthus",10,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",122.112,"Serranidae","Pseudanthias","pleurotaenia",8,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",144.875,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",108.213,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",148.773,"Acanthuridae","Acanthurus","thompsoni",5,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",42.772,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",99.888,"Serranidae","Pseudanthias","pleurotaenia",2,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",136.866,"Serranidae","Pseudanthias","pleurotaenia",2,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",2473.678,"Carcharhinidae","Carcharhinus","amblyrhynchos",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",35.325,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",388.748,"Epinephelidae","Epinephelus","fuscoguttatus",1,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T2",102.856,"Pomacentridae","Acanthochromis","polyacanthus",4,NA,"NA_BVille_1_T2"
NA,"Bougainville","BVille_1","T3",103.446,"Chaetodontidae","Forcipiger","flavissimus",2,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",188.393,"Labridae","Gomphosus","varius",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",90.736,"Pomacanthidae","Genicanthus","melanospilos",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",395.665,"Acanthuridae","Naso","vlamingii",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",273.869,"Balistidae","Sufflamen","fraenatum",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",930.661,"Carcharhinidae","Triaenodon","obesus",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",91.994,"Pomacentridae","Acanthochromis","polyacanthus",12,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T3",436.505,"Carangidae","Caranx","melampygus",1,NA,"NA_BVille_1_T3"
NA,"Bougainville","BVille_1","T4",705.666,"Serranidae","Plectropomus","laevis",1,NA,"NA_BVille_1_T4"
NA,"Bougainville","BVille_1","T4",71.662,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T4"
NA,"Bougainville","BVille_1","T4",149.801,"Acanthuridae","Acanthurus","thompsoni",16,NA,"NA_BVille_1_T4"
NA,"Bougainville","BVille_1","T4",185.618,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T4"
NA,"Bougainville","BVille_1","T4",75.794,"Pomacentridae","Acanthochromis","polyacanthus",18,NA,"NA_BVille_1_T4"
NA,"Bougainville","BVille_1","T5",135.339,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",190.341,"Holocentridae","Myripristis","sp",4,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",114.024,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",129.119,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",208.515,"Acanthuridae","Acanthurus","thompsoni",1,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",66.634,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",102.904,"Malacanthidae","Hoplolatilus","starcki",2,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T5",1369.106,"Carcharhinidae","Carcharhinus","albimarginatus",1,NA,"NA_BVille_1_T5"
NA,"Bougainville","BVille_1","T6",129.109,"Serranidae","Pseudanthias","pleurotaenia",5,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",77.376,"Labridae","Labroides","dimidiatus",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",124.816,"Labridae","Oxycheilinus","orientalis",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",144.793,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",68.257,"Pomacentridae","Acanthochromis","polyacanthus",12,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",206.912,"Holocentridae","Myripristis","sp",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",63.173,"Pomacentridae","Chromis","amboinensis",10,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",122.594,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",144.618,"Holocentridae","Myripristis","sp",4,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",88.391,"Holocentridae","Myripristis","vittata",3,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",116.331,"Holocentridae","Myripristis","sp",3,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",252.392,"Lethrinidae","Monotaxis","grandoculis",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T7",103.746,"Chaetodontidae","Forcipiger","flavissimus",2,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",300.061,"Labridae","Oxycheilinus","unifasciatus",1,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",203.712,"Acanthuridae","Acanthurus","thompsoni",3,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",142.578,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",62.646,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",114.976,"Serranidae","Pseudanthias","pleurotaenia",8,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T8",51.64,"Pomacentridae","Chromis","iomelas",6,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",171.102,"Labridae","Oxycheilinus","unifasciatus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",180.3,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",157.056,"Pomacanthidae","Genicanthus","melanospilos",8,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",73.134,"Pomacanthidae","Paracentropyge","multifasciata",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",43.598,"Pomacentridae","Chromis","amboinensis",16,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",65.446,"Pomacentridae","Chromis","iomelas",20,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",65.817,"Pomacentridae","Chromis","alpha",12,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",67.47,"Pomacentridae","Chromis","alpha",12,NA,"NA_BVille_1_T8"
