"T_ID","richness","abundance","shannon","simpson","Survey","Reef","Site","Transect","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity"
"Feb_21_BVille_1_T1",13,72,2.05747935363284,0.831404320987654,"Feb_21","Bougainville","BVille_1","T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T10",18,135,2.17789997331495,0.823593964334705,"Feb_21","Bougainville","BVille_1","T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T11",17,192,1.94230438552238,0.80859375,"Feb_21","Bougainville","BVille_1","T11",2021-02-22,-15.48724,147.09035,47.4,28,"outer_reef","wall",5
"Feb_21_BVille_1_T12",28,221,2.34193973589008,0.835691324911447,"Feb_21","Bougainville","BVille_1","T12",2021-02-22,-15.48724,147.09035,45.5,28.1,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T13",18,153,2.25426225863916,0.852321756589346,"Feb_21","Bougainville","BVille_1","T13",2021-02-22,-15.48724,147.09035,45,28.1,"outer_reef","wall",4
"Feb_21_BVille_1_T14",15,253,2.06660986753185,0.844568732521989,"Feb_21","Bougainville","BVille_1","T14",2021-02-22,-15.48724,147.09035,43.7,28.3,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T15",10,101,1.75382838741218,0.779531418488383,"Feb_21","Bougainville","BVille_1","T15",2021-02-22,-15.48724,147.09035,38.6,28.6,"outer_reef","wall",4
"Feb_21_BVille_1_T16",21,178,2.31734281845357,0.857846231536422,"Feb_21","Bougainville","BVille_1","T16",2021-02-22,-15.48724,147.09035,36.4,28.9,"outer_reef","wall",5
"Feb_21_BVille_1_T17",20,320,1.7623956040168,0.75404296875,"Feb_21","Bougainville","BVille_1","T17",2021-02-22,-15.48724,147.09035,35.1,28.9,"outer_reef","wall",5
"Feb_21_BVille_1_T18",20,118,2.37542376728814,0.866417696064349,"Feb_21","Bougainville","BVille_1","T18",2021-02-22,-15.48724,147.09035,28.5,29.1,"outer_reef","wall",4
"Feb_21_BVille_1_T19",16,77,2.22494405519617,0.835216731320627,"Feb_21","Bougainville","BVille_1","T19",2021-02-22,-15.48724,147.09035,22.3,29.2,"outer_reef","wall",3
"Feb_21_BVille_1_T2",19,134,2.13243938238187,0.826910224994431,"Feb_21","Bougainville","BVille_1","T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5
"Feb_21_BVille_1_T3",18,83,2.21390988887283,0.833502685440557,"Feb_21","Bougainville","BVille_1","T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5
"Feb_21_BVille_1_T4",18,224,1.9729480484669,0.789421237244898,"Feb_21","Bougainville","BVille_1","T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5
"Feb_21_BVille_1_T5",16,133,1.97934208752644,0.78625134264232,"Feb_21","Bougainville","BVille_1","T5",2021-02-22,-15.48724,147.09035,67.3,27.8,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T6",20,114,2.30160603520682,0.856571252693136,"Feb_21","Bougainville","BVille_1","T6",2021-02-22,-15.48724,147.09035,58.1,27.9,"outer_reef","steep_slope",4
"Feb_21_BVille_1_T7",22,151,2.36200914965431,0.86654094118679,"Feb_21","Bougainville","BVille_1","T7",2021-02-22,-15.48724,147.09035,57.8,28,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T8",20,279,1.92989888699683,0.78226127619121,"Feb_21","Bougainville","BVille_1","T8",2021-02-22,-15.48724,147.09035,57.2,28,"outer_reef","steep_slope",5
"Feb_21_BVille_1_T9",18,163,2.220899514145,0.834732206707065,"Feb_21","Bougainville","BVille_1","T9",2021-02-22,-15.48724,147.09035,57.4,28,"outer_reef","steep_slope",5
"Feb_21_Chilcott_1_T1",1,1,0,0,"Feb_21","Chillcot","Chilcott_1","T1",2021-02-13,-16.92334,149.99654,36.5,28.3,"lagoon","flat",1
"Feb_21_Flinders_N1_T1",1,2,0,0,"Feb_21","Flinders","Flinders_N1","T1",2021-02-18,-17.86224,148.54848,42.1,29.3,"lagoon","flat",0
"Feb_21_Flinders_N1_T2",4,48,0.87082047855265,0.488715277777778,"Feb_21","Flinders","Flinders_N1","T2",2021-02-18,-17.86224,148.54848,40.2,29.2,"lagoon","flat",1
"Feb_21_Flinders_N1_T3",10,366,0.612414210964835,0.305413717937233,"Feb_21","Flinders","Flinders_N1","T3",2021-02-18,-17.86224,148.54848,40,29.2,"lagoon","flat",0
"Feb_21_Flinders_N1_T4",10,115,1.40104091586627,0.623062381852552,"Feb_21","Flinders","Flinders_N1","T4",2021-02-18,-17.86224,148.54848,40,29.2,"lagoon","flat",0
"Feb_21_Flinders_N1_T5",8,29,1.4972604821066,0.699167657550535,"Feb_21","Flinders","Flinders_N1","T5",2021-02-18,-17.86224,148.54848,41.5,29.2,"lagoon","flat",0
"Feb_21_Flinders_N1_T6",15,48,2.25679912128744,0.854166666666667,"Feb_21","Flinders","Flinders_N1","T6",2021-02-18,-17.86224,148.54848,43.3,29.2,"lagoon","flat",0
"Feb_21_Flinders_N1_T7",10,17,2.15006022448424,0.865051903114187,"Feb_21","Flinders","Flinders_N1","T7",2021-02-18,-17.86224,148.54848,44,29.1,"lagoon","flat",1
"Feb_21_Flinders_S1_T1",23,45,2.76271448366678,0.897777777777778,"Feb_21","Flinders","Flinders_S1","T1",2021-02-16,-17.86224,148.46677,35.6,29.2,"outer_reef","steep_slope",4
"Feb_21_Flinders_S1_T2",18,53,2.3337755536684,0.848700605197579,"Feb_21","Flinders","Flinders_S1","T2",2021-02-16,-17.86224,148.46677,37.1,29.2,"outer_reef","wall",4
"Feb_21_Flinders_S1_T3",9,26,2.00191615383926,0.846153846153846,"Feb_21","Flinders","Flinders_S1","T3",2021-02-16,-17.86224,148.46677,42.1,29.2,"outer_reef","wall",3
"Feb_21_Flinders_S1_T4",13,42,1.91864681001266,0.755102040816326,"Feb_21","Flinders","Flinders_S1","T4",2021-02-16,-17.86224,148.46677,35.2,29.3,"outer_reef","wall",3
"Feb_21_Flinders_S1_T5",4,21,0.846144796722818,0.448979591836735,"Feb_21","Flinders","Flinders_S1","T5",2021-02-16,-17.86224,148.46677,45.4,29.2,"outer_reef","wall",3
"Feb_21_Flinders_S1_T6",14,40,1.83482245751904,0.7,"Feb_21","Flinders","Flinders_S1","T6",2021-02-16,-17.86224,148.46677,34.3,29.2,"outer_reef","steep_slope",3
"Feb_21_Flinders_S1_T7",5,51,0.776909340692663,0.388312187620146,"Feb_21","Flinders","Flinders_S1","T7",2021-02-16,-17.86224,148.46677,45.2,29.2,"outer_reef","wall",4
"Feb_21_Fred_W1_T1",17,118,1.97467933453357,0.791582878483195,"Feb_21","Frederick","Fred_W1","T1",2021-02-09,-21.01225,154.34671,34.8,28,"slope_terrace","gentle_slope",1
"Feb_21_Fred_W1_T2",2,5,0.500402423538188,0.32,"Feb_21","Frederick","Fred_W1","T2",2021-02-09,-21.01225,154.34671,40,27.5,"slope_terrace","flat",1
