"Survey","Reef","Site","Transect","Length_mm","Number","Comment","T_ID"
"Feb_21","Bougainville","BVille_1","T6",1267.813,1,"large montipora plate","Feb_21_BVille_1_T6"
"Feb_21","Bougainville","BVille_1","T6",552.013,1,"coral measuring example","Feb_21_BVille_1_T6"
"Feb_21","Bougainville","BVille_1","T1",NA,1,"fishing_line","Feb_21_BVille_1_T1"
"Feb_21","Bougainville","BVille_1","T1",NA,1,"fishing_line","Feb_21_BVille_1_T1"
"Feb_21","Bougainville","BVille_1","T2",NA,1,"fishing_line","Feb_21_BVille_1_T2"
"Feb_21","Bougainville","BVille_1","T2",NA,1,"fishing_line","Feb_21_BVille_1_T2"
"Feb_21","Bougainville","BVille_1","T2",NA,1,"fishing_line","Feb_21_BVille_1_T2"
"Feb_21","Bougainville","BVille_1",NA,NA,1,"iomelas_deep_observation","Feb_21_BVille_1_NA"
"Feb_21","Bougainville","BVille_1",NA,NA,1,"27.1_temp_at_80.5m","Feb_21_BVille_1_NA"
"Feb_21","Bougainville","BVille_1","T7",NA,1,"fishing_line","Feb_21_BVille_1_T7"
"Feb_21","Bougainville","BVille_1","T7",NA,1,"fishing_line","Feb_21_BVille_1_T7"
"Feb_21","Bougainville","BVille_1","T8",NA,1,"fishing_line","Feb_21_BVille_1_T8"
"Feb_21","Bougainville","BVille_1","T11",NA,1,"fishing_line","Feb_21_BVille_1_T11"
"Feb_21","Bougainville","BVille_1","T12",NA,1,"fishing_line","Feb_21_BVille_1_T12"
"Feb_21","Bougainville","BVille_1","T12",NA,1,"fishing_line","Feb_21_BVille_1_T12"
"Feb_21","Bougainville","BVille_1","T12",NA,1,"fishing_line","Feb_21_BVille_1_T12"
"Feb_21","Bougainville","BVille_1","T12",NA,1,"fishing_line","Feb_21_BVille_1_T12"
"Feb_21","Bougainville","BVille_1","T13",NA,1,"fishing_line","Feb_21_BVille_1_T13"
"Feb_21","Bougainville","BVille_1","T14",NA,1,"fishing_line","Feb_21_BVille_1_T14"
"Feb_21","Bougainville","BVille_1","T15",NA,1,"fishing_line","Feb_21_BVille_1_T15"
"Feb_21","Bougainville","BVille_1","T15",NA,1,"fishing_line","Feb_21_BVille_1_T15"
"Feb_21","Bougainville","BVille_1","T16",NA,1,"fishing_line","Feb_21_BVille_1_T16"
"Feb_21","Bougainville","BVille_1","T18",NA,1,"fishing_line","Feb_21_BVille_1_T18"
"Feb_21","Flinders","Flinders_S1","T3",NA,1,"fishing_line","Feb_21_Flinders_S1_T3"
"Feb_21","Frederick","Fred_W1","T1",NA,1,"Fishing Line","Feb_21_Fred_W1_T1"
"Feb_21","Frederick","Fred_W1","T1",NA,1,"Fishing line","Feb_21_Fred_W1_T1"
"Feb_21","Frederick","Fred_W1","T2",NA,1,"Fishing Line","Feb_21_Fred_W1_T2"
"Feb_21","Holmes","Holmes_2","T2",2904.488,1,"huge gorgonian","Feb_21_Holmes_2_T2"
"Feb_21","Lihou","Lihou_S1","T8",NA,1,"stingray","Feb_21_Lihou_S1_T8"
"Feb_21","Marion","Marion_1","T6",NA,1,"fishing_line","Feb_21_Marion_1_T6"
"Feb_21","Osprey","Osp_N1","T3",NA,1,"fishing_line","Feb_21_Osp_N1_T3"
"Feb_21","Osprey","Osp_N1","T8",NA,1,"fishing_line","Feb_21_Osp_N1_T8"
"Feb_21","Osprey","Osp_N1","T8",NA,1,"fishing_line","Feb_21_Osp_N1_T8"
"Feb_21","Osprey","Osp_N1","T10",NA,1,"fishing_line","Feb_21_Osp_N1_T10"
"Feb_21","Osprey","Osp_N1","T10",NA,1,"fishing_line","Feb_21_Osp_N1_T10"
"Feb_21","Osprey","Osp_N1","T11",NA,1,"fishing_line","Feb_21_Osp_N1_T11"
"Feb_21","Saumarez","Saumarez_S1","T6",NA,1,"goby","Feb_21_Saumarez_S1_T6"
"Feb_21","Willis","Willis_N1","T11",878.402,1,"green turtle","Feb_21_Willis_N1_T11"
"Feb_21","Willis","Willis_N1","T9",NA,1,"trash","Feb_21_Willis_N1_T9"
"Feb_21","Willis","Willis_N1","T12",NA,1,"bleached acropora","Feb_21_Willis_N1_T12"
