"Survey","Reef","Site","Drop","Frame","Depth","Comment","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity","Biomass Constant A","Biomass Constant B","Biomass Constant C","Max Length (cm)","Max Length Type","Trophic Level","Vulnerability","Regions","Climate Score","Trophic Group","Functional Group","Group Size","Family","Functional Group.X"
"Oct_21","Ashmore","Ashmore_1","D1",46,38,NA,"Balistoides","viridescens",37465048,1,"Balistoides viridescens","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.02442,3.01828,1,75,"total length",3.33,54.36,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary","Balistidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D1",56331,38,NA,"Carangoides","ferdau",37337068,2,"Carangoides ferdau","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D1",43574,38,NA,"Scomberoides","lysan",37337046,1,"Scomberoides lysan","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.022946,2.792038,1,110,"total length",4.04,39.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D1",44097,38,NA,"Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D1",33191,38,NA,"Chaetodon","auriga",37365019,2,"Chaetodon auriga","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.037129,2.873369,1,23,"total length",3.13,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","micro-invertivore","pair","Chaetodontidae","Omnivore"
"Oct_21","Ashmore","Ashmore_1","D1",3888,38,"kuhlii","Neotrygon","kuhlii",NA,1,"Neotrygon kuhlii","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.0295,3.01,1,70,"total length",3.73,52.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Dasyatidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D1",45472,38,NA,"Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.017807,3.018029,1,229,"standard length",3.99,73.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary","Labridae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D1",32338,38,NA,"Lethrinus","nebulosus",37351008,1,"Lethrinus nebulosus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.027592,2.927248,1,87,"total length",3.64,47.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","medium group","Lethrinidae","Carnivore"
"Oct_21","Ashmore","Ashmore_1","D1",15920,38,NA,"Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.013464,3.055209,1,90,"total length",4.27,68.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Lutjanidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D1",27739,38,NA,"Plectropomus","leopardus",37311078,1,"Plectropomus leopardus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA,"Serranidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D1",39934,38,NA,"Sphyraena","barracuda",37382008,1,"Sphyraena barracuda","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.020464,2.890473,1,200,"total length",4.5,78.57,"Central Indo-Pacific,Eastern Indo-Pacific,Tropical Atlantic,Tropical Eastern Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","solitary","Sphyraenidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",58054,42,NA,"Carangoides","fulvoguttatus",37337037,1,"Carangoides fulvoguttatus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.02885,2.768673,1,120,"fork length",4.02,64.86,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",35620,42,NA,"Caranx","ignobilis",37337027,1,"Caranx ignobilis","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.012104,2.993242,1,170,"total length",4.48,82.12,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","solitary","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",41274,42,NA,"Gnathanodon","speciosus",37337012,1,"Gnathanodon speciosus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.016908,2.926345,1,120,"total length",3.84,37.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",40786,42,NA,"Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.00437,3.1,1,300,"total length",4.48,75.92,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore","small group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",40580,42,NA,"Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D3",24298,42,"euanus","Gymnocranius","euanus",NA,1,"Gymnocranius euanus","Oct_21_Ashmore_1_D3","1/11/2021",10.36772,144.51993,"lagoon",NA,NA,0.019829,2.926623,1,45,"total length",3.8,40.48,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Lethrinidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",53811,28,NA,"Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Balistidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",38950,28,NA,"Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carcharhinidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,NA,"Chaetodon","kleinii",37365040,1,"Chaetodon kleinii","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.0449,3.036,0.827,15,"total length",3.18,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","corallivore","pair","Chaetodontidae","Corallivore"
"Oct_21","Ashmore","Ashmore_1","D4",23236,28,NA,"Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.017807,3.018029,1,229,"standard length",3.99,73.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary","Labridae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",1372,28,NA,"Lethrinus","semicinctus",37351016,5,"Lethrinus semicinctus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009019,3.094426,1,35,"total length",4.01,24.58,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group","Lethrinidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",43099,28,NA,"Lutjanus","rivulatus",37346016,1,"Lutjanus rivulatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.00768,3.26016,1,80,"total length",4.13,42.02,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","solitary","Lutjanidae","Carnivore"
"Oct_21","Ashmore","Ashmore_1","D4",34689,28,NA,"Parupeneus","heptacanthus",37355004,4,"Parupeneus heptacanthus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009705,3.113888,1,36,"total length",3.86,38,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","small group","Mullidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",18711,28,NA,"Parupeneus","pleurostigma",37355027,4,"Parupeneus pleurostigma","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01202,3.09,1,33,"total length",3.4,30.4,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","small group","Mullidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D4",19232,28,"flavipinnis","Chrysiptera","flavipinnis",NA,1,"Chrysiptera flavipinnis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01479,2.98,1,8,"total length",2.68,16.21,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","planktivore","small group","Pomacentridae","Omnivore"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,"amboinensis","Pomacentrus","amboinensis",NA,3,"Pomacentrus amboinensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.080305,2.583765,0.944,9,"total length",2.69,18.89,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group","Pomacentridae","Omnivore"
"Oct_21","Ashmore","Ashmore_1","D4",19072,28,NA,"Pomacentrus","nagasakiensis",37372119,2,"Pomacentrus nagasakiensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.01479,2.98,1,11,"total length",2.74,22.69,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","small group","Pomacentridae","Planktivore"
"Oct_21","Ashmore","Ashmore_1","D4",19232,28,NA,"Pomacentrus","pavo",37372122,5,"Pomacentrus pavo","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.030728,2.875203,0.944,8.5,"standard length",3.02,22.08,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"planktivore","planktivore","medium group","Pomacentridae","Planktivore"
"Oct_21","Ashmore","Ashmore_1","D4",38950,28,NA,"Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA,"Serranidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D5",52016,32,NA,"Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.0257,2.94,1,60,"total length",2.78,29.47,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA,"Balistidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D5",40045,32,NA,"Carangoides","ferdau",37337068,1,"Carangoides ferdau","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Carangidae","Piscivore"
"Oct_21","Ashmore","Ashmore_1","D5",26394,32,NA,"Gymnocranius","grandoculis",37351005,1,"Gymnocranius grandoculis","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.026616,2.878493,1,80,"total length",3.98,41.78,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group","Lethrinidae","Benthic invertivore"
"Oct_21","Ashmore","Ashmore_1","D5",34961,32,NA,"Lethrinus","olivaceus",37351004,1,"Lethrinus olivaceus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.025937,2.829751,1,100,"total length",4.2,39.66,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","large group","Lethrinidae","Carnivore"
"Oct_21","Ashmore","Ashmore_1","D5",32869,32,NA,"Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA,0.013464,3.055209,1,90,"total length",4.27,68.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group","Lutjanidae","Piscivore"
"Oct_21","Ashmore","Ashmore_2","D10",41409,27,NA,"Acanthurus","blochii",37437007,3,"Acanthurus blochii","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA,0.014365,3.073704,1,45,"standard length",2,38.32,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"herbivore-detritivore","cropper/grazer","small group","Acanthuridae","Grazer"
