"Survey","Reef","Site","Drop","Frame","Depth","Comment","Family","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity","Biomass Constant A","Biomass Constant B","Biomass Constant C","Max Length (cm)","Max Length Type","Trophic Level","Vulnerability","Regions","Climate Score","Trophic Group","Functional Group","Group Size"
"Oct_21","Ashmore","Ashmore_1","D1",46,38,NA,"Balistidae","Balistoides","viridescens",37465048,1,"Balistoides viridescens","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.02442,3.01828,1,75,"total length",3.33,54.36,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D1",56331,38,NA,"Carangidae","Carangoides","ferdau",37337068,2,"Carangoides ferdau","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.025497,2.83241,1,70,"total length",3.98,43.95,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D1",43574,38,NA,"Carangidae","Scomberoides","lysan",37337046,1,"Scomberoides lysan","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.022946,2.792038,1,110,"total length",4.04,39.51,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","small group"
"Oct_21","Ashmore","Ashmore_1","D1",44097,38,NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.005055,3.21133,1,255,"total length",4.5,84.96,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D1",33191,38,NA,"Chaetodontidae","Chaetodon","auriga",37365019,2,"Chaetodon auriga","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.037129,2.873369,1,23,"total length",3.13,11.53,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"omnivore","micro-invertivore","pair"
"Oct_21","Ashmore","Ashmore_1","D1",3888,38,"kuhlii","Dasyatidae","Neotrygon","kuhlii",NA,1,"Neotrygon kuhlii","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.0295,3.01,1,70,"total length",3.73,52.49,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore",NA
"Oct_21","Ashmore","Ashmore_1","D1",45472,38,NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.017807,3.018029,1,229,"standard length",3.99,73.88,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","solitary"
"Oct_21","Ashmore","Ashmore_1","D1",32338,38,NA,"Lethrinidae","Lethrinus","nebulosus",37351008,1,"Lethrinus nebulosus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.027592,2.927248,1,87,"total length",3.64,47.17,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"invertivore-mobile","macro-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D1",15920,38,NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.013464,3.055209,1,90,"total length",4.27,68.83,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","pisci-invertivore","medium group"
"Oct_21","Ashmore","Ashmore_1","D1",27739,38,NA,"Serranidae","Plectropomus","leopardus",37311078,1,"Plectropomus leopardus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA,0.009115,3.105091,1,120,"standard length",4.41,51.04,"Central Indo-Pacific,Eastern Indo-Pacific,Western Indo-Pacific",NA,"piscivore","piscivore",NA
