"Survey","Reef","Site","Drop","Frame","Depth","Comment","Family","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity"
"Oct_21","Ashmore","Ashmore_1","D1",46,"38",NA,"Balistidae","Balistoides","viridescens",37465048,1,"Balistoides viridescens","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",56331,"38",NA,"Carangidae","Carangoides","ferdau",37337068,2,"Carangoides ferdau","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",43574,"38",NA,"Carangidae","Scomberoides","lysan",37337046,1,"Scomberoides lysan","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",44097,"38",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",33191,"38",NA,"Chaetodontidae","Chaetodon","auriga",37365019,2,"Chaetodon auriga","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",3888,"38","kuhlii","Dasyatidae","Neotrygon","kuhlii",NA,1,"Neotrygon kuhlii","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",45472,"38",NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",32338,"38",NA,"Lethrinidae","Lethrinus","nebulosus",37351008,1,"Lethrinus nebulosus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",15920,"38",NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",27739,"38",NA,"Serranidae","Plectropomus","leopardus",37311078,1,"Plectropomus leopardus","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D1",39934,"38",NA,"Sphyraenidae","Sphyraena","barracuda",37382008,1,"Sphyraena barracuda","Oct_21_Ashmore_1_D1","1/11/2021",10.37422,144.51848,"lagoon",NA,NA
