"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Species_name","Biomass Constant A","Biomass Constant B","Max Length (cm)","Trophic Group","Trophic Level"
"Feb_21","Bougainville","BVille_1","T1",111.474,"Pomacanthidae","Pygoplites","diacanthus",1,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Pygoplites diacanthus",0.0302,2.89,25,"invertivore-sessile",2.69
"Feb_21","Bougainville","BVille_1","T1",161.821,"Acanthuridae","Acanthurus","thompsoni",2,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64
"Feb_21","Bougainville","BVille_1","T1",66.511,"Pomacentridae","Chromis","amboinensis",3,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74
"Feb_21","Bougainville","BVille_1","T1",86.975,"Chaetodontidae","Chaetodon","mertensii",1,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chaetodon mertensii",0.004261,3.800466,12.5,"invertivore-mobile",2.95
"Feb_21","Bougainville","BVille_1","T1",157.234,"Balistidae","Sufflamen","bursa",8,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9
"Feb_21","Bougainville","BVille_1","T1",389.222,"Carangidae","Caranx","lugubris",1,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4
"Feb_21","Bougainville","BVille_1","T1",342.005,"Carangidae","Caranx","lugubris",1,NA,"Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4
"Feb_21","Bougainville","BVille_1","T2",136.776,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4
"Feb_21","Bougainville","BVille_1","T2",71.14,"Pomacentridae","Chromis","amboinensis",8,NA,"Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74
"Feb_21","Bougainville","BVille_1","T2",196.573,"Balistidae","Sufflamen","bursa",1,NA,"Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9
