"Survey","Reef","Site","Transect","Length_mm","Genus","Species","Number","Comment","Video","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Species_name","Biomass Constant A","Biomass Constant B","Max Length (cm)","Trophic Group","Trophic Level","Family","Functional Group"
"Feb_21","Bougainville","BVille_1","T1",111.474,"Pygoplites","diacanthus",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Pygoplites diacanthus",0.0302,2.89,25,"invertivore-sessile",2.69,"Pomacanthidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T1",161.821,"Acanthurus","thompsoni",2,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T1",66.511,"Chromis","amboinensis",3,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T1",86.975,"Chaetodon","mertensii",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Chaetodon mertensii",0.004261,3.800466,12.5,"invertivore-mobile",2.95,"Chaetodontidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T1",157.234,"Sufflamen","bursa",8,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9,"Balistidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T1",389.222,"Caranx","lugubris",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4,"Carangidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T1",342.005,"Caranx","lugubris",1,NA,"Stereo","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"Caranx lugubris",0.01449,2.90695,100,"piscivore",4,"Carangidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T2",136.776,"Pseudanthias","pleurotaenia",6,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",71.14,"Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",196.573,"Sufflamen","bursa",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Sufflamen bursa",0.0257,2.94,25,"invertivore-mobile",2.9,"Balistidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T2",122.574,"Acanthurus","thompsoni",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",172.969,"Acanthurus","pyroferus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus pyroferus",0.02291,2.96,29,"herbivore-detritivore",2,"Acanthuridae","Grazer"
"Feb_21","Bougainville","BVille_1","T2",114.25,"Acanthochromis","polyacanthus",10,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",122.112,"Pseudanthias","pleurotaenia",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",144.875,"Cephalopholis","leopardus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Cephalopholis leopardus",0.01259,3.05,24,"piscivore",4.01,"Serranidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T2",108.213,"Forcipiger","flavissimus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T2",148.773,"Acanthurus","thompsoni",5,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",42.772,"Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",99.888,"Pseudanthias","pleurotaenia",2,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",136.866,"Pseudanthias","pleurotaenia",2,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Pseudanthias pleurotaenia",0.00933,2.97,20,"planktivore",3.4,"Serranidae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",2473.678,"Carcharhinus","amblyrhynchos",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Carcharhinus amblyrhynchos",0.005055,3.21133,255,"piscivore",4.5,"Carcharhinidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T2",35.325,"Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T2",388.748,"Epinephelus","fuscoguttatus",1,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Epinephelus fuscoguttatus",0.0143,3.034687,120,"piscivore",4.14,"Serranidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T2",102.856,"Acanthochromis","polyacanthus",4,NA,"Stereo","Feb_21_BVille_1_T2",2021-02-22,-15.48724,147.09035,66.7,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T3",103.446,"Forcipiger","flavissimus",2,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Forcipiger flavissimus",0.02188,3.02,22,"invertivore-mobile",3.38,"Chaetodontidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T3",188.393,"Gomphosus","varius",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Gomphosus varius",0.01838,2.70269,30,"invertivore-mobile",3.68,"Labridae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T3",90.736,"Genicanthus","melanospilos",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Genicanthus melanospilos",0.0302,2.89,18,"planktivore",3.4,"Pomacanthidae","Omnivore"
"Feb_21","Bougainville","BVille_1","T3",395.665,"Naso","vlamingii",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Naso vlamingii",0.03104,2.843,60,"planktivore",2.16,"Acanthuridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T3",273.869,"Sufflamen","fraenatum",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Sufflamen fraenatum",0.02972,2.957254,38,"invertivore-mobile",3.7,"Balistidae","Benthic invertivore"
"Feb_21","Bougainville","BVille_1","T3",930.661,"Triaenodon","obesus",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Triaenodon obesus",0.001171,3.361543,213,"piscivore",4.36,"Carcharhinidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T3",91.994,"Acanthochromis","polyacanthus",12,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Acanthochromis polyacanthus",0.0429,3.045,14,"omnivore",2.69,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T3",436.505,"Caranx","melampygus",1,NA,"Stereo","Feb_21_BVille_1_T3",2021-02-22,-15.48724,147.09035,66.3,27.5,"outer_reef","wall",5,"Caranx melampygus",0.017067,2.943245,117,"piscivore",4.28,"Carangidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T4",705.666,"Plectropomus","laevis",1,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Plectropomus laevis",0.00523,3.23774,125,"piscivore",4.14,"Serranidae","Piscivore"
"Feb_21","Bougainville","BVille_1","T4",71.662,"Chromis","amboinensis",8,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Chromis amboinensis",0.01778,2.99,10,"omnivore",2.74,"Pomacentridae","Planktivore"
"Feb_21","Bougainville","BVille_1","T4",149.801,"Acanthurus","thompsoni",16,NA,"Stereo","Feb_21_BVille_1_T4",2021-02-22,-15.48724,147.09035,67.8,27.5,"outer_reef","wall",5,"Acanthurus thompsoni",0.01698,2.99,27,"planktivore",3.64,"Acanthuridae","Planktivore"
