"Survey","Reef","Site","Transect","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Trophic Group","Total_Biomass_g"
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"invertivore-mobile",693.274342157577
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"invertivore-sessile",32.0877011321772
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"omnivore",16.2654647285896
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"piscivore",1089.11464954756
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,"planktivore",140.486933328988
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,"herbivore-detritivore",0.323417880514203
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,"invertivore-mobile",66.6138986575068
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,"omnivore",427.082415177337
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,"piscivore",133.81849113736
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,"planktivore",1786.68468386156
"Feb_21","Bougainville","BVille_1","T11","Feb_21_BVille_1_T11",2021-02-22,-15.48724,147.09035,47.4,28,"outer_reef","wall",5,"invertivore-mobile",151.408923625486
"Feb_21","Bougainville","BVille_1","T11","Feb_21_BVille_1_T11",2021-02-22,-15.48724,147.09035,47.4,28,"outer_reef","wall",5,"invertivore-sessile",24.3736874587447
"Feb_21","Bougainville","BVille_1","T11","Feb_21_BVille_1_T11",2021-02-22,-15.48724,147.09035,47.4,28,"outer_reef","wall",5,"omnivore",164.884769231585
