"Species_name","Depth","DepthRangeDeep","Reef","Site","Method","Trophic Group","Functional Group","depth_increase"
"Chromis margaritifer",94.1,20,"Osprey","Osp_N1","ROV","omnivore","Planktivore",74.1
"Chaetodon plebeius",67.8,10,"Bougainville","BVille_1","ROV","invertivore-sessile","Corallivore",57.8
"Lethrinus miniatus",85,30,"Holmes","Holmes_1","BRUV","piscivore","Piscivore",55
"Labroides dimidiatus",94.1,40,"Osprey","Osp_N1","ROV","invertivore-mobile","Benthic invertivore",54.1
"Neoniphon opercularis",79,25,"Lihou","EdnaCay_1","ROV","invertivore-mobile","Benthic invertivore",54
"Genicanthus melanospilos",97.2,45,"Osprey","Osp_N1","ROV","planktivore","Omnivore",52.2
"Gymnocranius euanus",98,50,"Lihou","JulCay_1","ROV","invertivore-mobile","Benthic invertivore",48
"Scarus niger",67.8,20,"Bougainville","BVille_1","ROV","herbivore-detritivore","Scraper",47.8
"Pentapodus aureofasciatus",79,35,"Lihou","EdnaCay_1","ROV","invertivore-mobile","Carnivore",44
"Acanthurus albipectoralis",63,20,"Lihou","EdnaCay_1","ROV","planktivore","Grazer",43
"Chrysiptera flavipinnis",80.6,38,"Osprey","Osp_N1","ROV","omnivore","Omnivore",42.6
"Ostracion meleagris",71.6,30,"Osprey","Osp_N1","ROV","omnivore","Benthic invertivore",41.6
"Cephalopholis leopardus",80.6,40,"Osprey","Osp_N1","ROV","piscivore","Piscivore",40.6
"Choerodon jordani",70,30,"Lihou","JulCay_1","ROV","invertivore-mobile","Carnivore",40
"Neoniphon sammara",86,46,"Lihou","EdnaCay_1","ROV","piscivore","Benthic invertivore",40
"Chromis agilis",87.6,48,"Osprey","Osp_N1","ROV","omnivore","Planktivore",39.6
"Thalassoma lunare",58.1,20,"Bougainville","BVille_1","ROV","invertivore-mobile","Carnivore",38.1
"Chaetodon pelewensis",67.3,30,"Bougainville","BVille_1","ROV","invertivore-mobile","Corallivore",37.3
"Anampses geographicus",62,25,"Willis","Willis_1","BRUV","invertivore-mobile","Benthic invertivore",37
"Scarus chameleon",66.7,30,"Bougainville","BVille_1","ROV","herbivore-detritivore","Scraper",36.7
"Hologymnosus longipes",65,30,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",35
"Naso lopezi",85,50,"Holmes","Holmes_1","BRUV","planktivore","Planktivore",35
"Naso vlamingii",85,50,"Holmes","Holmes_1","BRUV","planktivore","Planktivore",35
"Oxycheilinus nigromarginatus",62,27,"Willis","Willis_1","BRUV","invertivore-mobile","Carnivore",35
"Pomacentrus moluccensis",48.9,14,"Lihou","Lihou_S1","ROV","planktivore","Omnivore",34.9
"Chromis iomelas",67.8,35,"Bougainville","BVille_1","ROV","planktivore","Planktivore",32.8
"Gomphosus varius",67.8,35,"Bougainville","BVille_1","ROV","invertivore-mobile","Benthic invertivore",32.8
"Siganus woodlandi",47,15,"Flinders","Flinders_S1","BRUV","herbivore-detritivore","Grazer",32
"Acanthurus blochii",46.4,15,"Lihou","Lihou_S1","ROV","herbivore-detritivore","Grazer",31.4
"Balistoides viridescens",81,50,"Herald","Herald_1","BRUV","invertivore-mobile","Benthic invertivore",31
"Malacanthus brevirostris",81,50,"Herald","Herald_1","BRUV","invertivore-mobile","Benthic invertivore",31
"Odonus niger",71,40,"Herald","Herald_1","BRUV","planktivore","Planktivore",31
"Pseudobalistes flavimarginatus",81,50,"Herald","Herald_1","BRUV","invertivore-mobile","Benthic invertivore",31
"Pseudobalistes fuscus",81,50,"Herald","Herald_1","BRUV","invertivore-mobile","Benthic invertivore",31
"Rhinecanthus rectangulus",50.1,20,"Lihou","Lihou_N1","ROV","invertivore-mobile","Benthic invertivore",30.1
"Sufflamen chrysopterum",60.1,30,"Willis","Willis_N1","ROV","invertivore-mobile","Benthic invertivore",30.1
"Ctenochaetus striatus",65,35,"Wreck","Wreck_W1","BRUV","omnivore","Grazer",30
"Hologymnosus doliatus",65,35,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",30
