"Survey","Reef","Site","Transect","T_ID","Date","Lat","Long","Depth","Temperature","Habitat","Aspect","Benthic_Complexity","Total_Biomass_g"
"Feb_21","Bougainville","BVille_1","T1","Feb_21_BVille_1_T1",2021-02-22,-15.48724,147.09035,65,27.5,"outer_reef","steep_slope",5,205142.47589395
"Feb_21","Bougainville","BVille_1","T10","Feb_21_BVille_1_T10",2021-02-22,-15.48724,147.09035,54.7,28,"outer_reef","steep_slope",5,2414.52290671428
"Feb_21","Bougainville","BVille_1","T11","Feb_21_BVille_1_T11",2021-02-22,-15.48724,147.09035,47.4,28,"outer_reef","wall",5,3845.16428090239
"Feb_21","Bougainville","BVille_1","T12","Feb_21_BVille_1_T12",2021-02-22,-15.48724,147.09035,45.5,28.1,"outer_reef","steep_slope",5,17085.0830971248
"Feb_21","Bougainville","BVille_1","T13","Feb_21_BVille_1_T13",2021-02-22,-15.48724,147.09035,45,28.1,"outer_reef","wall",4,2599.53396749384
"Feb_21","Bougainville","BVille_1","T14","Feb_21_BVille_1_T14",2021-02-22,-15.48724,147.09035,43.7,28.3,"outer_reef","steep_slope",5,12185.0575517123
"Feb_21","Bougainville","BVille_1","T15","Feb_21_BVille_1_T15",2021-02-22,-15.48724,147.09035,38.6,28.6,"outer_reef","wall",4,615.371779549022
"Feb_21","Bougainville","BVille_1","T16","Feb_21_BVille_1_T16",2021-02-22,-15.48724,147.09035,36.4,28.9,"outer_reef","wall",5,6175.89316086495
"Feb_21","Bougainville","BVille_1","T17","Feb_21_BVille_1_T17",2021-02-22,-15.48724,147.09035,35.1,28.9,"outer_reef","wall",5,10756.1158430309
"Feb_21","Bougainville","BVille_1","T18","Feb_21_BVille_1_T18",2021-02-22,-15.48724,147.09035,28.5,29.1,"outer_reef","wall",4,6921.98424969421
"Feb_21","Bougainville","BVille_1","T19","Feb_21_BVille_1_T19",2021-02-22,-15.48724,147.09035,22.3,29.2,"outer_reef","wall",3,4741.14239589951
