"Family.x","Species_name"
"Pomacanthidae","Genicanthus melanospilos"
"Balistidae","Sufflamen fraenatum"
"Malacanthidae","Hoplolatilus starcki"
"Holocentridae","Myripristis vittata"
"Pomacanthidae","Genicanthus watanabei"
"Pomacanthidae","Centropyge bispinosa"
"Pomacentridae","Chrysiptera starcki"
"Synodontidae","Saurida gracilis"
"Holocentridae","Sargocentron spiniferum"
"Monacanthidae","Cantherhines dumerilii"
"Gobiidae","Nemateleotris magnifica"
"Carangidae","Gnathanodon speciosus"
"Labridae","Oxycheilinus celebicus"
"Holocentridae","Myripristis kuntee"
"Monacanthidae","Aluterus scriptus"
"Pomacanthidae","Centropyge flavissima"
"Acanthuridae","Acanthurus auranticavus"
"Carangidae","Seriola dumerili"
"Labridae","Choerodon jordani"
"Acanthuridae","Zebrasoma velifer"
"Balistidae","Sufflamen chrysopterum"
"Malacanthidae","Malacanthus latovittatus"
"Lethrinidae","Gymnocranius grandoculis"
"Microdesmidae","Ptereleotris evides"
"Pomacentridae","Pomacentrus nigromarginatus"
"Acanthuridae","Acanthurus nubilus"
"Serranidae","Pseudanthias rubrizonatus"
"Pomacanthidae","Genicanthus bellus"
"Pomacentridae","Chromis analis"
"Diodontidae","Chilomycterus reticulatus"
"Labridae","Coris pictoides"
"Echeneidae","Echeneis naucrates"
"Tetraodontidae","Arothron mappa"
"Tetraodontidae","Arothron caeruleopunctatus"
"Aulostomidae","Aulostomus chinensis"
"Serranidae","Pseudanthias ventralis"
"Holocentridae","Sargocentron diadema"
"Carangidae","Pseudocaranx dentex"
"Lethrinidae","Gymnocranius superciliosus"
"Balistidae","Rhinecanthus lunula"
"Caesionidae","Dipterygonotus balteatus"
"Labridae","Labridae sp"
"Pomacentridae","Pomacentridae sp"
"Clupeidae","Clupeidae sp"
"Carangidae","Carangidae sp"
"Holocentridae","Myripristis sp"
"Blenniidae","Meiacanthus sp"
"Scaridae","Scarus sp"
"Pomacentridae","Chromis sp"
"Serranidae","Pseudanthias sp"
"Labridae","Thalassoma sp"
"Labridae","Anampses sp"
"Holocentridae","Sargocentron sp"
"Serranidae","Cephalopholis sp"
"Labridae","Halichoeres sp"
"Myliobatidae","Myliobatis sp"
"Pomacentridae","Pomacentrus sp"
"Acanthuridae","Acanthurus sp"
"Acanthuridae","Ctenochaetus sp"
"Pomacanthidae","Centropyge sp"
"Lethrinidae","Lethrinus sp"
"Nemipteridae","Pentapodus sp"
"Pomacentridae","Stegastes sp"
"Labridae","Cirrhilabrus sp"
"Malacanthidae","Hoplolatilus sp"
"Synodontidae","Synodus sp"
"Labridae","Coris sp"
"Labridae","Pseudocheilinus sp"
"Tetraodontidae","Canthigaster sp"
"Labridae","Pseudodax sp"
"Microdesmidae","Ptereleotris sp"
"Mullidae","Parupeneus sp"
"Apogonidae","Rhabdamia sp"
"Caesioinidae","Caesio sp"
"Pseudochromidae","Pseudochromis sp"
"Labridae","Pseudocoris sp"
"Pomacanthidae","Chaetodontoplus sp"
"Balistidae","Sufflamen sp"
"Chaetodontidae","Chaetodon sp"
"Pomacanthidae","Genicanthus sp"
"Apogonidae","Rhabdamia gracilis"
"Serranidae","Pseudanthias pictilis"
"Balistidae","Rhinecanthus aculeatus"
"Haemulidae","Diagramma pictum"
"Blenniidae","Meiacanthus atrodorsalis"
"Pomacentridae","Chrysiptera tricincta"
"Malacanthidae","Hoplolatilus marcosi"
"Echeneidae","Remora remora"
"Balistidae","Xanthichthys caeruleolineatus"
"Holocentridae","Myripristis murdjan"
"Haemulidae","Plectorhinchus chaetodonoides"
"Lutjanidae","Lutjanus quinquelineatus"
"Serranidae","Pseudanthias engelhardi"
"Holocentridae","Sargocentron caudimaculatum"
"Serranidae","Pseudanthias flavicauda"
"Malacanthidae","Hoplolatilus randalli"
"Malacanthidae","Hoplolatilus purpureus"
"Acanthuridae","Naso thynnoides"
"Holocentridae","Neoniphon sammara"
"Holocentridae","Neoniphon opercularis"
"Serranidae","Pseudanthias sp2"
"Labridae","Choerodon sp"
"Aulostomidae","Aulostomus sp"
"Labridae","Labroides sp"
"Balistidae","Rhinecanthus sp"
"Pomacentridae","Pomacentrus sp2"
