"Species_name"
"Sufflamen fraenatum"
"Chrysiptera starcki"
"Oxycheilinus celebicus"
"Acanthurus auranticavus"
"Chlorurus sordidus"
"Seriola dumerili"
"Choerodon jordani"
"Pomacentrus nigromarginatus"
"Acanthurus nubilus"
"Pseudanthias rubrizonatus"
"Genicanthus bellus"
"Chromis analis"
"Arothron mappa"
"Arothron caeruleopunctatus"
"Pseudanthias ventralis"
"Sargocentron diadema"
"Rhabdamia gracilis"
"Aluterus scriptus"
"Pseudanthias pictilis"
"Diagramma pictum"
"Chilomycterus reticulatus"
"Coris pictoides"
"Chrysiptera tricincta"
"Pseudocaranx dentex"
"Gymnocranius superciliosus"
"Rhinecanthus lunula"
"Dipterygonotus balteatus"
